sentence_id	token_id	token	label
0	0	Overcoming	O-claim
0	1	Moving	O-claim
0	2	Schools	O-claim
0	3	and	O-claim
0	4	Homes	O-claim
1	0	According	O-claim
1	1	to	O-claim
1	2	the	O-claim
1	3	U.S.	O-claim
1	4	Census	O-claim
1	5	Bureau	O-claim
1	6	nearly	O-claim
1	7	36	O-claim
1	8	million	O-claim
1	9	people	O-claim
1	10	move	O-claim
1	11	every	O-claim
1	12	year	O-claim
1	13	in	O-claim
1	14	the	O-claim
1	15	U.S.	O-claim
1	16	-	O-claim
1	17	and	O-claim
1	18	,	O-claim
1	19	as	O-claim
1	20	a	O-claim
1	21	result	O-claim
1	22	,	O-claim
1	23	many	O-claim
1	24	children	O-claim
1	25	have	O-claim
1	26	to	O-claim
1	27	transfer	O-claim
1	28	schools	O-claim
1	29	,	O-claim
1	30	the	O-claim
1	31	Statesman	O-claim
1	32	Journal	O-claim
1	33	said	O-claim
1	34	in	O-claim
1	35	an	O-claim
1	36	article	O-claim
1	37	on	O-claim
1	38	tips	O-claim
1	39	for	O-claim
1	40	families	O-claim
1	41	with	O-claim
1	42	students	O-claim
1	43	transferring	O-claim
1	44	schools	O-claim
1	45	.	O-claim
2	0	That	O-claim
2	1	is	O-claim
2	2	about	O-claim
2	3	eleven	O-claim
2	4	percent	O-claim
2	5	of	O-claim
2	6	the	O-claim
2	7	United	O-claim
2	8	States	O-claim
2	9	population	O-claim
2	10	that	O-claim
2	11	moves	O-claim
2	12	per	O-claim
2	13	year	O-claim
2	14	.	O-claim
3	0	Moving	B-claim
3	1	schools	I-claim
3	2	can	I-claim
3	3	be	I-claim
3	4	fun	I-claim
3	5	and	I-claim
3	6	exciting	I-claim
3	7	or	I-claim
3	8	scary	I-claim
3	9	and	I-claim
3	10	sad	I-claim
3	11	,	I-claim
3	12	and	I-claim
3	13	at	I-claim
3	14	the	I-claim
3	15	same	I-claim
3	16	time	I-claim
3	17	being	I-claim
3	18	all	I-claim
3	19	of	I-claim
3	20	that	I-claim
3	21	.	O-claim
4	0	Especially	O-claim
4	1	when	O-claim
4	2	put	O-claim
4	3	on	O-claim
4	4	top	O-claim
4	5	of	O-claim
4	6	general	O-claim
4	7	house	O-claim
4	8	moving	O-claim
4	9	,	O-claim
4	10	too	O-claim
4	11	.	O-claim
5	0	The	O-claim
5	1	months	O-claim
5	2	before	O-claim
5	3	the	O-claim
5	4	realtor	O-claim
5	5	staked	O-claim
5	6	the	O-claim
5	7	For	O-claim
5	8	Sale	O-claim
5	9	sign	O-claim
5	10	in	O-claim
5	11	the	O-claim
5	12	crest	O-claim
5	13	of	O-claim
5	14	the	O-claim
5	15	ditch	O-claim
5	16	in	O-claim
5	17	our	O-claim
5	18	grassy	O-claim
5	19	green	O-claim
5	20	front	O-claim
5	21	yard	O-claim
5	22	,	O-claim
5	23	the	O-claim
5	24	spot	O-claim
5	25	where	O-claim
5	26	Kendall	O-claim
5	27	,	O-claim
5	28	Tyler	O-claim
5	29	,	O-claim
5	30	and	O-claim
5	31	Quinn	O-claim
5	32	had	O-claim
5	33	often	O-claim
5	34	marked	O-claim
5	35	as	O-claim
5	36	third	O-claim
5	37	base	O-claim
5	38	while	O-claim
5	39	playing	O-claim
5	40	baseball	O-claim
5	41	,	O-claim
5	42	they	O-claim
5	43	were	O-claim
5	44	tough	O-claim
5	45	months	O-claim
5	46	,	O-claim
5	47	on	O-claim
5	48	the	O-claim
5	49	whole	O-claim
5	50	family	O-claim
5	51	.	O-claim
