Children dying every day from their hurtful words and actions , some have to change schools to stay away .	Moreover , these experiences could make me to make plan for my future life .	0
The Nation Institute on Drug Abuse cautions that the chemical can increase the heart rate by as many as fifty beats per minute , which can last as long as three hours .	Apple , Microsoft , Google and Facebook are all also considering their options .	1
As it can be seen from the example , the idea that computers could be a help has been neglected .	Because they do n't have a full education .	0
Although this is true , the reality is that marijuana can cause car accidents , and can cause numerous health effects therefore should be banned .	I need help to get past this .	1
Serious movies usually designed to express one or more thinking about love , humaneness ; moreover , it may point out the dark sides of the society .	After their service they wo n't be able to get a good job ( Is 18 Too Young to Join the Armed Forces ) .	0
For instance recently in a poll conducted by an American magazine it was found that most of the parents and teachers complain that teenagers use derogatory words and abusive language at home and at schools .	For the past ten years , bullying rates have drastically gone up in schools .	0
Therefore , society should be educated and became aware of health issues so that the potential precautions on the way of illnesses can be taken instead of trying to provide treatment for the increasing number of patients .	According to Sherman , The majority of kickoffs are touchbacks , and the vast majority of kickoffs that are actually returned are routinely covered by the 30-yard line .	0
Vs Studying Hard	Technology , in the past two hundred years , has taken a dramatic progress in many fields of our society , such as telecommunications , manufacturing and buildings , etc .	1
The city itself will be absolved of enduring the influx of immigrants as well as unemployed people .	smoking accounts for about 30 % of all cancer deaths in the United States , including about 80 % of all lung cancer deaths .	0
American citizens have a right to express our opinion and expose the flaws in our government .	If the art displays unreality , the public audiences certainly have the acumen to recognise its untruthfulness and only appreciate its art value ; if the art reflects the reality , then what would be the intention to ban it if it was not for covering the dirty truth ?	0
The kickoff is a dangerous play .	According to David Bennion , an immigration attorney , many of the illegal population like Dreamers do not live a comfortable life due to the fact that many jobs will not hire someone with no legal status ( Bennion ) .	1
Therefore , there is a risk that children may be exposed to unhealthy contents , such as violence or pornography , arranged in the games by such companies to secure financial survival .	Luck vs hard work	1
While another study showed that suicide can be prevented by limiting access to certain means of committing suicide , such as guns .	Humans destroy our environment every day never thinking about the consequences , and no cares enough to ever stop them .	1
Employers should not risk their employees dying just because of a preventable condition .	I might have supportive parents , but I do not want my parents knowing all my deepest darkest secrets .	1
that they feel good in , mentally and physically , and that makes school a less free place	The author of this article confirms that the Titanic was not built properly and could have been built better .	1
One of these several ways of learning that I prefer is doing things by my self rather than learning by reading about things or learning by listening to people talking about .	In order to promote the country 's attractions , the Czech government has to advertise and sell its services to foreign consumers .	1
Moreover , you can also enjoy the beautiful nature when doing some outdoor activities like going hiking , sunbathing , going biking .	` No sir .	0
With regard to the former , alternative forms which emit less carbon dioxides and gasses than automobiles are ideal .	For example : if someone decided to quit his job without really thinking about the alternative , or a plan B , he could end up being unemployed , because of his speedy decision .	1
In conclusion , although capital punishment presents an extreme warning to the community , I firmly object to it because it is absurd and inhumane .	Furthermore , the primary way of educating students is also by this way .	1
It is not just becoming common among rich students but also in the poor students .	However , it is controversial whether the help should go to the people who need it most or the citizens of the country where the charity organisations are located .	1
Everybody yells and sings together , the stadium is like bursted out whenever a goal is scored .	Students who care about their government at younger ages translate that into a lifelong commitment to changing their world .	0
The NCAA needs to pay college athletes .	On the other hand , sometimes I would rather learning on my own .	0
It is rare times when people can learn about this country .	Educated high - school students with bright and independent mind High school is the time when you decide your future career and particular field you want to concentrate and interested in .	1
Should the United States Put More Restrictions on Gun Ownership ?	Even so , another perspective on this is to prevent the citizen from unnecessary fear and unrest .	0
Football allows children to get off their devices , and get outside to exercise .	Science today , for example , is said to be more and more specialized , but in order to solve a problem scientists have to combine knowledge from chemistry to physics .	0
