sentence_id	token_id	token	label
0	0	1st	O-claim
0	1	hour	O-claim
0	2	Language	O-claim
0	3	and	O-claim
0	4	Literature	O-claim
1	0	Overcoming	O-claim
1	1	My	O-claim
1	2	Mom	O-claim
1	3	Having	O-claim
1	4	A	O-claim
1	5	Seizure	O-claim
1	6	While	O-claim
1	7	Driving	O-claim
2	0	Driving	B-claim
2	1	can	I-claim
2	2	be	I-claim
2	3	something	I-claim
2	4	for	I-claim
2	5	children	I-claim
2	6	that	I-claim
2	7	is	I-claim
2	8	seen	I-claim
2	9	as	I-claim
2	10	scary	I-claim
2	11	or	I-claim
2	12	a	I-claim
2	13	fun	I-claim
2	14	roller	I-claim
2	15	coaster	I-claim
2	16	ride	I-claim
2	17	.	O-claim
3	0	For	O-claim
3	1	other	O-claim
3	2	children	O-claim
3	3	getting	O-claim
3	4	in	O-claim
3	5	the	O-claim
3	6	car	O-claim
3	7	is	O-claim
3	8	part	O-claim
3	9	of	O-claim
3	10	their	O-claim
3	11	everyday	O-claim
3	12	routine	O-claim
3	13	and	O-claim
3	14	they	O-claim
3	15	hate	O-claim
3	16	everything	O-claim
3	17	about	O-claim
3	18	the	O-claim
3	19	car	O-claim
3	20	.	O-claim
4	0	Cars	O-claim
4	1	are	O-claim
4	2	the	O-claim
4	3	way	O-claim
4	4	we	O-claim
4	5	as	O-claim
4	6	humans	O-claim
4	7	get	O-claim
4	8	around	O-claim
4	9	to	O-claim
4	10	do	O-claim
4	11	about	O-claim
4	12	anything	O-claim
4	13	,	O-claim
4	14	go	O-claim
4	15	to	O-claim
4	16	work	O-claim
4	17	,	O-claim
4	18	take	O-claim
4	19	kids	O-claim
4	20	to	O-claim
4	21	school	O-claim
4	22	or	O-claim
4	23	,	O-claim
4	24	even	O-claim
4	25	to	O-claim
4	26	go	O-claim
4	27	out	O-claim
4	28	and	O-claim
4	29	get	O-claim
4	30	food	O-claim
4	31	.	O-claim
5	0	Driving	B-claim
5	1	is	I-claim
5	2	an	I-claim
5	3	essential	I-claim
5	4	part	I-claim
5	5	of	I-claim
5	6	a	I-claim
5	7	person	I-claim
5	8	's	I-claim
5	9	life	I-claim
5	10	and	O-claim
5	11	not	B-claim
5	12	knowing	I-claim
5	13	how	I-claim
5	14	to	I-claim
5	15	drive	I-claim
5	16	might	I-claim
5	17	be	I-claim
5	18	a	I-claim
5	19	problem	I-claim
5	20	.	O-claim
6	0	Well	O-claim
6	1	,	O-claim
6	2	to	O-claim
6	3	some	O-claim
6	4	people	O-claim
6	5	they	O-claim
6	6	do	O-claim
6	7	not	O-claim
6	8	want	O-claim
6	9	to	O-claim
6	10	drive	O-claim
6	11	because	O-claim
6	12	events	O-claim
6	13	happened	O-claim
6	14	to	O-claim
6	15	them	O-claim
6	16	in	O-claim
6	17	the	O-claim
6	18	past	O-claim
6	19	and	O-claim
6	20	now	O-claim
6	21	draw	O-claim
6	22	a	O-claim
6	23	fear	O-claim
6	24	of	O-claim
6	25	riding	O-claim
6	26	in	O-claim
6	27	a	O-claim
6	28	car	O-claim
6	29	,	O-claim
6	30	similar	O-claim
6	31	to	O-claim
6	32	me	O-claim
6	33	.	O-claim
7	0	In	O-claim
7	1	2016	O-claim
7	2	,	O-claim
7	3	I	O-claim
7	4	was	O-claim
7	5	involved	O-claim
7	6	in	O-claim
7	7	a	O-claim
7	8	car	O-claim
7	9	accident	O-claim
7	10	while	O-claim
7	11	my	O-claim
7	12	mom	O-claim
7	13	was	O-claim
7	14	driving	O-claim
7	15	and	O-claim
7	16	happened	O-claim
7	17	to	O-claim
7	18	be	O-claim
7	19	the	O-claim
7	20	most	O-claim
7	21	traumatic	O-claim
7	22	event	O-claim
7	23	that	O-claim
7	24	has	O-claim
7	25	ever	O-claim
7	26	occurred	O-claim
7	27	in	O-claim
7	28	my	O-claim
7	29	life	O-claim
7	30	.	O-claim
8	0	I	O-claim
8	1	am	O-claim
8	2	here	O-claim
8	3	to	O-claim
8	4	tell	O-claim
8	5	the	O-claim
8	6	story	O-claim
8	7	of	O-claim
8	8	before	O-claim
8	9	,	O-claim
8	10	during	O-claim
8	11	and	O-claim
8	12	,	O-claim
8	13	after	O-claim
8	14	the	O-claim
8	15	event	O-claim
8	16	and	O-claim
8	17	how	O-claim
8	18	much	O-claim
8	19	it	O-claim
8	20	made	O-claim
8	21	me	O-claim
8	22	look	O-claim
8	23	at	O-claim
8	24	everything	O-claim
8	25	from	O-claim
8	26	a	O-claim
8	27	different	O-claim
8	28	perspective	O-claim
8	29	.	O-claim
9	0	The	O-claim
9	1	day	O-claim
9	2	the	O-claim
9	3	event	O-claim
9	4	occurred	O-claim
9	5	was	O-claim
9	6	a	O-claim
9	7	day	O-claim
9	8	where	O-claim
9	9	the	O-claim
9	10	sun	O-claim
9	11	plowed	O-claim
9	12	through	O-claim
9	13	the	O-claim
9	14	clouds	O-claim
9	15	,	O-claim
9	16	beams	O-claim
9	17	of	O-claim
9	18	light	O-claim
9	19	going	O-claim
9	20	in	O-claim
9	21	every	O-claim
9	22	direction	O-claim
9	23	,	O-claim
9	24	casting	O-claim
9	25	our	O-claim
9	26	shadows	O-claim
9	27	out	O-claim
9	28	on	O-claim
9	29	the	O-claim
9	30	field	O-claim
9	31	.	O-claim
10	0	Our	O-claim
10	1	softball	O-claim
10	2	team	O-claim
10	3	had	O-claim
10	4	practice	O-claim
10	5	from	O-claim
10	6	4:30	O-claim
10	7	to	O-claim
10	8	6:00	O-claim
10	9	at	O-claim
10	10	the	O-claim
10	11	softball	O-claim
10	12	fields	O-claim
10	13	in	O-claim
10	14	Kewadin	O-claim
10	15	MI	O-claim
10	16	.	O-claim
11	0	The	O-claim
11	1	scorching	O-claim
11	2	sun	O-claim
11	3	hit	O-claim
11	4	down	O-claim
11	5	on	O-claim
11	6	our	O-claim
11	7	backs	O-claim
11	8	while	O-claim
11	9	out	O-claim
11	10	on	O-claim
11	11	the	O-claim
11	12	rough	O-claim
11	13	sand	O-claim
11	14	.	O-claim
12	0	At	O-claim
12	1	the	O-claim
12	2	same	O-claim
12	3	time	O-claim
12	4	,	O-claim
12	5	small	O-claim
12	6	rocks	O-claim
12	7	hit	O-claim
12	8	our	O-claim
12	9	faces	O-claim
12	10	,	O-claim
12	11	as	O-claim
12	12	the	O-claim
12	13	ball	O-claim
12	14	rapidly	O-claim
12	15	heads	O-claim
12	16	towards	O-claim
12	17	us	O-claim
12	18	.	O-claim
13	0	Softball	O-claim
13	1	is	O-claim
13	2	the	O-claim
13	3	greatest	O-claim
13	4	sport	O-claim
13	5	I	O-claim
13	6	do	O-claim
13	7	over	O-claim
13	8	the	O-claim
13	9	course	O-claim
13	10	of	O-claim
13	11	summer	O-claim
13	12	,	O-claim
13	13	for	O-claim
13	14	three	O-claim
13	15	days	O-claim
13	16	a	O-claim
13	17	week	O-claim
13	18	,	O-claim
13	19	five	O-claim
13	20	and	O-claim
13	21	a	O-claim
13	22	half	O-claim
13	23	hours	O-claim
13	24	in	O-claim
13	25	total	O-claim
13	26	.	O-claim
14	0	Being	O-claim
14	1	able	O-claim
14	2	to	O-claim
14	3	spend	O-claim
14	4	time	O-claim
14	5	doing	O-claim
14	6	what	O-claim
14	7	I	O-claim
14	8	love	O-claim
14	9	.	O-claim
15	0	While	O-claim
15	1	having	O-claim
15	2	the	O-claim
15	3	ability	O-claim
15	4	to	O-claim
15	5	gain	O-claim
15	6	and	O-claim
15	7	grow	O-claim
15	8	from	O-claim
15	9	the	O-claim
15	10	experiences	O-claim
15	11	and	O-claim
15	12	connections	O-claim
15	13	obtained	O-claim
15	14	during	O-claim
15	15	sports	O-claim
15	16	where	O-claim
15	17	humans	O-claim
15	18	can	O-claim
15	19	grow	O-claim
15	20	a	O-claim
15	21	family	O-claim
15	22	and	O-claim
15	23	have	O-claim
15	24	a	O-claim
15	25	special	O-claim
15	26	bond	O-claim
15	27	during	O-claim
15	28	the	O-claim
15	29	sport	O-claim
15	30	but	O-claim
15	31	also	O-claim
15	32	a	O-claim
15	33	family	O-claim
15	34	off	O-claim
15	35	the	O-claim
15	36	field	O-claim
15	37	or	O-claim
15	38	court	O-claim
15	39	.	O-claim
16	0	Softball	O-claim
16	1	is	O-claim
16	2	genuinely	O-claim
16	3	important	O-claim
16	4	to	O-claim
16	5	myself	O-claim
16	6	,	O-claim
16	7	it	O-claim
16	8	allows	O-claim
16	9	me	O-claim
16	10	to	O-claim
16	11	get	O-claim
16	12	the	O-claim
16	13	anger	O-claim
16	14	out	O-claim
16	15	and	O-claim
16	16	use	O-claim
16	17	it	O-claim
16	18	in	O-claim
16	19	a	O-claim
16	20	good	O-claim
16	21	way	O-claim
16	22	such	O-claim
16	23	as	O-claim
16	24	hitting	O-claim
16	25	the	O-claim
16	26	ball	O-claim
16	27	or	O-claim
16	28	throwing	O-claim
16	29	the	O-claim
16	30	ball	O-claim
16	31	very	O-claim
16	32	hard	O-claim
16	33	.	O-claim
17	0	At	O-claim
17	1	this	O-claim
17	2	time	O-claim
17	3	the	O-claim
17	4	day	O-claim
17	5	was	O-claim
17	6	great	O-claim
17	7	besides	O-claim
17	8	the	O-claim
17	9	fact	O-claim
17	10	the	O-claim
17	11	heat	O-claim
17	12	was	O-claim
17	13	hot	O-claim
17	14	and	O-claim
17	15	drowning	O-claim
17	16	our	O-claim
17	17	energy	O-claim
17	18	from	O-claim
17	19	really	O-claim
17	20	being	O-claim
17	21	able	O-claim
17	22	to	O-claim
17	23	focus	O-claim
17	24	on	O-claim
17	25	anything	O-claim
17	26	.	O-claim
18	0	The	O-claim
18	1	only	O-claim
18	2	subject	O-claim
18	3	on	O-claim
18	4	my	O-claim
18	5	mind	O-claim
18	6	during	O-claim
18	7	all	O-claim
18	8	of	O-claim
18	9	practice	O-claim
18	10	was	O-claim
18	11	that	O-claim
18	12	I	O-claim
18	13	wanted	O-claim
18	14	to	O-claim
18	15	go	O-claim
