sentence_id	token_id	token	label
0	0	Moving	O-claim
0	1	After	O-claim
0	2	My	O-claim
0	3	Parents	O-claim
0	4	Divorced	O-claim
1	0	I	O-claim
1	1	saw	O-claim
1	2	it	O-claim
1	3	coming	O-claim
1	4	,	O-claim
1	5	I	O-claim
1	6	really	O-claim
1	7	did	O-claim
1	8	.	O-claim
2	0	It	O-claim
2	1	was	O-claim
2	2	inevitable	O-claim
2	3	,	O-claim
2	4	as	O-claim
2	5	they	O-claim
2	6	were	O-claim
2	7	heading	O-claim
2	8	down	O-claim
2	9	a	O-claim
2	10	path	O-claim
2	11	of	O-claim
2	12	struggle	O-claim
2	13	and	O-claim
2	14	unhappiness	O-claim
2	15	.	O-claim
3	0	My	O-claim
3	1	parents	O-claim
3	2	got	O-claim
3	3	along	O-claim
3	4	,	O-claim
3	5	until	O-claim
3	6	they	O-claim
3	7	did	O-claim
3	8	not	O-claim
3	9	.	O-claim
4	0	40	O-claim
4	1	to	O-claim
4	2	50	O-claim
4	3	%	O-claim
4	4	of	O-claim
4	5	married	O-claim
4	6	couples	O-claim
4	7	in	O-claim
4	8	the	O-claim
4	9	United	O-claim
4	10	States	O-claim
4	11	divorce	O-claim
4	12	.	O-claim
5	0	(	O-claim
5	1	Marriage	O-claim
5	2	and	O-claim
5	3	Divorce	O-claim
5	4	.	O-claim
6	0	American	O-claim
6	1	Psychological	O-claim
6	2	Association	O-claim
6	3	)	O-claim
6	4	.	O-claim
7	0	It	O-claim
7	1	is	O-claim
7	2	not	O-claim
7	3	uncommon	O-claim
7	4	for	O-claim
7	5	parents	O-claim
7	6	to	O-claim
7	7	divorce	O-claim
7	8	,	O-claim
7	9	I	O-claim
7	10	just	O-claim
7	11	did	O-claim
7	12	not	O-claim
7	13	expect	O-claim
7	14	it	O-claim
7	15	to	O-claim
7	16	happen	O-claim
7	17	to	O-claim
7	18	me	O-claim
7	19	.	O-claim
8	0	Divorce	O-claim
8	1	is	O-claim
8	2	hard	O-claim
8	3	for	O-claim
8	4	anyone	O-claim
8	5	,	O-claim
8	6	especially	O-claim
8	7	younger	O-claim
8	8	children	O-claim
8	9	.	O-claim
9	0	My	O-claim
9	1	life	O-claim
9	2	is	O-claim
9	3	much	O-claim
9	4	different	O-claim
9	5	now	O-claim
9	6	after	O-claim
9	7	my	O-claim
9	8	parents	O-claim
9	9	divorce	O-claim
9	10	than	O-claim
9	11	it	O-claim
9	12	was	O-claim
9	13	before	O-claim
9	14	.	O-claim
10	0	The	O-claim
10	1	spilt	O-claim
10	2	changed	O-claim
10	3	my	O-claim
10	4	way	O-claim
10	5	of	O-claim
10	6	life	O-claim
10	7	drastically	O-claim
10	8	.	O-claim
11	0	When	O-claim
11	1	I	O-claim
11	2	was	O-claim
11	3	in	O-claim
11	4	kindergarten	O-claim
11	5	,	O-claim
11	6	my	O-claim
11	7	parents	O-claim
11	8	got	O-claim
11	9	along	O-claim
11	10	fine	O-claim
11	11	.	O-claim
12	0	They	O-claim
12	1	had	O-claim
12	2	the	O-claim
12	3	expected	O-claim
12	4	quarrels	O-claim
12	5	from	O-claim
12	6	time	O-claim
12	7	to	O-claim
12	8	time	O-claim
12	9	,	O-claim
12	10	but	O-claim
12	11	nothing	O-claim
12	12	of	O-claim
12	13	major	O-claim
12	14	significance	O-claim
12	15	.	O-claim
13	0	We	O-claim
13	1	had	O-claim
13	2	just	O-claim
13	3	moved	O-claim
13	4	out	O-claim
13	5	of	O-claim
13	6	our	O-claim
13	7	duplex	O-claim
13	8	that	O-claim
13	9	were	O-claim
13	10	living	O-claim
13	11	in	O-claim
13	12	,	O-claim
13	13	into	O-claim
13	14	my	O-claim
13	15	grandmother	O-claim
13	16	's	O-claim
13	17	house	O-claim
13	18	that	O-claim
13	19	she	O-claim
13	20	was	O-claim
13	21	not	O-claim
13	22	currently	O-claim
13	23	living	O-claim
13	24	in	O-claim
13	25	.	O-claim
14	0	Summers	O-claim
14	1	were	O-claim
14	2	packed	O-claim
14	3	with	O-claim
14	4	fun	O-claim
14	5	and	O-claim
14	6	bonding	O-claim
14	7	,	O-claim
14	8	winters	O-claim
14	9	brimming	O-claim
14	10	with	O-claim
14	11	love	O-claim
14	12	and	O-claim
14	13	festivity	O-claim
14	14	.	O-claim
15	0	My	O-claim
15	1	first	O-claim
15	2	and	O-claim
15	3	second	O-claim
15	4	years	O-claim
15	5	were	O-claim
15	6	arguably	O-claim
15	7	similar	O-claim
15	8	,	O-claim
15	9	disagreements	O-claim
15	10	popping	O-claim
15	11	up	O-claim
15	12	more	O-claim
15	13	often	O-claim
15	14	,	O-claim
15	15	becoming	O-claim
15	16	a	O-claim
15	17	common	O-claim
15	18	occurrence	O-claim
15	19	now	O-claim
15	20	.	O-claim
16	0	Third	O-claim
16	1	year	O-claim
16	2	they	O-claim
16	3	began	O-claim
16	4	to	O-claim
16	5	drift	O-claim
16	6	apart	O-claim
16	7	even	O-claim
16	8	further	O-claim
16	9	.	O-claim
17	0	They	O-claim
17	1	seemed	O-claim
17	2	to	O-claim
17	3	disagree	O-claim
17	4	with	O-claim
17	5	each	O-claim
17	6	other	O-claim
17	7	on	O-claim
17	8	everything	O-claim
17	9	.	O-claim
18	0	My	O-claim
18	1	grandmother	O-claim
18	2	eventually	O-claim
18	3	moved	O-claim
18	4	back	O-claim
18	5	in	O-claim
18	6	,	O-claim
18	7	so	O-claim
18	8	my	O-claim
18	9	family	O-claim
18	10	decided	O-claim
18	11	to	O-claim
18	12	look	O-claim
18	13	for	O-claim
18	14	a	O-claim
18	15	house	O-claim
18	16	to	O-claim
18	17	rent	O-claim
