sentence_id	token_id	token	label
0	0	Spending	O-claim
0	1	money	O-claim
0	2	on	O-claim
0	3	supporting	O-claim
0	4	art	O-claim
0	5	or	O-claim
0	6	protecting	O-claim
0	7	environment	O-claim
0	8	_NEW_LINE__NEW_LINE_	O-claim
0	9	If	O-claim
0	10	I	O-claim
0	11	had	O-claim
0	12	the	O-claim
0	13	opportunity	O-claim
0	14	to	O-claim
0	15	help	O-claim
0	16	a	O-claim
0	17	company	O-claim
0	18	make	O-claim
0	19	a	O-claim
0	20	decision	O-claim
0	21	on	O-claim
0	22	spending	O-claim
0	23	money	O-claim
0	24	either	O-claim
0	25	on	O-claim
0	26	supporting	O-claim
0	27	the	O-claim
0	28	arts	O-claim
0	29	or	O-claim
0	30	helping	O-claim
0	31	the	O-claim
0	32	environment	O-claim
0	33	,	O-claim
0	34	I	O-claim
0	35	would	O-claim
0	36	choose	O-claim
0	37	the	O-claim
0	38	latter	O-claim
0	39	without	O-claim
0	40	hesitation	O-claim
0	41	for	O-claim
0	42	the	O-claim
0	43	reasons	O-claim
0	44	below	O-claim
0	45	.	O-claim
0	46	_NEW_LINE_	O-claim
1	0	First	O-claim
1	1	,	O-claim
1	2	conservation	B-claim
1	3	is	I-claim
1	4	more	I-claim
1	5	urgent	I-claim
1	6	now	I-claim
1	7	than	I-claim
1	8	at	I-claim
1	9	any	I-claim
1	10	time	I-claim
1	11	in	I-claim
1	12	history	I-claim
1	13	.	O-claim
2	0	According	O-claim
2	1	to	O-claim
2	2	a	O-claim
2	3	statistic	O-claim
2	4	conducted	O-claim
2	5	by	O-claim
2	6	the	O-claim
2	7	International	O-claim
2	8	Animal	O-claim
2	9	Preserving	O-claim
2	10	Association	O-claim
2	11	,	O-claim
2	12	we	O-claim
2	13	have	O-claim
2	14	only	O-claim
2	15	ten	O-claim
2	16	percent	O-claim
2	17	of	O-claim
2	18	the	O-claim
2	19	animals	O-claim
2	20	that	O-claim
2	21	have	O-claim
2	22	ever	O-claim
2	23	existed	O-claim
2	24	,	O-claim
2	25	which	O-claim
2	26	means	O-claim
2	27	that	O-claim
2	28	the	O-claim
2	29	biodiversity	O-claim
2	30	of	O-claim
2	31	our	O-claim
2	32	home	O-claim
2	33	is	O-claim
2	34	grievously	O-claim
2	35	endangered	O-claim
2	36	.	O-claim
3	0	What	O-claim
3	1	's	O-claim
3	2	more	O-claim
3	3	,	O-claim
3	4	rising	O-claim
3	5	sea	O-claim
3	6	levels	O-claim
3	7	,	O-claim
3	8	caused	O-claim
3	9	by	O-claim
3	10	global	O-claim
3	11	warming	O-claim
3	12	,	O-claim
3	13	have	O-claim
3	14	reached	O-claim
3	15	a	O-claim
3	16	level	O-claim
3	17	that	O-claim
3	18	is	O-claim
3	19	threatening	O-claim
3	20	human	O-claim
3	21	's	O-claim
3	22	life	O-claim
3	23	in	O-claim
3	24	many	O-claim
3	25	countries	O-claim
3	26	.	O-claim
4	0	If	O-claim
4	1	we	O-claim
4	2	continue	O-claim
4	3	discharging	O-claim
4	4	carbon	O-claim
4	5	dioxide	O-claim
4	6	with	O-claim
4	7	non	O-claim
4	8	-	O-claim
4	9	environmentally	O-claim
4	10	friendly	O-claim
4	11	cars	O-claim
4	12	,	O-claim
4	13	nations	O-claim
4	14	like	O-claim
4	15	Japan	O-claim
4	16	will	O-claim
4	17	be	O-claim
4	18	submerged	O-claim
4	19	and	O-claim
4	20	weather	O-claim
4	21	patterns	O-claim
4	22	could	O-claim
4	23	change	O-claim
4	24	,	O-claim
4	25	causing	O-claim
4	26	flooding	O-claim
4	27	,	O-claim
4	28	drought	O-claim
4	29	,	O-claim
4	30	and	O-claim
4	31	an	O-claim
4	32	increasing	O-claim
4	33	amount	O-claim
4	34	of	O-claim
4	35	damaging	O-claim
4	36	storms	O-claim
4	37	.	O-claim
5	0	In	O-claim
5	1	short	O-claim
5	2	,	O-claim
5	3	the	O-claim
5	4	ecosystem	O-claim
5	5	is	O-claim
5	6	in	O-claim
5	7	its	O-claim
5	8	worst	O-claim
5	9	condition	O-claim
5	10	ever	O-claim
5	11	and	O-claim
5	12	if	O-claim
5	13	we	O-claim
5	14	did	O-claim
5	15	n't	O-claim
5	16	take	O-claim
5	17	harsh	O-claim
5	18	measures	O-claim
5	19	now	O-claim
5	20	,	O-claim
5	21	we	O-claim
5	22	never	O-claim
5	23	will	O-claim
5	24	.	O-claim
5	25	_NEW_LINE_	O-claim
6	0	Furthermore	O-claim
6	1	,	O-claim
6	2	supporting	B-claim
6	3	environment	I-claim
6	4	protection	I-claim
6	5	will	I-claim
6	6	benefit	I-claim
6	7	the	I-claim
6	8	company	I-claim
6	9	eventually	I-claim
6	10	.	O-claim
7	0	Nowadays	O-claim
7	1	,	O-claim
7	2	an	O-claim
7	3	increasing	O-claim
7	4	amount	O-claim
7	5	of	O-claim
7	6	people	O-claim
7	7	pay	O-claim
7	8	more	O-claim
7	9	attention	O-claim
7	10	to	O-claim
7	11	conservation	O-claim
