sentence_id	token_id	token	label
0	0	my	O-claim
0	1	first	O-claim
0	2	time	O-claim
0	3	playing	O-claim
0	4	video	O-claim
0	5	games	O-claim
1	0	I	O-claim
1	1	was	O-claim
1	2	7	O-claim
1	3	years	O-claim
1	4	old	O-claim
1	5	laying	O-claim
1	6	on	O-claim
1	7	my	O-claim
1	8	bed	O-claim
1	9	in	O-claim
1	10	my	O-claim
1	11	dimly	O-claim
1	12	lit	O-claim
1	13	room	O-claim
1	14	at	O-claim
1	15	my	O-claim
1	16	grandpa	O-claim
1	17	's	O-claim
1	18	house	O-claim
1	19	.	O-claim
2	0	I	O-claim
2	1	was	O-claim
2	2	watching	O-claim
2	3	someone	O-claim
2	4	play	O-claim
2	5	GTA	O-claim
2	6	5	O-claim
2	7	on	O-claim
2	8	my	O-claim
2	9	ipad	O-claim
2	10	.	O-claim
3	0	After	O-claim
3	1	that	O-claim
3	2	,	O-claim
3	3	I	O-claim
3	4	thought	O-claim
3	5	why	O-claim
3	6	do	O-claim
3	7	n't	O-claim
3	8	I	O-claim
3	9	have	O-claim
3	10	this	O-claim
3	11	stuff	O-claim
3	12	.	O-claim
4	0	Then	O-claim
4	1	,	O-claim
4	2	I	O-claim
4	3	asked	O-claim
4	4	my	O-claim
4	5	mom	O-claim
4	6	if	O-claim
4	7	I	O-claim
4	8	could	O-claim
4	9	get	O-claim
4	10	a	O-claim
4	11	ps4	O-claim
4	12	and	O-claim
4	13	she	O-claim
4	14	said	O-claim
4	15	no	O-claim
4	16	because	O-claim
4	17	we	O-claim
4	18	do	O-claim
4	19	n't	O-claim
4	20	have	O-claim
4	21	enough	O-claim
4	22	money	O-claim
4	23	.	O-claim
5	0	This	O-claim
5	1	event	O-claim
5	2	is	O-claim
5	3	significant	O-claim
5	4	to	O-claim
5	5	me	O-claim
5	6	because	O-claim
5	7	games	O-claim
5	8	are	O-claim
5	9	fun	O-claim
5	10	and	O-claim
5	11	interesting	O-claim
5	12	.	O-claim
6	0	I	O-claim
6	1	first	O-claim
6	2	started	O-claim
6	3	playing	O-claim
6	4	games	O-claim
6	5	when	O-claim
6	6	I	O-claim
6	7	was	O-claim
6	8	7	O-claim
6	9	on	O-claim
6	10	my	O-claim
6	11	ipad	O-claim
6	12	.	O-claim
7	0	I	O-claim
7	1	got	O-claim
