sentence_id	token_id	token	label
0	0	Overcoming	O-claim
0	1	My	O-claim
0	2	Parent	O-claim
0	3	's	O-claim
0	4	Divorce	O-claim
1	0	We	B-claim
1	1	do	I-claim
1	2	n't	I-claim
1	3	grow	I-claim
1	4	when	I-claim
1	5	things	I-claim
1	6	are	I-claim
1	7	easy	I-claim
1	8	;	O-claim
1	9	we	B-claim
1	10	grow	I-claim
1	11	when	I-claim
1	12	we	I-claim
1	13	face	I-claim
1	14	challenges	I-claim
1	15	(	O-claim
1	16	Joyce	O-claim
1	17	Meyer	O-claim
1	18	)	O-claim
1	19	.	O-claim
2	0	I	O-claim
2	1	faced	O-claim
2	2	a	O-claim
2	3	challenge	O-claim
2	4	,	O-claim
2	5	but	O-claim
2	6	I	O-claim
2	7	never	O-claim
2	8	thought	O-claim
2	9	it	O-claim
2	10	would	O-claim
2	11	be	O-claim
2	12	this	O-claim
2	13	one	O-claim
2	14	.	O-claim
3	0	The	O-claim
3	1	empty	O-claim
3	2	feeling	O-claim
3	3	in	O-claim
3	4	my	O-claim
3	5	chest	O-claim
3	6	,	O-claim
3	7	my	O-claim
3	8	eyes	O-claim
3	9	carried	O-claim
3	10	tears	O-claim
3	11	down	O-claim
3	12	my	O-claim
3	13	face	O-claim
3	14	,	O-claim
3	15	my	O-claim
3	16	shirt	O-claim
3	17	remained	O-claim
3	18	drenched	O-claim
3	19	,	O-claim
3	20	this	O-claim
3	21	was	O-claim
3	22	when	O-claim
3	23	my	O-claim
3	24	mom	O-claim
3	25	informed	O-claim
3	26	me	O-claim
3	27	my	O-claim
3	28	parents	O-claim
3	29	were	O-claim
3	30	separating	O-claim
3	31	.	O-claim
4	0	I	O-claim
4	1	had	O-claim
4	2	experienced	O-claim
4	3	my	O-claim
4	4	friend	O-claim
4	5	's	O-claim
4	6	parent	O-claim
4	7	's	O-claim
4	8	not	O-claim
4	9	being	O-claim
4	10	together	O-claim
4	11	and	O-claim
4	12	thought	O-claim
4	13	nothing	O-claim
4	14	of	O-claim
4	15	it	O-claim
4	16	,	O-claim
4	17	however	O-claim
4	18	,	O-claim
4	19	when	O-claim
4	20	it	O-claim
4	21	's	O-claim
4	22	my	O-claim
4	23	own	O-claim
4	24	parent	O-claim
4	25	's	O-claim
4	26	,	O-claim
4	27	it	O-claim
4	28	's	O-claim
4	29	different	O-claim
4	30	.	O-claim
5	0	As	O-claim
5	1	a	O-claim
5	2	younger	O-claim
5	3	child	O-claim
5	4	,	O-claim
5	5	I	O-claim
5	6	did	O-claim
5	7	n't	O-claim
5	8	understand	O-claim
5	9	what	O-claim
5	10	a	O-claim
5	11	divorce	O-claim
5	12	was	O-claim
5	13	,	O-claim
5	14	all	O-claim
5	15	I	O-claim
5	16	knew	O-claim
5	17	is	O-claim
5	18	that	O-claim
5	19	my	O-claim
5	20	family	O-claim
5	21	would	O-claim
5	22	be	O-claim
5	23	split	O-claim
5	24	apart	O-claim
5	25	.	O-claim
6	0	What	O-claim
6	1	kind	O-claim
6	2	of	O-claim
6	3	journey	O-claim
6	4	would	O-claim
6	5	this	O-claim
6	6	take	O-claim
6	7	me	O-claim
6	8	on	O-claim
6	9	?	O-claim
7	0	Am	O-claim
7	1	I	O-claim
7	2	going	O-claim
7	3	to	O-claim
7	4	feel	O-claim
7	5	this	O-claim
7	6	way	O-claim
7	7	forever	O-claim
7	8	?	O-claim
8	0	I	O-claim
8	1	knew	O-claim
8	2	my	O-claim
8	3	parent	O-claim
8	4	's	O-claim
8	5	divorce	O-claim
8	6	would	O-claim
8	7	affect	O-claim
8	8	me	O-claim
8	9	,	O-claim
8	10	but	O-claim
8	11	I	O-claim
8	12	also	O-claim
8	13	knew	O-claim
8	14	it	O-claim
8	15	would	O-claim
8	16	be	O-claim
8	17	my	O-claim
8	18	greatest	O-claim
8	19	and	O-claim
8	20	hardest	O-claim
8	21	obstacle	O-claim
8	22	to	O-claim
8	23	overcome	O-claim
8	24	.	O-claim
9	0	Growing	O-claim
9	1	up	O-claim
9	2	,	O-claim
9	3	my	O-claim
9	4	family	O-claim
9	5	was	O-claim
9	6	always	O-claim
9	7	there	O-claim
9	8	,	O-claim
9	9	at	O-claim
9	10	constant	O-claim
9	11	care	O-claim
9	12	for	O-claim
9	13	me	O-claim
9	14	,	O-claim
9	15	a	O-claim
9	16	cushion	O-claim
9	17	for	O-claim
9	18	me	O-claim
9	19	to	O-claim
9	20	lean	O-claim
9	21	on	O-claim
9	22	.	O-claim
10	0	Family	O-claim
10	1	means	O-claim
10	2	everything	O-claim
10	3	to	O-claim
10	4	me	O-claim
10	5	,	O-claim
10	6	although	O-claim
10	7	when	O-claim
10	8	it	O-claim
10	9	's	O-claim
10	10	torn	O-claim
10	11	apart	O-claim
10	12	,	O-claim
10	13	the	O-claim
10	14	adjustment	O-claim
10	15	can	O-claim
10	16	be	O-claim
10	17	difficult	O-claim
10	18	.	O-claim
11	0	One	O-claim
11	1	day	O-claim
11	2	my	O-claim
11	3	parents	O-claim
11	4	were	O-claim
11	5	together	O-claim
11	6	,	O-claim
11	7	and	O-claim
11	8	suddenly	O-claim
11	9	the	O-claim
11	10	next	O-claim
11	11	day	O-claim
11	12	,	O-claim
11	13	they	O-claim
11	14	're	O-claim
11	15	not	O-claim
11	16	.	O-claim
12	0	The	O-claim
12	1	challenging	O-claim
12	2	part	O-claim
12	3	about	O-claim
12	4	this	O-claim
12	5	is	O-claim
12	6	not	O-claim
12	7	being	O-claim
12	8	able	O-claim
12	9	to	O-claim
12	10	see	O-claim
12	11	them	O-claim
12	12	together	O-claim
12	13	again	O-claim
12	14	.	O-claim
13	0	Before	O-claim
13	1	all	O-claim
13	2	of	O-claim
13	3	this	O-claim
13	4	happened	O-claim
13	5	,	O-claim
13	6	we	O-claim
13	7	were	O-claim
13	8	a	O-claim
13	9	tight	O-claim
13	10	-	O-claim
13	11	knit	O-claim
13	12	family	O-claim
13	13	,	O-claim
13	14	we	O-claim
13	15	were	O-claim
13	16	grateful	O-claim
13	17	and	O-claim
13	18	appreciative	O-claim
13	19	of	O-claim
13	20	each	O-claim
13	21	other	O-claim
13	22	.	O-claim
14	0	The	O-claim
14	1	typical	O-claim
14	2	average	O-claim
14	3	family	O-claim
14	4	that	O-claim
14	5	spent	O-claim
14	6	time	O-claim
14	7	on	O-claim
14	8	vacation	O-claim
14	9	together	O-claim
14	10	,	O-claim
14	11	dined	O-claim
14	12	out	O-claim
14	13	to	O-claim
14	14	eat	O-claim
14	15	on	O-claim
14	16	the	O-claim
14	17	weekends	O-claim
14	18	.	O-claim
15	0	Celebrated	O-claim
15	1	our	O-claim
15	2	birthdays	O-claim
15	3	,	O-claim
15	4	we	O-claim
15	5	kept	O-claim
15	6	god	O-claim
15	7	first	O-claim
15	8	and	O-claim
15	9	cherished	O-claim
15	10	our	O-claim
15	11	Sunday	O-claim
15	12	mornings	O-claim
15	13	at	O-claim
15	14	church	O-claim
15	15	.	O-claim
16	0	We	O-claim
16	1	had	O-claim
16	2	our	O-claim
16	3	joyful	O-claim
16	4	and	O-claim
16	5	sorrow	O-claim
16	6	or	O-claim
16	7	angered	O-claim
16	8	moments	O-claim
16	9	,	O-claim
16	10	but	O-claim
16	11	through	O-claim
16	12	it	O-claim
16	13	all	O-claim
16	14	,	O-claim
16	15	we	O-claim
16	16	were	O-claim
16	17	there	O-claim
16	18	for	O-claim
16	19	one	O-claim
16	20	another	O-claim
16	21	.	O-claim
17	0	Except	O-claim
17	1	that	O-claim
17	2	was	O-claim
17	3	the	O-claim
17	4	past	O-claim
17	5	,	O-claim
17	6	and	O-claim
17	7	all	O-claim
17	8	pleasant	O-claim
17	9	times	O-claim
17	10	together	O-claim
17	11	were	O-claim
17	12	over	O-claim
17	13	,	O-claim
17	14	It	O-claim
17	15	was	O-claim
17	16	time	O-claim
17	17	to	O-claim
17	18	start	O-claim
17	19	a	O-claim
17	20	new	O-claim
17	21	chapter	O-claim
17	22	in	O-claim
17	23	our	O-claim
17	24	lives	O-claim
17	25	.	O-claim
18	0	A	O-claim
18	1	separation	O-claim
18	2	between	O-claim
18	3	two	O-claim
18	4	individuals	O-claim
18	5	can	O-claim
18	6	be	O-claim
18	7	strenuous	O-claim
18	8	on	O-claim
18	9	everyone	O-claim
18	10	's	O-claim
18	11	relationship	O-claim
18	12	,	O-claim
18	13	especially	O-claim
18	14	when	O-claim
18	15	it	O-claim
18	16	's	O-claim
18	17	my	O-claim
18	18	parent	O-claim
18	19	's	O-claim
18	20	.	O-claim
19	0	Once	O-claim
19	1	I	O-claim
19	2	realized	O-claim
19	3	what	O-claim
19	4	was	O-claim
19	5	happening	O-claim
19	6	between	O-claim
19	7	my	O-claim
19	8	parents	O-claim
19	9	,	O-claim
19	10	I	O-claim
19	11	knew	O-claim
19	12	my	O-claim
19	13	life	O-claim
19	14	would	O-claim
19	15	change	O-claim
19	16	forever	O-claim
19	17	.	O-claim
20	0	Many	O-claim
20	1	more	O-claim
20	2	problems	O-claim
20	3	arose	O-claim
20	4	after	O-claim
20	5	my	O-claim
20	6	parents	O-claim
20	7	separated	O-claim
20	8	.	O-claim
21	0	They	O-claim
21	1	disagreed	O-claim
21	2	on	O-claim
21	3	when	O-claim
21	4	each	O-claim
21	5	parent	O-claim
21	6	would	O-claim
21	7	be	O-claim
21	8	with	O-claim
21	9	my	O-claim
21	10	sister	O-claim
21	11	and	O-claim
21	12	I	O-claim
21	13	,	O-claim
21	14	we	O-claim
21	15	alternated	O-claim
21	16	between	O-claim
21	17	houses	O-claim
21	18	.	O-claim
22	0	My	O-claim
22	1	dad	O-claim
22	2	moved	O-claim
22	3	out	O-claim
22	4	and	O-claim
22	5	in	O-claim
22	6	with	O-claim
22	7	his	O-claim
22	8	brother	O-claim
22	9	,	O-claim
22	10	and	O-claim
22	11	my	O-claim
22	12	mom	O-claim
22	13	remained	O-claim
22	14	living	O-claim
22	15	in	O-claim
22	16	my	O-claim
22	17	childhood	O-claim
22	18	home	O-claim
22	19	.	O-claim
23	0	As	O-claim
23	1	the	O-claim
23	2	divorce	O-claim
23	3	progressed	O-claim
23	4	on	O-claim
23	5	,	O-claim
23	6	my	O-claim
23	7	dad	O-claim
23	8	eventually	O-claim
23	9	found	O-claim
23	10	his	O-claim
23	11	own	O-claim
23	12	place	O-claim
23	13	.	O-claim
24	0	My	O-claim
24	1	sister	O-claim
24	2	and	O-claim
24	3	I	O-claim
24	4	struggled	O-claim
24	5	with	O-claim
24	6	moving	O-claim
24	7	back	O-claim
24	8	and	O-claim
24	9	forth	O-claim
24	10	.	O-claim
25	0	It	O-claim
25	1	was	O-claim
25	2	a	O-claim
25	3	continuous	O-claim
25	4	strain	O-claim
25	5	on	O-claim
25	6	us	O-claim
25	7	mentally	O-claim
25	8	,	O-claim
25	9	having	O-claim
25	10	to	O-claim
25	11	remember	O-claim
25	12	whose	O-claim
25	13	house	O-claim
25	14	we	O-claim
25	15	were	O-claim
25	16	at	O-claim
25	17	that	O-claim
25	18	day	O-claim
25	19	.	O-claim
26	0	Every	O-claim
26	1	item	O-claim
26	2	we	O-claim
26	3	wanted	O-claim
26	4	or	O-claim
26	5	needed	O-claim
26	6	,	O-claim
26	7	from	O-claim
26	8	clothes	O-claim
26	9	and	O-claim
26	10	shoes	O-claim
26	11	we	O-claim
26	12	wanted	O-claim
26	13	to	O-claim
26	14	wear	O-claim
26	15	,	O-claim
26	16	or	O-claim
26	17	supplies	O-claim
26	18	for	O-claim
26	19	school	O-claim
26	20	the	O-claim
26	21	next	O-claim
26	22	day	O-claim
26	23	,	O-claim
26	24	we	O-claim
26	25	had	O-claim
26	26	to	O-claim
26	27	grab	O-claim
26	28	.	O-claim
27	0	I	O-claim
27	1	disliked	O-claim
27	2	moving	O-claim
27	3	between	O-claim
27	4	houses	O-claim
27	5	,	O-claim
27	6	the	O-claim
27	7	only	O-claim
27	8	place	O-claim
27	9	I	O-claim
27	10	wanted	O-claim
27	11	to	O-claim
27	12	stay	O-claim
27	13	was	O-claim
27	14	at	O-claim
27	15	home	O-claim
27	16	.	O-claim
28	0	The	O-claim
28	1	house	O-claim
28	2	I	O-claim
28	3	lived	O-claim
28	4	in	O-claim
28	5	my	O-claim
28	6	whole	O-claim
28	7	life	O-claim
28	8	.	O-claim
29	0	My	O-claim
29	1	home	O-claim
29	2	,	O-claim
29	3	where	O-claim
29	4	the	O-claim
29	5	pumpkin	O-claim
29	6	pie	O-claim
29	7	scented	O-claim
29	8	candle	O-claim
29	9	aroma	O-claim
29	10	filled	O-claim
29	11	the	O-claim
29	12	air	O-claim
29	13	.	O-claim
30	0	The	O-claim
30	1	comfort	O-claim
30	2	of	O-claim
30	3	the	O-claim
30	4	gray	O-claim
30	5	L	O-claim
30	6	shaped	O-claim
30	7	couch	O-claim
30	8	where	O-claim
30	9	I	O-claim
30	10	would	O-claim
30	11	rest	O-claim
30	12	my	O-claim
30	13	eyes	O-claim
30	14	after	O-claim
30	15	a	O-claim
30	16	long	O-claim
30	17	day	O-claim
30	18	.	O-claim
31	0	The	O-claim
31	1	house	O-claim
31	2	with	O-claim
31	3	my	O-claim
31	4	old	O-claim
31	5	childhood	O-claim
31	6	memories	O-claim
31	7	I	O-claim
31	8	cherished	O-claim
31	9	.	O-claim
32	0	That	O-claim
32	1	's	O-claim
32	2	where	O-claim
32	3	I	O-claim
32	4	wanted	O-claim
32	5	to	O-claim
32	6	be	O-claim
32	7	.	O-claim
33	0	As	O-claim
33	1	time	O-claim
33	2	went	O-claim
33	3	on	O-claim
33	4	,	O-claim
33	5	my	O-claim
33	6	parent	O-claim
33	7	's	O-claim
33	8	relationship	O-claim
33	9	became	O-claim
33	10	worse	O-claim
33	11	.	O-claim
34	0	I	O-claim
34	1	found	O-claim
34	2	myself	O-claim
34	3	in	O-claim
34	4	the	O-claim
34	5	middle	O-claim
34	6	of	O-claim
34	7	their	O-claim
34	8	conversations	O-claim
34	9	,	O-claim
34	10	I	O-claim
34	11	would	O-claim
34	12	be	O-claim
34	13	the	O-claim
34	14	one	O-claim
34	15	telling	O-claim
34	16	them	O-claim
34	17	what	O-claim
34	18	the	O-claim
34	19	other	O-claim
34	20	parent	O-claim
34	21	said	O-claim
34	22	.	O-claim
35	0	Instead	O-claim
35	1	of	O-claim
35	2	them	O-claim
35	3	talking	O-claim
35	4	to	O-claim
35	5	each	O-claim
35	6	other	O-claim
35	7	,	O-claim
35	8	it	O-claim
35	9	would	O-claim
35	10	go	O-claim
35	11	through	O-claim
35	12	me	O-claim
35	13	or	O-claim
35	14	my	O-claim
35	15	sister	O-claim
35	16	.	O-claim
36	0	The	O-claim
36	1	more	O-claim
36	2	arguments	O-claim
36	3	and	O-claim
36	4	disagreements	O-claim
36	5	they	O-claim
36	6	had	O-claim
36	7	,	O-claim
36	8	the	O-claim
36	9	more	O-claim
36	10	they	O-claim
36	11	stopped	O-claim
36	12	communicating	O-claim
36	13	.	O-claim
37	0	The	O-claim
37	1	communication	O-claim
37	2	amongst	O-claim
37	3	them	O-claim
37	4	stopped	O-claim
37	5	all	O-claim
37	6	together	O-claim
37	7	.	O-claim
38	0	My	O-claim
38	1	sister	O-claim
38	2	and	O-claim
38	3	I	O-claim
38	4	were	O-claim
38	5	the	O-claim
38	6	ones	O-claim
38	7	left	O-claim
38	8	to	O-claim
38	9	communicate	O-claim
38	10	.	O-claim
39	0	During	O-claim
39	1	the	O-claim
39	2	divorce	O-claim
39	3	,	O-claim
39	4	I	O-claim
39	5	closed	O-claim
39	6	myself	O-claim
39	7	off	O-claim
39	8	,	O-claim
39	9	I	O-claim
39	10	kept	O-claim
39	11	everything	O-claim
39	12	inside	O-claim
39	13	.	O-claim
40	0	I	O-claim
40	1	was	O-claim
40	2	afraid	O-claim
40	3	to	O-claim
40	4	tell	O-claim
40	5	my	O-claim
40	6	parents	O-claim
40	7	what	O-claim
40	8	I	O-claim
40	9	felt	O-claim
40	10	because	O-claim
40	11	I	O-claim
40	12	thought	O-claim
40	13	it	O-claim
40	14	would	O-claim
40	15	hurt	O-claim
40	16	them	O-claim
40	17	.	O-claim
41	0	I	O-claim
41	1	eventually	O-claim
41	2	told	O-claim
41	3	them	O-claim
41	4	,	O-claim
41	5	I	O-claim
41	6	knew	O-claim
41	7	I	O-claim
41	8	did	O-claim
41	9	n't	O-claim
41	10	have	O-claim
41	11	to	O-claim
41	12	be	O-claim
41	13	afraid	O-claim
41	14	anymore	O-claim
41	15	.	O-claim
42	0	For	O-claim
42	1	a	O-claim
42	2	year	O-claim
42	3	,	O-claim
42	4	I	O-claim
42	5	wished	O-claim
42	6	,	O-claim
42	7	and	O-claim
42	8	wished	O-claim
42	9	for	O-claim
42	10	my	O-claim
42	11	parents	O-claim
42	12	to	O-claim
42	13	get	O-claim
42	14	back	O-claim
42	15	together	O-claim
42	16	.	O-claim
43	0	I	O-claim
43	1	finally	O-claim
43	2	realized	O-claim
43	3	my	O-claim
43	4	parents	O-claim
43	5	were	O-claim
43	6	n't	O-claim
43	7	going	O-claim
43	8	to	O-claim
43	9	get	O-claim
43	10	back	O-claim
