sentence_id	token_id	token	label
0	0	People	O
0	1	who	O
0	2	ca	O
0	3	n’t	O
0	4	accept	O
0	5	others	O
0	6	’	O
0	7	criticism	O
0	8	ca	O
0	9	n’t	O
0	10	succeed	O
0	11	in	O
0	12	group	O
0	13	working	O
0	14	_NEW_LINE__NEW_LINE_	O
1	0	In	O
1	1	everyday	O
1	2	life	O
1	3	we	O
1	4	encounter	O
1	5	different	O
1	6	people	O
1	7	,	O
1	8	and	O
1	9	we	O
1	10	receive	O
1	11	different	O
1	12	opinions	O
1	13	about	O
1	14	us	O
1	15	or	O
1	16	our	O
1	17	works	O
1	18	,	O
1	19	no	O
1	20	matter	O
1	21	positive	O
1	22	or	O
1	23	negative	O
1	24	.	O
2	0	It	O
2	1	might	O
2	2	be	O
2	3	easy	O
2	4	to	O
2	5	take	O
2	6	praises	O
2	7	but	O
2	8	hard	O
2	9	to	O
2	10	accept	O
2	11	criticism	O
2	12	.	O
3	0	Therefore	O
3	1	,	O
3	2	here	O
3	3	goes	O
3	4	the	O
3	5	point	O
3	6	that	O
3	7	people	Arg-B
3	8	who	Arg-I
3	9	ca	Arg-I
3	10	n't	Arg-I
3	11	accept	Arg-I
3	12	others	Arg-I
3	13	'	Arg-I
3	14	criticism	Arg-I
3	15	ca	Arg-I
3	16	n't	Arg-I
3	17	succeed	Arg-I
3	18	in	Arg-I
3	19	group	Arg-I
3	20	working	Arg-I
3	21	.	O
4	0	Personally	O
4	1	,	O
4	2	I	O
4	3	agree	O
4	4	with	O
4	5	this	O
4	6	statement	O
4	7	.	O
4	8	_NEW_LINE_	O
5	0	First	O
5	1	,	O
5	2	the	Arg-B
5	3	core	Arg-I
5	4	of	Arg-I
5	5	group	Arg-I
5	6	working	Arg-I
5	7	is	Arg-I
5	8	"	Arg-I
5	9	consensus	Arg-I
5	10	"	Arg-I
5	11	.	O
6	0	It	Arg-B
6	1	's	Arg-I
6	2	the	Arg-I
6	3	idea	Arg-I
6	4	that	Arg-I
6	5	everyone	Arg-I
6	6	’s	Arg-I
6	7	opinion	Arg-I
6	8	accounts	Arg-I
6	9	.	O
7	0	In	Arg-B
7	1	group	Arg-I
7	2	works	Arg-I
7	3	,	Arg-I
7	4	group	Arg-I
7	5	members	Arg-I
7	6	gather	Arg-I
7	7	together	Arg-I
