sentence_id	token_id	token	label
0	0	Julia	O-claim
0	1	Rodriguez	O-claim
0	2	Due	O-claim
0	3	:	O-claim
0	4	Dec.	O-claim
0	5	3	O-claim
0	6	,	O-claim
0	7	2018	O-claim
1	0	Winter	O-claim
1	1	of	O-claim
1	2	junior	O-claim
1	3	year	O-claim
1	4	was	O-claim
1	5	coming	O-claim
1	6	to	O-claim
1	7	an	O-claim
1	8	end	O-claim
1	9	and	O-claim
1	10	softball	O-claim
1	11	season	O-claim
1	12	was	O-claim
1	13	about	O-claim
1	14	to	O-claim
1	15	begin	O-claim
1	16	my	O-claim
1	17	world	O-claim
1	18	was	O-claim
1	19	shaken	O-claim
1	20	.	O-claim
2	0	Tryouts	O-claim
2	1	were	O-claim
2	2	happening	O-claim
2	3	tomorrow	O-claim
2	4	and	O-claim
2	5	I	O-claim
2	6	was	O-claim
2	7	scared	O-claim
2	8	,	O-claim
2	9	but	O-claim
2	10	was	O-claim
2	11	hopeful	O-claim
2	12	I	O-claim
2	13	was	O-claim
2	14	going	O-claim
2	15	to	O-claim
2	16	make	O-claim
2	17	the	O-claim
2	18	team	O-claim
2	19	.	O-claim
3	0	In	O-claim
3	1	order	O-claim
3	2	to	O-claim
3	3	get	O-claim
3	4	some	O-claim
3	5	extra	O-claim
3	6	practice	O-claim
3	7	I	O-claim
3	8	went	O-claim
3	9	to	O-claim
3	10	East	O-claim
3	11	Lake	O-claim
3	12	and	O-claim
3	13	was	O-claim
3	14	teaching	O-claim
3	15	a	O-claim
3	16	younger	O-claim
3	17	girl	O-claim
3	18	how	O-claim
3	19	to	O-claim
3	20	play	O-claim
3	21	.	O-claim
4	0	However	O-claim
4	1	,	O-claim
4	2	something	O-claim
4	3	happened	O-claim
4	4	and	O-claim
4	5	the	O-claim
4	6	girl	O-claim
4	7	had	O-claim
4	8	to	O-claim
4	9	leave	O-claim
4	10	.	O-claim
5	0	I	O-claim
5	1	did	O-claim
5	2	n't	O-claim
5	3	think	O-claim
5	4	anything	O-claim
5	5	was	O-claim
5	6	wrong	O-claim
5	7	.	O-claim
6	0	Yet	O-claim
6	1	when	O-claim
6	2	I	O-claim
6	3	went	O-claim
6	4	back	O-claim
6	5	to	O-claim
6	6	my	O-claim
6	7	car	O-claim
6	8	I	O-claim
6	9	saw	O-claim
6	10	my	O-claim
6	11	mom	O-claim
6	12	sitting	O-claim
6	13	there	O-claim
6	14	looking	O-claim
6	15	like	O-claim
6	16	she	O-claim
6	17	was	O-claim
6	18	crying	O-claim
6	19	.	O-claim
7	0	I	O-claim
7	1	was	O-claim
7	2	shocked	O-claim
7	3	I	O-claim
7	4	never	O-claim
7	5	saw	O-claim
7	6	my	O-claim
7	7	mom	O-claim
7	8	cry	O-claim
7	9	before	O-claim
7	10	and	O-claim
7	11	the	O-claim
7	12	only	O-claim
7	13	other	O-claim
7	14	time	O-claim
7	15	I	O-claim
7	16	saw	O-claim
7	17	her	O-claim
7	18	weak	O-claim
7	19	and	O-claim
7	20	fragile	O-claim
7	21	was	O-claim
7	22	in	O-claim
7	23	the	O-claim
7	24	hospital	O-claim
7	25	after	O-claim
7	26	her	O-claim
7	27	heart	O-claim
7	28	attack	O-claim
7	29	.	O-claim
8	0	I	O-claim
8	1	asked	O-claim
8	2	what	O-claim
8	3	was	O-claim
8	4	wrong	O-claim
8	5	and	O-claim
8	6	never	O-claim
8	7	would	O-claim
8	8	have	O-claim
8	9	assumed	O-claim
8	10	what	O-claim
8	11	I	O-claim
8	12	was	O-claim
8	13	going	O-claim
8	14	to	O-claim
8	15	hear	O-claim
8	16	.	O-claim
9	0	Grandma	O-claim
9	1	died	O-claim
9	2	.	O-claim
10	0	With	O-claim
10	1	that	O-claim
10	2	simple	O-claim
10	3	phrase	O-claim
10	4	,	O-claim
10	5	my	O-claim
10	6	world	O-claim
10	7	was	O-claim
10	8	transformed	O-claim
10	9	and	O-claim
10	10	not	O-claim
10	11	for	O-claim
10	12	the	O-claim
10	13	better	O-claim
10	14	.	O-claim
11	0	That	O-claim
11	1	Saturday	O-claim
11	2	night	O-claim
11	3	she	O-claim
11	4	was	O-claim
11	5	out	O-claim
11	6	with	O-claim
11	7	her	O-claim
11	8	friends	O-claim
11	9	and	O-claim
11	10	when	O-claim
11	11	she	O-claim
11	12	came	O-claim
11	13	home	O-claim
11	14	she	O-claim
11	15	got	O-claim
11	16	ready	O-claim
11	17	for	O-claim
11	18	bed	O-claim
11	19	and	O-claim
11	20	started	O-claim
11	21	to	O-claim
11	22	read	O-claim
11	23	.	O-claim
12	0	Sunday	O-claim
12	1	morning	O-claim
12	2	comes	O-claim
12	3	and	O-claim
12	4	her	O-claim
12	5	friends	O-claim
12	6	came	O-claim
12	7	to	O-claim
12	8	pick	O-claim
12	9	her	O-claim
12	10	up	O-claim
12	11	to	O-claim
12	12	go	O-claim
12	13	out	O-claim
12	14	.	O-claim
13	0	She	O-claim
13	1	was	O-claim
13	2	n't	O-claim
13	3	ready	O-claim
13	4	and	O-claim
13	5	was	O-claim
13	6	n't	O-claim
13	7	answering	O-claim
13	8	the	O-claim
13	9	phone	O-claim
13	10	.	O-claim
14	0	A	O-claim
14	1	neighbor	O-claim
14	2	has	O-claim
14	3	a	O-claim
14	4	key	O-claim
14	5	for	O-claim
14	6	her	O-claim
14	7	house	O-claim
14	8	and	O-claim
14	9	they	O-claim
14	10	come	O-claim
14	11	in	O-claim
14	12	and	O-claim
14	13	there	O-claim
14	14	she	O-claim
14	15	was	O-claim
14	16	lying	O-claim
14	17	in	O-claim
14	18	her	O-claim
14	19	bed	O-claim
14	20	with	O-claim
14	21	her	O-claim
14	22	book	O-claim
14	23	in	O-claim
14	24	her	O-claim
14	25	hands	O-claim
14	26	.	O-claim
15	0	After	O-claim
15	1	the	O-claim
15	2	cops	O-claim
15	3	showed	O-claim
15	4	up	O-claim
15	5	,	O-claim
15	6	they	O-claim
15	7	needed	O-claim
15	8	to	O-claim
15	9	alert	O-claim
15	10	the	O-claim
15	11	next	O-claim
15	12	of	O-claim
15	13	kin	O-claim
15	14	what	O-claim
15	15	happened	O-claim
15	16	.	O-claim
16	0	However	O-claim
16	1	she	O-claim
16	2	was	O-claim
16	3	in	O-claim
16	4	Florida	O-claim
16	5	.	O-claim
17	0	The	O-claim
17	1	next	O-claim
17	2	of	O-claim
17	3	kin	O-claim
17	4	was	O-claim
17	5	my	O-claim
17	6	mother	O-claim
17	7	.	O-claim
18	0	She	O-claim
18	1	was	O-claim
18	2	the	O-claim
18	3	one	O-claim
18	4	that	O-claim
18	5	told	O-claim
18	6	me	O-claim
18	7	.	O-claim
19	0	I	O-claim
19	1	could	O-claim
19	2	n't	O-claim
19	3	believe	O-claim
19	4	it	O-claim
19	5	.	O-claim
20	0	I	O-claim
20	1	did	O-claim
20	2	n't	O-claim
20	3	know	O-claim
20	4	what	O-claim
20	5	to	O-claim
20	6	do	O-claim
20	7	.	O-claim
21	0	I	O-claim
21	1	just	O-claim
21	2	remember	O-claim
21	3	crying	O-claim
21	4	for	O-claim
21	5	as	O-claim
21	6	long	O-claim
21	7	as	O-claim
21	8	a	O-claim
21	9	lifetime	O-claim
21	10	.	O-claim
22	0	We	O-claim
22	1	went	O-claim
22	2	home	O-claim
22	3	to	O-claim
22	4	pick	O-claim
22	5	up	O-claim
22	6	my	O-claim
22	7	brother	O-claim
22	8	and	O-claim
22	9	that	O-claim
22	10	's	O-claim
22	11	when	O-claim
22	12	he	O-claim
22	13	found	O-claim
22	14	out	O-claim
22	15	.	O-claim
23	0	Then	O-claim
23	1	I	O-claim
23	2	had	O-claim
23	3	to	O-claim
23	4	text	O-claim
23	5	my	O-claim
23	6	cousin	O-claim
23	7	to	O-claim
23	8	make	O-claim
23	9	sure	O-claim
23	10	they	O-claim
23	11	were	O-claim
23	12	home	O-claim
23	13	so	O-claim
23	14	we	O-claim
23	15	could	O-claim
23	16	go	O-claim
23	17	over	O-claim
23	18	and	O-claim
23	19	let	O-claim
23	20	them	O-claim
23	21	know	O-claim
23	22	.	O-claim
24	0	When	O-claim
24	1	we	O-claim
24	2	got	O-claim
24	3	to	O-claim
24	4	their	O-claim
24	5	house	O-claim
24	6	,	O-claim
24	7	my	O-claim
24	8	mom	O-claim
24	9	went	O-claim
24	10	and	O-claim
24	11	told	O-claim
24	12	her	O-claim
24	13	brother	O-claim
24	14	.	O-claim
25	0	He	O-claim
25	1	screamed	O-claim
25	2	then	O-claim
25	3	started	O-claim
25	4	to	O-claim
25	5	bawl	O-claim
25	6	.	O-claim
26	0	My	O-claim
26	1	phone	O-claim
26	2	started	O-claim
26	3	to	O-claim
26	4	ring	O-claim
26	5	but	O-claim
26	6	I	O-claim
26	7	could	O-claim
26	8	n't	O-claim
26	9	pick	O-claim
26	10	it	O-claim
26	11	up	O-claim
26	12	.	O-claim
27	0	Shortly	O-claim
27	1	after	O-claim
27	2	but	O-claim
27	3	felt	O-claim
27	4	like	O-claim
27	5	forever	O-claim
27	6	,	O-claim
27	7	my	O-claim
27	8	uncle	O-claim
27	9	went	O-claim
27	10	in	O-claim
27	11	and	O-claim
27	12	told	O-claim
27	13	my	O-claim
27	14	cousins	O-claim
