sentence_id	token_id	token	label
0	0	Arleny	O-claim
0	1	Pena	O-claim
0	2	Mrs.	O-claim
0	3	McAllister	O-claim
0	4	/	O-claim
0	5	Tyson	O-claim
0	6	English	O-claim
0	7	1	O-claim
0	8	18	O-claim
0	9	-	O-claim
0	10	3	O-claim
0	11	-	O-claim
0	12	19	O-claim
0	13	Hero	O-claim
0	14	's	O-claim
0	15	Journey	O-claim
0	16	I	O-claim
0	17	crouched	O-claim
0	18	below	O-claim
0	19	the	O-claim
0	20	branches	O-claim
0	21	letting	O-claim
0	22	out	O-claim
0	23	a	O-claim
0	24	small	O-claim
0	25	sigh	O-claim
0	26	of	O-claim
0	27	relief	O-claim
0	28	.	O-claim
