sentence_id	token_id	token	label
0	0	Overcoming	O-claim
0	1	my	O-claim
0	2	struggle	O-claim
0	3	with	O-claim
0	4	Dyslexia	O-claim
1	0	I	O-claim
1	1	had	O-claim
1	2	no	O-claim
1	3	idea	O-claim
1	4	that	O-claim
1	5	being	O-claim
1	6	diagnosed	O-claim
1	7	with	O-claim
1	8	Dyslexia	O-claim
1	9	was	O-claim
1	10	going	O-claim
1	11	to	O-claim
1	12	affect	O-claim
1	13	my	O-claim
1	14	life	O-claim
1	15	so	O-claim
1	16	drastically	O-claim
1	17	.	O-claim
2	0	I	O-claim
2	1	remember	O-claim
2	2	the	O-claim
2	3	day	O-claim
2	4	my	O-claim
2	5	doctor	O-claim
2	6	told	O-claim
2	7	us	O-claim
2	8	I	O-claim
2	9	had	O-claim
2	10	a	O-claim
2	11	learning	O-claim
2	12	disability	O-claim
2	13	.	O-claim
3	0	When	O-claim
3	1	I	O-claim
3	2	first	O-claim
3	3	found	O-claim
3	4	out	O-claim
3	5	,	O-claim
3	6	I	O-claim
3	7	did	O-claim
3	8	n't	O-claim
3	9	think	O-claim
3	10	much	O-claim
3	11	of	O-claim
3	12	It	O-claim
3	13	.	O-claim
4	0	It	O-claim
4	1	did	O-claim
4	2	n't	O-claim
4	3	bother	O-claim
4	4	me	O-claim
4	5	or	O-claim
4	6	affect	O-claim
4	7	me	O-claim
4	8	at	O-claim
4	9	all	O-claim
4	10	.	O-claim
5	0	As	O-claim
5	1	I	O-claim
5	2	advanced	O-claim
5	3	into	O-claim
5	4	higher	O-claim
5	5	grades	O-claim
5	6	,	O-claim
5	7	I	O-claim
5	8	started	O-claim
5	9	to	O-claim
5	10	understand	O-claim
5	11	what	O-claim
5	12	it	O-claim
5	13	was	O-claim
5	14	I	O-claim
5	15	was	O-claim
5	16	dealing	O-claim
5	17	with	O-claim
5	18	.	O-claim
6	0	It	O-claim
6	1	became	O-claim
6	2	harder	O-claim
6	3	for	O-claim
6	4	me	O-claim
6	5	to	O-claim
6	6	keep	O-claim
6	7	up	O-claim
6	8	with	O-claim
6	9	my	O-claim
6	10	class	O-claim
6	11	.	O-claim
7	0	I	O-claim
7	1	started	O-claim
7	2	to	O-claim
7	3	struggle	O-claim
7	4	with	O-claim
7	5	writing	O-claim
7	6	,	O-claim
7	7	reading	O-claim
7	8	and	O-claim
7	9	spelling	O-claim
7	10	.	O-claim
8	0	Being	O-claim
8	1	diagnosed	O-claim
8	2	with	O-claim
8	3	Dyslexia	B-claim
8	4	can	I-claim
8	5	be	I-claim
8	6	a	I-claim
8	7	challenge	I-claim
8	8	,	O-claim
8	9	but	O-claim
8	10	can	O-claim
8	11	be	O-claim
8	12	overcome	O-claim
8	13	.	O-claim
9	0	Finding	O-claim
9	1	out	O-claim
9	2	I	O-claim
9	3	was	O-claim
9	4	different	O-claim
9	5	and	O-claim
9	6	learning	O-claim
9	7	what	O-claim
9	8	Dyslexia	O-claim
9	9	was	O-claim
9	10	and	O-claim
9	11	how	O-claim
9	12	I	O-claim
9	13	struggled	O-claim
9	14	with	O-claim
9	15	it	O-claim
9	16	was	O-claim
9	17	difficult	O-claim
9	18	.	O-claim
10	0	I	O-claim
10	1	had	O-claim
10	2	always	O-claim
10	3	thought	O-claim
10	4	I	O-claim
10	5	was	O-claim
10	6	like	O-claim
10	7	everyone	O-claim
10	8	else	O-claim
10	9	.	O-claim
11	0	Life	O-claim
11	1	was	O-claim
11	2	pretty	O-claim
11	3	normal	O-claim
11	4	in	O-claim
11	5	kindergarten	O-claim
11	6	through	O-claim
11	7	second	O-claim
11	8	grade	O-claim
11	9	,	O-claim
11	10	I	O-claim
11	11	had	O-claim
11	12	my	O-claim
11	13	family	O-claim
11	14	and	O-claim
11	15	my	O-claim
11	16	friends	O-claim
11	17	.	O-claim
12	0	In	O-claim
12	1	class	O-claim
12	2	we	O-claim
12	3	were	O-claim
12	4	all	O-claim
12	5	still	O-claim
12	6	learning	O-claim
12	7	to	O-claim
12	8	read	O-claim
12	9	and	O-claim
12	10	write	O-claim
12	11	,	O-claim
12	12	I	O-claim
12	13	did	O-claim
12	14	not	O-claim
12	15	feel	O-claim
12	16	behind	O-claim
12	17	,	O-claim
12	18	slow	O-claim
12	19	or	O-claim
12	20	confused	O-claim
12	21	about	O-claim
12	22	the	O-claim
12	23	work	O-claim
12	24	we	O-claim
12	25	were	O-claim
12	26	doing	O-claim
12	27	.	O-claim
13	0	I	O-claim
13	1	was	O-claim
13	2	in	O-claim
13	3	the	O-claim
13	4	same	O-claim
13	5	class	O-claim
13	6	as	O-claim
13	7	my	O-claim
13	8	friends	O-claim
13	9	for	O-claim
13	10	the	O-claim
13	11	whole	O-claim
13	12	day	O-claim
13	13	and	O-claim
13	14	we	O-claim
13	15	did	O-claim
13	16	every	O-claim
13	17	activity	O-claim
13	18	together	O-claim
13	19	.	O-claim
14	0	I	O-claim
14	1	felt	O-claim
14	2	smart	O-claim
14	3	and	O-claim
14	4	I	O-claim
14	5	was	O-claim
14	6	excited	O-claim
14	7	to	O-claim
14	8	learn	O-claim
14	9	.	O-claim
15	0	Towards	O-claim
15	1	the	O-claim
15	2	end	O-claim
15	3	of	O-claim
15	4	second	O-claim
15	5	grade	O-claim
15	6	I	O-claim
15	7	began	O-claim
15	8	to	O-claim
15	9	fall	O-claim
15	10	behind	O-claim
15	11	.	O-claim
16	0	I	O-claim
16	1	had	O-claim
16	2	no	O-claim
16	3	idea	O-claim
16	4	why	O-claim
16	5	I	O-claim
16	6	was	O-claim
16	7	suddenly	O-claim
16	8	slipping	O-claim
16	9	behind	O-claim
16	10	in	O-claim
16	11	my	O-claim
16	12	class	O-claim
16	13	work	O-claim
16	14	.	O-claim
17	0	My	O-claim
17	1	confidence	O-claim
17	2	started	O-claim
17	3	to	O-claim
17	4	disappear	O-claim
17	5	and	O-claim
17	6	my	O-claim
17	7	eagerness	O-claim
17	8	to	O-claim
17	9	learn	O-claim
17	10	went	O-claim
17	11	with	O-claim
17	12	it	O-claim
17	13	.	O-claim
18	0	It	O-claim
18	1	finally	O-claim
18	2	happened	O-claim
18	3	,	O-claim
18	4	my	O-claim
18	5	mom	O-claim
18	6	started	O-claim
18	7	to	O-claim
18	8	notice	O-claim
18	9	the	O-claim
18	10	changes	O-claim
18	11	in	O-claim
18	12	my	O-claim
18	13	homework	O-claim
18	14	and	O-claim
18	15	ability	O-claim
18	16	to	O-claim
18	17	keep	O-claim
18	18	up	O-claim
18	19	with	O-claim
18	20	my	O-claim
18	21	class	O-claim
18	22	.	O-claim
19	0	She	O-claim
19	1	scheduled	O-claim
19	2	a	O-claim
19	3	doctor	O-claim
19	4	's	O-claim
19	5	appointment	O-claim
19	6	with	O-claim
19	7	Doctor	O-claim
19	8	Spens	O-claim
19	9	.	O-claim
20	0	Doctor	O-claim
20	1	Spens	O-claim
20	2	was	O-claim
20	3	a	O-claim
20	4	tall	O-claim
20	5	friendly	O-claim
20	6	man	O-claim
20	7	in	O-claim
20	8	his	O-claim
20	9	late	O-claim
20	10	thirties	O-claim
20	11	with	O-claim
20	12	light	O-claim
20	13	gray	O-claim
20	14	hair	O-claim
20	15	and	O-claim
20	16	glasses	O-claim
20	17	.	O-claim
21	0	I	O-claim
21	1	felt	O-claim
21	2	safe	O-claim
21	3	and	O-claim
21	4	comfortable	O-claim
21	5	around	O-claim
21	6	him	O-claim
21	7	.	O-claim
22	0	He	O-claim
22	1	was	O-claim
22	2	one	O-claim
22	3	of	O-claim
22	4	those	O-claim
22	5	people	O-claim
22	6	who	O-claim
22	7	gave	O-claim
22	8	off	O-claim
22	9	a	O-claim
22	10	warm	O-claim
22	11	welcoming	O-claim
22	12	feeling	O-claim
22	13	.	O-claim
23	0	My	O-claim
23	1	mom	O-claim
23	2	explained	O-claim
23	3	to	O-claim
23	4	Doctor	O-claim
23	5	Spens	O-claim
23	6	what	O-claim
23	7	she	O-claim
23	8	was	O-claim
23	9	noticing	O-claim
23	10	,	O-claim
23	11	he	O-claim
23	12	told	O-claim
23	13	my	O-claim
23	14	mom	O-claim
23	15	what	O-claim
23	16	he	O-claim
23	17	thought	O-claim
23	18	I	O-claim
23	19	was	O-claim
23	20	going	O-claim
23	21	through	O-claim
23	22	and	O-claim
23	23	gave	O-claim
23	24	her	O-claim
23	25	some	O-claim
23	26	papers	O-claim
23	27	that	O-claim
23	28	explains	O-claim
23	29	it	O-claim
23	30	better	O-claim
23	31	.	O-claim
24	0	That	O-claim
24	1	night	O-claim
24	2	she	O-claim
24	3	explained	O-claim
24	4	to	O-claim
24	5	me	O-claim
24	6	what	O-claim
24	7	he	O-claim
24	8	had	O-claim
24	9	told	O-claim
24	10	her	O-claim
24	11	and	O-claim
24	12	a	O-claim
24	13	little	O-claim
24	14	about	O-claim
24	15	what	O-claim
24	16	she	O-claim
24	17	read	O-claim
24	18	.	O-claim
25	0	She	O-claim
25	1	told	O-claim
25	2	me	O-claim
25	3	I	O-claim
25	4	had	O-claim
25	5	a	O-claim
25	6	type	O-claim
25	7	of	O-claim
25	8	learning	O-claim
25	9	disability	O-claim
25	10	called	O-claim
25	11	Dyslexia	O-claim
25	12	.	O-claim
26	0	About	O-claim
26	1	a	O-claim
26	2	year	O-claim
26	3	after	O-claim
26	4	we	O-claim
26	5	had	O-claim
26	6	seen	O-claim
26	7	Doctor	O-claim
26	8	Spens	O-claim
26	9	and	O-claim
26	10	learned	O-claim
26	11	about	O-claim
26	12	my	O-claim
26	13	learning	O-claim
26	14	disability	O-claim
26	15	,	O-claim
26	16	I	O-claim
26	17	was	O-claim
26	18	put	O-claim
26	19	in	O-claim
26	20	a	O-claim
26	21	special	O-claim
26	22	reading	O-claim
26	23	and	O-claim
26	24	spelling	O-claim
26	25	class	O-claim
26	26	.	O-claim
27	0	I	O-claim
27	1	was	O-claim
27	2	now	O-claim
27	3	in	O-claim
27	4	third	O-claim
27	5	grade	O-claim
27	6	,	O-claim
27	7	and	O-claim
27	8	I	O-claim
27	9	was	O-claim
27	10	doing	O-claim
27	11	better	O-claim
27	12	with	O-claim
27	13	my	O-claim
27	14	work	O-claim
27	15	,	O-claim
27	16	and	O-claim
27	17	keeping	O-claim
27	18	up	O-claim
27	19	with	O-claim
27	20	my	O-claim
27	21	class	O-claim
27	22	was	O-claim
27	23	easier	O-claim
27	24	.	O-claim
28	0	That	O-claim
28	1	was	O-claim
28	2	until	O-claim
28	3	middle	O-claim
28	4	school	O-claim
28	5	anyway	O-claim
28	6	.	O-claim
29	0	I	O-claim
29	1	was	O-claim
29	2	mostly	O-claim
29	3	excited	O-claim
29	4	for	O-claim
29	5	my	O-claim
29	6	sixth	O-claim
29	7	grade	O-claim
29	8	year	O-claim
29	9	of	O-claim
29	10	middle	O-claim
29	11	school	O-claim
29	12	.	O-claim
30	0	On	O-claim
30	1	the	O-claim
30	2	first	O-claim
30	3	day	O-claim
30	4	me	O-claim
30	5	and	O-claim
30	6	my	O-claim
30	7	small	O-claim
30	8	group	O-claim
30	9	of	O-claim
30	10	friends	O-claim
30	11	compared	O-claim
30	12	schedules	O-claim
30	13	to	O-claim
30	14	see	O-claim
30	15	how	O-claim
30	16	many	O-claim
30	17	classes	O-claim
30	18	we	O-claim
30	19	had	O-claim
30	20	together	O-claim
30	21	.	O-claim
31	0	I	O-claim
31	1	was	O-claim
31	2	confident	O-claim
31	3	in	O-claim
31	4	my	O-claim
31	5	skills	O-claim
31	6	to	O-claim
31	7	find	O-claim
31	8	my	O-claim
31	9	classes	O-claim
31	10	and	O-claim
31	11	get	O-claim
31	12	to	O-claim
31	13	them	O-claim
31	14	in	O-claim
31	15	time	O-claim
31	16	.	O-claim
32	0	The	O-claim
32	1	first	O-claim
32	2	few	O-claim
32	3	weeks	O-claim
32	4	went	O-claim
32	5	by	O-claim
32	6	quickly	O-claim
32	7	and	O-claim
32	8	smoothly	O-claim
32	9	.	O-claim
33	0	But	O-claim
33	1	it	O-claim
33	2	started	O-claim
33	3	to	O-claim
33	4	happen	O-claim
33	5	again	O-claim
33	6	my	O-claim
33	7	Dyslexia	O-claim
33	8	began	O-claim
33	9	to	O-claim
33	10	cause	O-claim
33	11	me	O-claim
33	12	problems	O-claim
33	13	.	O-claim
34	0	It	O-claim
34	1	began	O-claim
34	2	in	O-claim
34	3	sixth	O-claim
34	4	grade	O-claim
34	5	Language	O-claim
34	6	and	O-claim
34	7	Literature	O-claim
34	8	and	O-claim
34	9	grew	O-claim
34	10	into	O-claim
34	11	having	O-claim
34	12	trouble	O-claim
34	13	with	O-claim
34	14	finishing	O-claim
34	15	a	O-claim
34	16	book	O-claim
34	17	on	O-claim
34	18	a	O-claim
34	19	certain	O-claim
34	20	due	O-claim
34	21	date	O-claim
34	22	in	O-claim
34	23	my	O-claim
34	24	reading	O-claim
34	25	class	O-claim
34	26	.	O-claim
35	0	My	O-claim
35	1	struggles	O-claim
35	2	only	O-claim
35	3	became	O-claim
35	4	worse	O-claim
35	5	from	O-claim
35	6	there	O-claim
35	7	.	O-claim
36	0	I	O-claim
36	1	remember	O-claim
36	2	the	O-claim
36	3	first	O-claim
36	4	time	O-claim
36	5	a	O-claim
36	6	teacher	O-claim
36	7	told	O-claim
36	8	me	O-claim
36	9	spelling	O-claim
36	10	counted	O-claim
36	11	on	O-claim
36	12	a	O-claim
36	13	test	O-claim
36	14	.	O-claim
37	0	It	O-claim
37	1	was	O-claim
37	2	in	O-claim
37	3	my	O-claim
37	4	World	O-claim
37	5	Geography	O-claim
37	6	class	O-claim
37	7	.	O-claim
38	0	We	O-claim
38	1	were	O-claim
38	2	learning	O-claim
38	3	about	O-claim
38	4	the	O-claim
38	5	oceans	O-claim
38	6	around	O-claim
38	7	the	O-claim
38	8	world	O-claim
38	9	.	O-claim
39	0	I	O-claim
39	1	knew	O-claim
39	2	where	O-claim
39	3	all	O-claim
39	4	the	O-claim
39	5	oceans	O-claim
39	6	where	O-claim
39	7	located	O-claim
39	8	and	O-claim
39	9	their	O-claim
39	10	names	O-claim
39	11	.	O-claim
40	0	My	O-claim
40	1	teacher	O-claim
40	2	Mrs.	O-claim
40	3	LaLone	O-claim
40	4	,	O-claim
40	5	a	O-claim
40	6	spunky	O-claim
40	7	but	O-claim
40	8	sturn	O-claim
40	9	,	O-claim
40	10	black	O-claim
40	11	haired	O-claim
40	12	lady	O-claim
40	13	,	O-claim
40	14	told	O-claim
40	15	us	O-claim
40	16	spelling	O-claim
40	17	counted	O-claim
40	18	toward	O-claim
40	19	our	O-claim
40	20	grade	O-claim
40	21	.	O-claim
41	0	At	O-claim
41	1	that	O-claim
41	2	moment	O-claim
41	3	my	O-claim
41	4	heart	O-claim
41	5	dropped	O-claim
41	6	,	O-claim
41	7	I	O-claim
41	8	felt	O-claim
41	9	the	O-claim
41	10	color	O-claim
41	11	slowly	O-claim
41	12	drain	O-claim
41	13	from	O-claim
41	14	my	O-claim
41	15	face	O-claim
41	16	,	O-claim
41	17	my	O-claim
41	18	stomach	O-claim
41	19	filled	O-claim
41	20	with	O-claim
41	21	butterflies	O-claim
41	22	.	O-claim
42	0	That	O-claim
42	1	's	O-claim
42	2	it	O-claim
42	3	.	O-claim
42	4	..	O-claim
43	0	my	O-claim
43	1	A	O-claim
43	2	in	O-claim
43	3	this	O-claim
43	4	class	O-claim
43	5	was	O-claim
43	6	over	O-claim
43	7	,	O-claim
43	8	and	O-claim
43	9	all	O-claim
43	10	because	O-claim
43	11	I	O-claim
43	12	struggled	O-claim
43	13	with	O-claim
43	14	spelling	O-claim
43	15	.	O-claim
44	0	That	O-claim
44	1	night	O-claim
44	2	I	O-claim
44	3	went	O-claim
44	4	home	O-claim
44	5	and	O-claim
44	6	cried	O-claim
44	7	to	O-claim
44	8	my	O-claim
44	9	mom	O-claim
44	10	because	O-claim
44	11	I	O-claim
44	12	was	O-claim
44	13	worried	O-claim
44	14	about	O-claim
44	15	the	O-claim
44	16	spelling	O-claim
44	17	on	O-claim
44	18	this	O-claim
44	19	test	O-claim
44	20	and	O-claim
44	21	how	O-claim
44	22	it	O-claim
44	23	was	O-claim
44	24	going	O-claim
44	25	to	O-claim
44	26	affect	O-claim
44	27	my	O-claim
44	28	grade	O-claim
44	29	.	O-claim
45	0	We	O-claim
45	1	studied	O-claim
45	2	for	O-claim
45	3	hours	O-claim
45	4	that	O-claim
45	5	night	O-claim
45	6	,	O-claim
45	7	I	O-claim
45	8	wrote	O-claim
45	9	the	O-claim
45	10	words	O-claim
45	11	down	O-claim
45	12	repeatedly	O-claim
45	13	over	O-claim
45	14	and	O-claim
45	15	over	O-claim
45	16	again	O-claim
45	17	.	O-claim
46	0	I	O-claim
46	1	felt	O-claim
46	2	better	O-claim
46	3	,	O-claim
46	4	and	O-claim
46	5	more	O-claim
46	6	prepared	O-claim
46	7	.	O-claim
47	0	The	O-claim
47	1	next	O-claim
47	2	day	O-claim
47	3	I	O-claim
47	4	walked	O-claim
47	5	to	O-claim
47	6	my	O-claim
47	7	fourth	O-claim
47	8	hour	O-claim
47	9	class	O-claim
47	10	ready	O-claim
47	11	,	O-claim
47	12	confident	O-claim
