sentence_id	token_id	token	label
0	0	Losing	B-claim
0	1	someone	I-claim
0	2	can	I-claim
0	3	be	I-claim
0	4	hard	I-claim
0	5	,	O-claim
0	6	but	O-claim
0	7	losing	B-claim
0	8	a	I-claim
0	9	family	I-claim
0	10	member	I-claim
0	11	is	I-claim
0	12	devastating	I-claim
0	13	.	O-claim
1	0	My	O-claim
1	1	family	O-claim
1	2	is	O-claim
1	3	caring	O-claim
1	4	,	O-claim
1	5	helpful	O-claim
1	6	,	O-claim
1	7	and	O-claim
1	8	fun	O-claim
1	9	.	O-claim
2	0	Time	O-claim
2	1	with	O-claim
2	2	my	O-claim
2	3	family	O-claim
2	4	is	O-claim
2	5	always	O-claim
2	6	enjoyable	O-claim
2	7	,	O-claim
2	8	hyper	O-claim
2	9	,	O-claim
2	10	and	O-claim
2	11	active	O-claim
2	12	.	O-claim
3	0	One	O-claim
3	1	special	O-claim
3	2	member	O-claim
3	3	was	O-claim
3	4	Don	O-claim
3	5	Nowlin	O-claim
3	6	.	O-claim
4	0	He	O-claim
4	1	was	O-claim
4	2	a	O-claim
4	3	very	O-claim
4	4	old	O-claim
4	5	man	O-claim
4	6	that	O-claim
4	7	was	O-claim
4	8	my	O-claim
4	9	uncle	O-claim
4	10	.	O-claim
5	0	My	O-claim
5	1	my	O-claim
5	2	Uncle	O-claim
5	3	and	O-claim
5	4	I	O-claim
5	5	were	O-claim
5	6	very	O-claim
5	7	close	O-claim
5	8	.	O-claim
6	0	We	O-claim
6	1	used	O-claim
6	2	to	O-claim
6	3	go	O-claim
6	4	fishing	O-claim
6	5	and	O-claim
6	6	hang	O-claim
6	7	out	O-claim
6	8	.	O-claim
7	0	I	O-claim
7	1	always	O-claim
7	2	went	O-claim
7	3	to	O-claim
7	4	his	O-claim
7	5	house	O-claim
7	6	for	O-claim
7	7	family	O-claim
7	8	reunions	O-claim
7	9	.	O-claim
8	0	My	O-claim
8	1	memories	O-claim
8	2	with	O-claim
8	3	Uncle	O-claim
8	4	Don	O-claim
8	5	will	O-claim
8	6	stay	O-claim
8	7	with	O-claim
8	8	me	O-claim
8	9	forever	O-claim
8	10	.	O-claim
9	0	Cancer	O-claim
9	1	affects	O-claim
9	2	many	O-claim
9	3	Americans	O-claim
9	4	and	O-claim
9	5	it	O-claim
9	6	took	O-claim
9	7	my	O-claim
9	8	uncle	O-claim
9	9	's	O-claim
9	10	life	O-claim
9	11	.	O-claim
10	0	It	O-claim
10	1	was	O-claim
10	2	hard	O-claim
10	3	to	O-claim
10	4	overcome	O-claim
10	5	his	O-claim
10	6	death	O-claim
10	7	,	O-claim
10	8	but	O-claim
10	9	eventually	O-claim
10	10	I	O-claim
10	11	dealt	O-claim
10	12	with	O-claim
10	13	him	O-claim
10	14	not	O-claim
10	15	being	O-claim
10	16	there	O-claim
10	17	.	O-claim
11	0	My	O-claim
11	1	uncle	O-claim
11	2	and	O-claim
11	3	I	O-claim
11	4	would	O-claim
11	5	play	O-claim
11	6	a	O-claim
11	7	lot	O-claim
11	8	together	O-claim
11	9	.	O-claim
12	0	Uncle	O-claim
12	1	Don	O-claim
12	2	would	O-claim
12	3	n't	O-claim
12	4	get	O-claim
12	5	out	O-claim
12	6	much	O-claim
12	7	though	O-claim
12	8	so	O-claim
12	9	we	O-claim
12	10	never	O-claim
12	11	traveled	O-claim
12	12	.	O-claim
13	0	We	O-claim
13	1	used	O-claim
13	2	to	O-claim
13	3	go	O-claim
13	4	fishing	O-claim
13	5	a	O-claim
13	6	lot	O-claim
13	7	but	O-claim
13	8	that	O-claim
13	9	's	O-claim
13	10	about	O-claim
13	11	the	O-claim
13	12	only	O-claim
13	13	thing	O-claim
13	14	we	O-claim
13	15	traveled	O-claim
13	16	to	O-claim
13	17	do	O-claim
13	18	.	O-claim
14	0	My	O-claim
14	1	Uncle	O-claim
14	2	Don	O-claim
14	3	and	O-claim
14	4	I	O-claim
14	5	would	O-claim
14	6	plant	O-claim
14	7	crops	O-claim
14	8	and	O-claim
14	9	wait	O-claim
14	10	for	O-claim
14	11	the	O-claim
14	12	seeds	O-claim
14	13	to	O-claim
14	14	sprout	O-claim
14	15	.	O-claim
15	0	I	O-claim
15	1	moved	O-claim
15	2	about	O-claim
15	3	one	O-claim
15	4	month	O-claim
15	5	later	O-claim
15	6	so	O-claim
15	7	I	O-claim
15	8	did	O-claim
15	9	n't	O-claim
15	10	see	O-claim
15	11	him	O-claim
15	12	as	O-claim
15	13	much	O-claim
15	14	.	O-claim
16	0	I	O-claim
16	1	would	O-claim
16	2	visit	O-claim
16	3	him	O-claim
16	4	every	O-claim
16	5	time	O-claim
16	6	I	O-claim
16	7	could	O-claim
16	8	because	O-claim
16	9	he	O-claim
16	10	was	O-claim
16	11	n't	O-claim
16	12	feeling	O-claim
16	13	well	O-claim
16	14	.	O-claim
17	0	Then	O-claim
17	1	he	O-claim
17	2	started	O-claim
17	3	to	O-claim
17	4	get	O-claim
17	5	more	O-claim
17	6	sick	O-claim
17	7	and	O-claim
17	8	had	O-claim
17	9	to	O-claim
17	10	see	O-claim
17	11	a	O-claim
17	12	doctor	O-claim
17	13	.	O-claim
18	0	He	O-claim
18	1	was	O-claim
18	2	diagnosed	O-claim
18	3	with	O-claim
18	4	Cancer	O-claim
18	5	.	O-claim
19	0	My	O-claim
19	1	Uncle	O-claim
19	2	Don	O-claim
19	3	only	O-claim
19	4	had	O-claim
19	5	a	O-claim
19	6	limited	O-claim
19	7	time	O-claim
19	8	to	O-claim
19	9	live	O-claim
19	10	.	O-claim
20	0	The	O-claim
20	1	doctors	O-claim
20	2	determined	O-claim
20	3	he	O-claim
20	4	would	O-claim
20	5	be	O-claim
20	6	alive	O-claim
20	7	for	O-claim
20	8	a	O-claim
20	9	couple	O-claim
20	10	months	O-claim
20	11	.	O-claim
21	0	After	O-claim
21	1	those	O-claim
21	2	months	O-claim
21	3	my	O-claim
21	4	family	O-claim
21	5	and	O-claim
21	6	I	O-claim
21	7	thought	O-claim
21	8	he	O-claim
21	9	was	O-claim
21	10	going	O-claim
21	11	to	O-claim
21	12	live	O-claim
21	13	because	O-claim
21	14	he	O-claim
21	15	had	O-claim
21	16	been	O-claim
21	17	alive	O-claim
21	18	for	O-claim
21	19	so	O-claim
21	20	long	O-claim
21	21	.	O-claim
22	0	We	O-claim
22	1	were	O-claim
22	2	wrong	O-claim
22	3	,	O-claim
22	4	he	O-claim
22	5	ended	O-claim
22	6	up	O-claim
22	7	dying	O-claim
22	8	about	O-claim
22	9	a	O-claim
22	10	week	O-claim
22	11	later	O-claim
22	12	.	O-claim
23	0	Losing	O-claim
23	1	my	O-claim
23	2	uncle	O-claim
23	3	was	O-claim
23	4	awful	O-claim
23	5	,	O-claim
23	6	the	O-claim
23	7	feeling	O-claim
23	8	of	O-claim
23	9	solumness	O-claim
23	10	surrounded	O-claim
23	11	me	O-claim
23	12	.	O-claim
24	0	I	O-claim
24	1	still	O-claim
24	2	ponder	O-claim
24	3	about	O-claim
24	4	him	O-claim
24	5	till	O-claim
24	6	this	O-claim
24	7	day	O-claim
24	8	.	O-claim
25	0	I	O-claim
25	1	knew	O-claim
25	2	he	O-claim
25	3	was	O-claim
25	4	very	O-claim
25	5	sick	O-claim
25	6	but	O-claim
25	7	I	O-claim
25	8	never	O-claim
25	9	thought	O-claim
25	10	that	O-claim
25	11	he	O-claim
25	12	was	O-claim
25	13	going	O-claim
25	14	to	O-claim
25	15	die	O-claim
25	16	.	O-claim
26	0	Overcoming	O-claim
26	1	my	O-claim
26	2	Uncle	O-claim
26	3	Don	O-claim
26	4	's	O-claim
26	5	death	O-claim
26	6	was	O-claim
26	7	hard	O-claim
26	8	,	O-claim
26	9	but	O-claim
26	10	I	O-claim
26	11	knew	O-claim
26	12	I	O-claim
26	13	had	O-claim
26	14	to	O-claim
26	15	.	O-claim
27	0	So	O-claim
27	1	I	O-claim
27	2	started	O-claim
27	3	to	O-claim
27	4	find	O-claim
27	5	ways	O-claim
27	6	to	O-claim
27	7	stop	O-claim
27	8	thinking	O-claim
27	9	about	O-claim
27	10	his	O-claim
27	11	death	O-claim
27	12	.	O-claim
28	0	Since	O-claim
28	1	I	O-claim
28	2	moved	O-claim
28	3	away	O-claim
28	4	from	O-claim
28	5	him	O-claim
28	6	I	O-claim
28	7	started	O-claim
28	8	to	O-claim
28	9	just	O-claim
28	10	forgetting	O-claim
28	11	about	O-claim
28	12	his	O-claim
28	13	death	O-claim
28	14	.	O-claim
29	0	Eventually	O-claim
29	1	as	O-claim
29	2	time	O-claim
29	3	went	O-claim
29	4	by	O-claim
29	5	I	O-claim
29	6	just	O-claim
29	7	stopped	O-claim
29	8	thinking	O-claim
29	9	about	O-claim
29	10	his	O-claim
29	11	death	O-claim
29	12	.	O-claim
30	0	I	O-claim
30	1	started	O-claim
30	2	to	O-claim
30	3	focus	O-claim
30	4	on	O-claim
30	5	other	O-claim
30	6	stuff	O-claim
