sentence_id	token_id	token	label
0	0	Change	O-claim
0	1	is	O-claim
0	2	inevitable	O-claim
0	3	for	O-claim
0	4	anyone	O-claim
0	5	.	O-claim
1	0	Everyone	O-claim
1	1	goes	O-claim
1	2	through	O-claim
1	3	change	O-claim
1	4	in	O-claim
1	5	their	O-claim
1	6	lives	O-claim
1	7	.	O-claim
2	0	Weather	O-claim
2	1	it	O-claim
2	2	's	O-claim
2	3	something	O-claim
2	4	small	O-claim
2	5	or	O-claim
2	6	a	O-claim
2	7	huge	O-claim
2	8	change	O-claim
2	9	that	O-claim
2	10	can	O-claim
2	11	impact	O-claim
2	12	someone	O-claim
2	13	's	O-claim
2	14	life	O-claim
2	15	for	O-claim
2	16	a	O-claim
2	17	long	O-claim
2	18	time	O-claim
2	19	.	O-claim
3	0	I	O-claim
3	1	lived	O-claim
3	2	a	O-claim
3	3	normal	O-claim
3	4	happy	O-claim
3	5	life	O-claim
3	6	.	O-claim
4	0	I	O-claim
4	1	played	O-claim
4	2	sports	O-claim
4	3	,	O-claim
4	4	I	O-claim
4	5	went	O-claim
4	6	to	O-claim
4	7	school	O-claim
4	8	,	O-claim
4	9	and	O-claim
4	10	hung	O-claim
4	11	out	O-claim
4	12	with	O-claim
4	13	my	O-claim
4	14	friends	O-claim
4	15	.	O-claim
5	0	My	O-claim
5	1	dad	O-claim
5	2	worked	O-claim
5	3	for	O-claim
5	4	a	O-claim
5	5	construction	O-claim
5	6	company	O-claim
5	7	called	O-claim
5	8	Porter	O-claim
5	9	Builders	O-claim
5	10	.	O-claim
6	0	He	O-claim
6	1	worked	O-claim
6	2	inside	O-claim
6	3	the	O-claim
6	4	office	O-claim
6	5	and	O-claim
6	6	helped	O-claim
6	7	with	O-claim
6	8	stuff	O-claim
6	9	on	O-claim
6	10	the	O-claim
6	11	computer	O-claim
6	12	,	O-claim
6	13	he	O-claim
6	14	never	O-claim
6	15	worked	O-claim
6	16	outside	O-claim
6	17	on	O-claim
6	18	the	O-claim
6	19	jobs	O-claim
6	20	.	O-claim
7	0	He	O-claim
7	1	worked	O-claim
7	2	normal	O-claim
7	3	hours	O-claim
7	4	,	O-claim
7	5	about	O-claim
7	6	7	O-claim
7	7	am	O-claim
7	8	to	O-claim
7	9	5	O-claim
7	10	pm	O-claim
7	11	.	O-claim
8	0	It	O-claim
8	1	seemed	O-claim
8	2	like	O-claim
8	3	he	O-claim
8	4	was	O-claim
8	5	happy	O-claim
8	6	with	O-claim
8	7	his	O-claim
8	8	job	O-claim
8	9	,	O-claim
8	10	talking	O-claim
8	11	about	O-claim
8	12	things	O-claim
8	13	that	O-claim
8	14	were	O-claim
8	15	happening	O-claim
8	16	at	O-claim
8	17	work	O-claim
8	18	.	O-claim
9	0	If	O-claim
9	1	we	O-claim
9	2	were	O-claim
9	3	ever	O-claim
9	4	driving	O-claim
9	5	somewhere	O-claim
9	6	he	O-claim
9	7	would	O-claim
9	8	always	O-claim
9	9	point	O-claim
9	10	out	O-claim
9	11	some	O-claim
9	12	of	O-claim
9	13	the	O-claim
9	14	jobs	O-claim
9	15	that	O-claim
9	16	Porter	O-claim
9	17	was	O-claim
9	18	working	O-claim
9	19	on	O-claim
9	20	.	O-claim
10	0	He	O-claim
10	1	liked	O-claim
10	2	his	O-claim
10	3	boss	O-claim
10	4	for	O-claim
10	5	the	O-claim
10	6	most	O-claim
10	7	part	O-claim
10	8	,	O-claim
10	9	and	O-claim
10	10	liked	O-claim
10	11	some	O-claim
10	12	of	O-claim
10	13	his	O-claim
10	14	co	O-claim
10	15	-	O-claim
10	16	workers	O-claim
10	17	.	O-claim
11	0	Where	O-claim
11	1	he	O-claim
11	2	worked	O-claim
11	3	is	O-claim
11	4	n't	O-claim
11	5	too	O-claim
11	6	far	O-claim
11	7	from	O-claim
11	8	our	O-claim
11	9	house	O-claim
11	10	so	O-claim
11	11	i	O-claim
11	12	do	O-claim
11	13	n't	O-claim
11	14	think	O-claim
11	15	that	O-claim
11	16	he	O-claim
11	17	had	O-claim
11	18	a	O-claim
11	19	reason	O-claim
11	20	to	O-claim
11	21	hate	O-claim
11	22	his	O-claim
11	23	job	O-claim
11	24	,	O-claim
11	25	he	O-claim
11	26	just	O-claim
11	27	did	O-claim
11	28	n't	O-claim
11	29	love	O-claim
11	30	it	O-claim
11	31	.	O-claim
12	0	My	O-claim
12	1	mom	O-claim
12	2	at	O-claim
12	3	the	O-claim
12	4	time	O-claim
12	5	worked	O-claim
12	6	as	O-claim
12	7	a	O-claim
12	8	Paraprofessional	O-claim
12	9	at	O-claim
12	10	Lakeland	O-claim
12	11	elementary	O-claim
12	12	.	O-claim
13	0	She	O-claim
13	1	too	O-claim
13	2	liked	O-claim
13	3	her	O-claim
13	4	job	O-claim
13	5	but	O-claim
13	6	did	O-claim
13	7	n't	O-claim
13	8	love	O-claim
13	9	it	O-claim
