sentence_id	token_id	token	label
0	0	When	O-claim
0	1	I	O-claim
0	2	was	O-claim
0	3	in	O-claim
0	4	my	O-claim
0	5	seventh	O-claim
0	6	grade	O-claim
0	7	summer	O-claim
0	8	I	O-claim
0	9	never	O-claim
0	10	thought	O-claim
0	11	losing	O-claim
0	12	one	O-claim
0	13	of	O-claim
0	14	my	O-claim
0	15	best	O-claim
0	16	friends	O-claim
0	17	or	O-claim
0	18	even	O-claim
0	19	a	O-claim
0	20	loved	O-claim
0	21	one	O-claim
0	22	would	O-claim
0	23	be	O-claim
0	24	one	O-claim
0	25	of	O-claim
0	26	the	O-claim
0	27	most	O-claim
0	28	challenging	O-claim
0	29	things	O-claim
0	30	in	O-claim
0	31	the	O-claim
0	32	world	O-claim
0	33	.	O-claim
1	0	My	O-claim
1	1	life	O-claim
1	2	with	O-claim
1	3	my	O-claim
1	4	papa	O-claim
1	5	was	O-claim
1	6	the	O-claim
1	7	best	O-claim
1	8	twelve	O-claim
1	9	years	O-claim
1	10	of	O-claim
1	11	my	O-claim
1	12	life	O-claim
1	13	.	O-claim
2	0	He	O-claim
2	1	wanting	O-claim
2	2	to	O-claim
2	3	make	O-claim
2	4	people	O-claim
2	5	smile	O-claim
2	6	.	O-claim
3	0	He	O-claim
3	1	loved	O-claim
3	2	doing	O-claim
3	3	things	O-claim
3	4	with	O-claim
3	5	both	O-claim
3	6	grandsons	O-claim
3	7	and	O-claim
3	8	his	O-claim
3	9	only	O-claim
3	10	granddaughter	O-claim
3	11	,	O-claim
3	12	but	O-claim
3	13	he	O-claim
3	14	did	O-claim
3	15	more	O-claim
3	16	with	O-claim
3	17	me	O-claim
3	18	since	O-claim
3	19	I	O-claim
3	20	have	O-claim
3	21	been	O-claim
3	22	around	O-claim
3	23	longer	O-claim
3	24	.	O-claim
4	0	It	O-claim
4	1	was	O-claim
4	2	great	O-claim
4	3	when	O-claim
4	4	he	O-claim
4	5	was	O-claim
4	6	here	O-claim
4	7	,	O-claim
4	8	making	O-claim
4	9	us	O-claim
4	10	laugh	O-claim
4	11	.	O-claim
5	0	Riding	O-claim
5	1	in	O-claim
5	2	the	O-claim
5	3	car	O-claim
5	4	he	O-claim
5	5	told	O-claim
5	6	stories	O-claim
5	7	that	O-claim
5	8	were	O-claim
5	9	somewhat	O-claim
5	10	true	O-claim
5	11	and	O-claim
5	12	a	O-claim
5	13	lie	O-claim
5	14	.	O-claim
6	0	There	O-claim
6	1	was	O-claim
6	2	a	O-claim
6	3	ton	O-claim
6	4	of	O-claim
6	5	fun	O-claim
6	6	in	O-claim
6	7	those	O-claim
6	8	twelve	O-claim
6	9	years	O-claim
6	10	.	O-claim
7	0	He	O-claim
7	1	was	O-claim
7	2	still	O-claim
7	3	in	O-claim
7	4	his	O-claim
7	5	fifties	O-claim
7	6	,	O-claim
7	7	but	O-claim
7	8	he	O-claim
7	9	was	O-claim
7	10	still	O-claim
7	11	a	O-claim
7	12	child	O-claim
7	13	on	O-claim
7	14	the	O-claim
7	15	inside	O-claim
7	16	.	O-claim
8	0	We	O-claim
8	1	would	O-claim
8	2	go	O-claim
8	3	mushroom	O-claim
8	4	picking	O-claim
8	5	and	O-claim
8	6	shining	O-claim
8	7	for	O-claim
8	8	deer	O-claim
8	9	and	O-claim
8	10	steelhead	O-claim
8	11	fishing	O-claim
8	12	and	O-claim
8	13	sometimes	O-claim
8	14	I	O-claim
8	15	would	O-claim
8	16	even	O-claim
8	17	mow	O-claim
8	18	the	O-claim
8	19	lawn	O-claim
8	20	for	O-claim
8	21	him	O-claim
8	22	,	O-claim
8	23	but	O-claim
8	24	to	O-claim
8	25	him	O-claim
8	26	it	O-claim
8	27	would	O-claim
8	28	still	O-claim
8	29	not	O-claim
8	30	do	O-claim
8	31	it	O-claim
8	32	right	O-claim
8	33	to	O-claim
8	34	him	O-claim
8	35	.	O-claim
9	0	I	O-claim
9	1	loved	O-claim
9	2	fishing	O-claim
9	3	with	O-claim
9	4	him	O-claim
9	5	and	O-claim
9	6	it	O-claim
9	7	's	O-claim
9	8	not	O-claim
9	9	like	O-claim
9	10	fishing	O-claim
9	11	catching	O-claim
9	12	little	O-claim
9	13	fish	O-claim
9	14	,	O-claim
9	15	I	O-claim
9	16	mean	O-claim
9	17	we	O-claim
9	18	caught	O-claim
9	19	really	O-claim
9	20	big	O-claim
9	21	fish	O-claim
9	22	.	O-claim
10	0	We	O-claim
10	1	would	O-claim
10	2	always	O-claim
10	3	wake	O-claim
10	4	up	O-claim
10	5	about	O-claim
10	6	4	O-claim
10	7	or	O-claim
10	8	5	O-claim
10	9	A.M	O-claim
10	10	.	O-claim
11	0	We	O-claim
11	1	would	O-claim
11	2	go	O-claim
11	3	to	O-claim
11	4	the	O-claim
11	5	gas	O-claim
11	6	station	O-claim
11	7	and	O-claim
11	8	get	O-claim
11	9	coffees	O-claim
11	10	and	O-claim
11	11	I	O-claim
11	12	would	O-claim
11	13	also	O-claim
11	14	get	O-claim
11	15	a	O-claim
11	16	water	O-claim
11	17	and	O-claim
11	18	a	O-claim
11	19	gatorade	O-claim
11	20	.	O-claim
12	0	Then	O-claim
12	1	we	O-claim
12	2	would	O-claim
12	3	go	O-claim
12	4	to	O-claim
12	5	the	O-claim
12	6	elk	O-claim
12	7	dam	O-claim
12	8	and	O-claim
12	9	fish	O-claim
12	10	off	O-claim
12	11	that	O-claim
12	12	.	O-claim
13	0	I	O-claim
13	1	remember	O-claim
13	2	catching	O-claim
13	3	a	O-claim
13	4	giant	O-claim
13	5	female	O-claim
13	6	steelhead	O-claim
13	7	,	O-claim
13	8	we	O-claim
13	9	were	O-claim
13	10	not	O-claim
13	11	even	O-claim
13	12	there	O-claim
13	13	for	O-claim
13	14	at	O-claim
13	15	least	O-claim
13	16	ten	O-claim
13	17	minutes	O-claim
13	18	.	O-claim
14	0	When	O-claim
14	1	we	O-claim
14	2	would	O-claim
14	3	go	O-claim
14	4	mushroom	O-claim
14	5	picking	O-claim
14	6	,	O-claim
14	7	it	O-claim
14	8	would	O-claim
14	9	be	O-claim
14	10	the	O-claim
14	11	same	O-claim
14	12	spots	O-claim
14	13	every	O-claim
14	14	time	O-claim
14	15	,	O-claim
14	16	but	O-claim
14	17	they	O-claim
14	18	would	O-claim
14	19	produce	O-claim
14	20	a	O-claim
14	21	lot	O-claim
14	22	of	O-claim
14	23	very	O-claim
14	24	big	O-claim
14	25	merale	O-claim
14	26	mushrooms	O-claim
14	27	.	O-claim
15	0	It	O-claim
15	1	was	O-claim
15	2	Father	O-claim
15	3	's	O-claim
15	4	Day	O-claim
15	5	June	O-claim
15	6	2017	O-claim
15	7	.	O-claim
16	0	I	O-claim
16	1	remember	O-claim
16	2	everything	O-claim
16	3	that	O-claim
16	4	happened	O-claim
16	5	that	O-claim
16	6	day	O-claim
16	7	.	O-claim
17	0	My	O-claim
17	1	dad	O-claim
17	2	picked	O-claim
17	3	me	O-claim
17	4	up	O-claim
17	5	from	O-claim
17	6	my	O-claim
17	7	moms	O-claim
17	8	house	O-claim
17	9	and	O-claim
17	10	my	O-claim
17	11	little	O-claim
17	12	brother	O-claim
17	13	was	O-claim
17	14	with	O-claim
17	15	him	O-claim
17	16	.	O-claim
18	0	We	O-claim
18	1	talked	O-claim
18	2	on	O-claim
18	3	the	O-claim
18	4	way	O-claim
18	5	to	O-claim
18	6	Meijer	O-claim
18	7	.	O-claim
19	0	We	O-claim
19	1	pick	O-claim
19	2	up	O-claim
19	3	some	O-claim
19	4	purple	O-claim
19	5	flowers	O-claim
19	6	for	O-claim
19	7	my	O-claim
19	8	nana	O-claim
19	9	,	O-claim
19	10	then	O-claim
19	11	we	O-claim
19	12	headed	O-claim
19	13	to	O-claim
19	14	tracker	O-claim
19	15	supplies	O-claim
19	16	and	O-claim
19	17	got	O-claim
19	18	my	O-claim
19	19	papa	O-claim
19	20	a	O-claim
19	21	very	O-claim
19	22	nice	O-claim
19	23	blue	O-claim
19	24	fishing	O-claim
19	25	shirt	O-claim
19	26	.	O-claim
20	0	Then	O-claim
20	1	we	O-claim
20	2	headed	O-claim
20	3	to	O-claim
20	4	my	O-claim
20	5	dads	O-claim
20	6	house	O-claim
20	7	to	O-claim
20	8	pick	O-claim
20	9	up	O-claim
20	10	my	O-claim
20	11	step	O-claim
20	12	-	O-claim
20	13	mom	O-claim
20	14	.	O-claim
21	0	We	O-claim
21	1	went	O-claim
21	2	over	O-claim
21	3	to	O-claim
21	4	my	O-claim
21	5	nanas	O-claim
21	6	and	O-claim
21	7	papas	O-claim
21	8	house	O-claim
21	9	and	O-claim
21	10	gave	O-claim
21	11	him	O-claim
21	12	his	O-claim
21	13	shirt	O-claim
21	14	.	O-claim
22	0	Then	O-claim
22	1	we	O-claim
22	2	all	O-claim
22	3	ate	O-claim
22	4	and	O-claim
22	5	laughed	O-claim
22	6	,	O-claim
22	7	then	O-claim
22	8	me	O-claim
22	9	and	O-claim
22	10	my	O-claim
22	11	cousins	O-claim
22	12	and	O-claim
22	13	my	O-claim
22	14	little	O-claim
22	15	brother	O-claim
22	16	had	O-claim
22	17	a	O-claim
22	18	water	O-claim
22	19	balloon	O-claim
22	20	fight	O-claim
22	21	.	O-claim
23	0	Everyone	O-claim
23	1	was	O-claim
23	2	sitting	O-claim
23	3	out	O-claim
23	4	on	O-claim
23	5	the	O-claim
23	6	padyo	O-claim
23	7	watching	O-claim
23	8	us	O-claim
23	9	.	O-claim
24	0	After	O-claim
24	1	that	O-claim
24	2	was	O-claim
24	3	over	O-claim
24	4	with	O-claim
24	5	,	O-claim
24	6	My	O-claim
24	7	nana	O-claim
24	8	kissed	O-claim
24	9	goodbye	O-claim
24	10	and	O-claim
24	11	then	O-claim
24	12	hugged	O-claim
24	13	my	O-claim
24	14	papa	O-claim
24	15	good	O-claim
24	16	bye	O-claim
24	17	and	O-claim
24	18	said	O-claim
24	19	I	O-claim
24	20	'll	O-claim
24	21	probably	O-claim
24	22	see	O-claim
24	23	you	O-claim
24	24	tomorrow	O-claim
24	25	.	O-claim
25	0	Witch	O-claim
25	1	I	O-claim
25	2	did	O-claim
25	3	see	O-claim
25	4	him	O-claim
25	5	,	O-claim
25	6	but	O-claim
25	7	not	O-claim
25	8	in	O-claim
25	9	the	O-claim
25	10	way	O-claim
25	11	I	O-claim
25	12	wanted	O-claim
25	13	.	O-claim
26	0	It	O-claim
26	1	was	O-claim
26	2	about	O-claim
26	3	2:40	O-claim
26	4	in	O-claim
26	5	the	O-claim
26	6	morning	O-claim
26	7	and	O-claim
26	8	my	O-claim
26	9	stepmom	O-claim
26	10	came	O-claim
26	11	down	O-claim
26	12	shaking	O-claim
26	13	me	O-claim
26	14	trying	O-claim
26	15	to	O-claim
26	16	wake	O-claim
26	17	me	O-claim
26	18	up	O-claim
26	19	in	O-claim
26	20	a	O-claim
26	21	panic	O-claim
26	22	.	O-claim
27	0	She	O-claim
27	1	said	O-claim
27	2	stumbling	O-claim
27	3	over	O-claim
27	4	her	O-claim
27	5	words	O-claim
27	6	get	O-claim
27	7	a	O-claim
27	8	shirt	O-claim
27	9	on	O-claim
27	10	we	O-claim
27	11	got	O-claim
27	12	ta	O-claim
27	13	go	O-claim
27	14	,	O-claim
27	15	I	O-claim
27	16	half	O-claim
27	17	to	O-claim
27	18	wake	O-claim
27	19	up	O-claim
27	20	your	O-claim
27	21	brother	O-claim
27	22	and	O-claim
27	23	then	O-claim
27	24	we	O-claim
27	25	will	O-claim
27	26	leave	O-claim
27	27	!	O-claim
27	28	she	O-claim
27	29	said	O-claim
27	30	it	O-claim
27	31	very	O-claim
27	32	fast	O-claim
27	33	to	O-claim
27	34	the	O-claim
27	35	point	O-claim
27	36	that	O-claim
27	37	all	O-claim
27	38	I	O-claim
27	39	heard	O-claim
27	40	was	O-claim
27	41	get	O-claim
27	42	a	O-claim
27	43	shirt	O-claim
27	44	on	O-claim
27	45	.	O-claim
28	0	I	O-claim
28	1	got	O-claim
28	2	on	O-claim
28	3	one	O-claim
28	4	of	O-claim
28	5	my	O-claim
28	6	dirty	O-claim
28	7	shirts	O-claim
28	8	very	O-claim
28	9	confused	O-claim
28	10	.	O-claim
29	0	When	O-claim
29	1	we	O-claim
29	2	left	O-claim
29	3	we	O-claim
29	4	went	O-claim
29	5	to	O-claim
29	6	my	O-claim
29	7	uncle	O-claim
29	8	's	O-claim
29	9	house	O-claim
29	10	to	O-claim
29	11	pick	O-claim
29	12	up	O-claim
29	13	my	O-claim
29	14	aunt	O-claim
29	15	and	O-claim
29	16	my	O-claim
29	17	cousin	O-claim
29	18	,	O-claim
29	19	because	O-claim
29	20	my	O-claim
29	21	aunt	O-claim
29	22	does	O-claim
29	23	not	O-claim
29	24	like	O-claim
29	25	to	O-claim
29	26	drive	O-claim
29	27	.	O-claim
30	0	She	O-claim
30	1	came	O-claim
30	2	out	O-claim
30	3	crying	O-claim
30	4	and	O-claim
30	5	then	O-claim
30	6	made	O-claim
30	7	me	O-claim
30	8	cry	O-claim
30	9	,	O-claim
30	10	because	O-claim
30	11	I	O-claim
30	12	did	O-claim
30	13	not	O-claim
30	14	know	O-claim
30	15	what	O-claim
30	16	was	O-claim
30	17	going	O-claim
30	18	on	O-claim
30	19	,	O-claim
30	20	I	O-claim
30	21	did	O-claim
30	22	the	O-claim
30	23	cross	O-claim
30	24	singe	O-claim
30	25	with	O-claim
30	26	my	O-claim
30	27	right	O-claim
30	28	hand	O-claim
30	29	and	O-claim
30	30	touched	O-claim
30	31	my	O-claim
30	32	forehead	O-claim
30	33	then	O-claim
30	34	the	O-claim
30	35	middle	O-claim
30	36	of	O-claim
30	37	my	O-claim
30	38	chest	O-claim
30	39	then	O-claim
30	40	my	O-claim
30	41	right	O-claim
30	42	solther	O-claim
30	43	and	O-claim
30	44	then	O-claim
30	45	my	O-claim
30	46	left	O-claim
30	47	,	O-claim
30	48	then	O-claim
30	49	shara	O-claim
30	50	reached	O-claim
30	51	over	O-claim
30	52	and	O-claim
30	53	held	O-claim
30	54	my	O-claim
30	55	hand	O-claim
30	56	.	O-claim
31	0	We	O-claim
31	1	got	O-claim
31	2	to	O-claim
31	3	the	O-claim
31	4	kalkaska	O-claim
31	5	hospital	O-claim
31	6	and	O-claim
31	7	my	O-claim
31	8	dad	O-claim
31	9	greats	O-claim
31	10	me	O-claim
31	11	and	O-claim
31	12	said	O-claim
31	13	Papa	O-claim
31	14	past	O-claim
31	15	away	O-claim
31	16	.	O-claim
31	17	with	O-claim
31	18	very	O-claim
31	19	big	O-claim
31	20	tears	O-claim
31	21	in	O-claim
31	22	his	O-claim
31	23	eyes	O-claim
31	24	.	O-claim
32	0	Then	O-claim
32	1	that	O-claim
32	2	was	O-claim
32	3	the	O-claim
32	4	point	O-claim
32	5	I	O-claim
32	6	just	O-claim
32	7	bawled	O-claim
32	8	my	O-claim
32	9	eyes	O-claim
32	10	out	O-claim
32	11	and	O-claim
32	12	just	O-claim
32	13	hugging	O-claim
32	14	my	O-claim
32	15	dad	O-claim
32	16	in	O-claim
32	17	the	O-claim
32	18	parking	O-claim
32	19	lot	O-claim
32	20	infrote	O-claim
32	21	of	O-claim
32	22	the	O-claim
32	23	kalkaska	O-claim
32	24	hospital	O-claim
32	25	.	O-claim
33	0	Then	O-claim
33	1	I	O-claim
33	2	make	O-claim
33	3	my	O-claim
33	4	way	O-claim
33	5	inside	O-claim
33	6	though	O-claim
33	7	my	O-claim
33	8	blurry	O-claim
33	9	vision	O-claim
33	10	with	O-claim
33	11	tears	O-claim
33	12	still	O-claim
33	13	in	O-claim
33	14	my	O-claim
33	15	eyes	O-claim
33	16	.	O-claim
34	0	My	O-claim
34	1	aunt	O-claim
34	2	Marla	O-claim
34	3	was	O-claim
34	4	there	O-claim
34	5	,	O-claim
34	6	my	O-claim
34	7	nana	O-claim
34	8	was	O-claim
34	9	there	O-claim
34	10	,	O-claim
34	11	my	O-claim
34	12	uncle	O-claim
34	13	was	O-claim
34	14	there	O-claim
34	15	.	O-claim
35	0	My	O-claim
35	1	nana	O-claim
35	2	smiled	O-claim
35	3	with	O-claim
35	4	tears	O-claim
35	5	and	O-claim
35	6	gave	O-claim
35	7	me	O-claim
35	8	a	O-claim
35	9	hug	O-claim
35	10	and	O-claim
35	11	I	O-claim
35	12	just	O-claim
35	13	keep	O-claim
35	14	on	O-claim
35	15	crying	O-claim
35	16	and	O-claim
35	17	crying	O-claim
35	18	.	O-claim
36	0	I	O-claim
36	1	said	O-claim
36	2	my	O-claim
36	3	last	O-claim
36	4	words	O-claim
36	5	to	O-claim
36	6	him	O-claim
36	7	,	O-claim
36	8	I	O-claim
36	9	said	O-claim
36	10	I	O-claim
36	11	love	O-claim
36	12	you	O-claim
36	13	papa	O-claim
36	14	.	O-claim
37	0	Then	O-claim
37	1	i	O-claim
37	2	asked	O-claim
37	3	my	O-claim
37	4	dad	O-claim
37	5	if	O-claim
37	6	he	O-claim
37	7	called	O-claim
37	8	my	O-claim
37	9	mom	O-claim
37	10	and	O-claim
37	11	he	O-claim
37	12	said	O-claim
37	13	yes	O-claim
37	14	.	O-claim
38	0	We	O-claim
38	1	all	O-claim
38	2	left	O-claim
38	3	and	O-claim
38	4	went	O-claim
38	5	to	O-claim
38	6	my	O-claim
38	7	nana	O-claim
38	8	's	O-claim
38	9	house	O-claim
38	10	.	O-claim
39	0	We	O-claim
39	1	all	O-claim
39	2	were	O-claim
39	3	talking	O-claim
39	4	,	O-claim
39	5	my	O-claim
39	6	little	O-claim
39	7	brother	O-claim
39	8	and	O-claim
39	9	cousin	O-claim
39	10	were	O-claim
39	11	watching	O-claim
39	12	paw	O-claim
39	13	patrol	O-claim
39	14	on	O-claim
39	15	netflix	O-claim
39	16	.	O-claim
40	0	My	O-claim
40	1	papa	O-claim
40	2	's	O-claim
40	3	brother	O-claim
40	4	Doug	O-claim
40	5	and	O-claim
40	6	his	O-claim
40	7	wife	O-claim
40	8	came	O-claim
40	9	over	O-claim
40	10	.	O-claim
41	0	Then	O-claim
41	1	my	O-claim
