sentence_id	token_id	token	label
0	0	Little	O-claim
0	1	did	O-claim
0	2	I	O-claim
0	3	know	O-claim
0	4	that	O-claim
0	5	my	O-claim
0	6	life	O-claim
0	7	was	O-claim
0	8	going	O-claim
0	9	to	O-claim
0	10	change	O-claim
0	11	forever	O-claim
0	12	.	O-claim
1	0	Every	O-claim
1	1	kid	O-claim
1	2	wants	O-claim
1	3	their	O-claim
1	4	mom	O-claim
1	5	and	O-claim
1	6	dad	O-claim
1	7	to	O-claim
1	8	be	O-claim
1	9	happy	O-claim
1	10	and	O-claim
1	11	love	O-claim
1	12	each	O-claim
1	13	other	O-claim
1	14	,	O-claim
1	15	but	O-claim
1	16	not	O-claim
1	17	in	O-claim
1	18	my	O-claim
1	19	case	O-claim
1	20	.	O-claim
2	0	The	O-claim
2	1	divorce	O-claim
2	2	changed	O-claim
2	3	me	O-claim
2	4	in	O-claim
2	5	ways	O-claim
2	6	that	O-claim
2	7	could	O-claim
2	8	have	O-claim
2	9	ruined	O-claim
2	10	my	O-claim
2	11	life	O-claim
2	12	.	O-claim
3	0	I	O-claim
3	1	remember	O-claim
3	2	the	O-claim
3	3	last	O-claim
3	4	day	O-claim
3	5	my	O-claim
3	6	parents	O-claim
3	7	were	O-claim
3	8	together	O-claim
3	9	when	O-claim
3	10	we	O-claim
3	11	walked	O-claim
3	12	out	O-claim
3	13	the	O-claim
3	14	house	O-claim
3	15	and	O-claim
3	16	left	O-claim
3	17	my	O-claim
3	18	dad	O-claim
3	19	.	O-claim
4	0	I	O-claim
4	1	knew	O-claim
4	2	that	O-claim
4	3	it	O-claim
4	4	was	O-claim
4	5	going	O-claim
4	6	to	O-claim
4	7	be	O-claim
4	8	hard	O-claim
4	9	having	O-claim
4	10	to	O-claim
4	11	constantly	O-claim
4	12	go	O-claim
4	13	back	O-claim
4	14	and	O-claim
4	15	forth	O-claim
4	16	from	O-claim
4	17	my	O-claim
4	18	mom	O-claim
4	19	's	O-claim
4	20	and	O-claim
4	21	dad	O-claim
4	22	's	O-claim
4	23	.	O-claim
5	0	Once	O-claim
5	1	they	O-claim
5	2	got	O-claim
5	3	the	O-claim
5	4	divorce	O-claim
5	5	,	O-claim
5	6	I	O-claim
5	7	became	O-claim
5	8	angry	O-claim
5	9	and	O-claim
5	10	wondered	O-claim
5	11	,	O-claim
5	12	Why	O-claim
5	13	me	O-claim
5	14	?	O-claim
6	0	The	O-claim
6	1	divorce	O-claim
6	2	was	O-claim
6	3	hard	O-claim
6	4	on	O-claim
6	5	me	O-claim
6	6	because	O-claim
6	7	my	O-claim
6	8	life	O-claim
6	9	was	O-claim
6	10	dramatically	O-claim
6	11	changed	O-claim
6	12	and	O-claim
6	13	would	O-claim
6	14	never	O-claim
6	15	be	O-claim
6	16	the	O-claim
6	17	same	O-claim
6	18	.	O-claim
7	0	Growing	O-claim
7	1	up	O-claim
7	2	,	O-claim
7	3	I	O-claim
7	4	was	O-claim
7	5	a	O-claim
7	6	very	O-claim
7	7	happy	O-claim
7	8	and	O-claim
7	9	loving	O-claim
7	10	child	O-claim
7	11	.	O-claim
8	0	My	O-claim
8	1	parents	O-claim
8	2	were	O-claim
8	3	joyful	O-claim
8	4	and	O-claim
8	5	we	O-claim
8	6	lived	O-claim
8	7	in	O-claim
8	8	the	O-claim
8	9	green	O-claim
8	10	woods	O-claim
8	11	in	O-claim
8	12	a	O-claim
8	13	great	O-claim
8	14	big	O-claim
8	15	red	O-claim
8	16	house	O-claim
8	17	that	O-claim
8	18	my	O-claim
8	19	dad	O-claim
8	20	built	O-claim
8	21	for	O-claim
8	22	our	O-claim
8	23	family	O-claim
8	24	.	O-claim
9	0	I	O-claim
9	1	never	O-claim
9	2	noticed	O-claim
9	3	any	O-claim
9	4	fighting	O-claim
9	5	or	O-claim
9	6	arguing	O-claim
9	7	that	O-claim
9	8	was	O-claim
9	9	going	O-claim
9	10	on	O-claim
9	11	between	O-claim
9	12	my	O-claim
9	13	dad	O-claim
9	14	and	O-claim
9	15	my	O-claim
9	16	mom	O-claim
9	17	.	O-claim
10	0	I	O-claim
10	1	always	O-claim
10	2	thought	O-claim
10	3	that	O-claim
10	4	they	O-claim
10	5	were	O-claim
10	6	pleased	O-claim
10	7	and	O-claim
10	8	would	O-claim
10	9	stay	O-claim
10	10	together	O-claim
10	11	forever	O-claim
10	12	.	O-claim
11	0	When	O-claim
11	1	there	O-claim
11	2	was	O-claim
11	3	a	O-claim
11	4	family	O-claim
11	5	event	O-claim
11	6	,	O-claim
11	7	all	O-claim
11	8	families	O-claim
11	9	would	O-claim
11	10	gather	O-claim
11	11	usually	O-claim
11	12	just	O-claim
11	13	talking	O-claim
11	14	about	O-claim
11	15	how	O-claim
11	16	everything	O-claim
11	17	was	O-claim
11	18	going	O-claim
11	19	or	O-claim
11	20	how	O-claim
11	21	the	O-claim
11	22	kids	O-claim
11	23	are	O-claim
11	24	.	O-claim
12	0	I	O-claim
12	1	was	O-claim
12	2	about	O-claim
12	3	three	O-claim
12	4	years	O-claim
12	5	old	O-claim
12	6	during	O-claim
12	7	this	O-claim
12	8	time	O-claim
12	9	I	O-claim
12	10	was	O-claim
12	11	just	O-claim
12	12	starting	O-claim
12	13	Kindergarten	O-claim
12	14	.	O-claim
13	0	Everything	O-claim
13	1	was	O-claim
13	2	going	O-claim
13	3	great	O-claim
13	4	for	O-claim
13	5	myself	O-claim
13	6	and	O-claim
13	7	my	O-claim
13	8	family	O-claim
13	9	sometimes	O-claim
13	10	we	O-claim
13	11	would	O-claim
13	12	go	O-claim
13	13	on	O-claim
13	14	road	O-claim
13	15	trips	O-claim
13	16	and	O-claim
13	17	we	O-claim
13	18	would	O-claim
13	19	laugh	O-claim
13	20	and	O-claim
13	21	smile	O-claim
13	22	they	O-claim
13	23	were	O-claim
13	24	so	O-claim
13	25	happy	O-claim
13	26	.	O-claim
14	0	But	O-claim
14	1	I	O-claim
14	2	started	O-claim
14	3	to	O-claim
14	4	notice	O-claim
14	5	my	O-claim
14	6	parents	O-claim
14	7	not	O-claim
14	8	being	O-claim
14	9	as	O-claim
14	10	loving	O-claim
14	11	to	O-claim
14	12	each	O-claim
14	13	other	O-claim
14	14	,	O-claim
14	15	I	O-claim
14	16	never	O-claim
14	17	really	O-claim
14	18	thought	O-claim
14	19	about	O-claim
14	20	it	O-claim
14	21	that	O-claim
14	22	much	O-claim
14	23	though	O-claim
14	24	;	O-claim
14	25	it	O-claim
14	26	never	O-claim
14	27	came	O-claim
14	28	to	O-claim
14	29	me	O-claim
14	30	that	O-claim
14	31	they	O-claim
14	32	were	O-claim
14	33	going	O-claim
14	34	to	O-claim
14	35	get	O-claim
14	36	a	O-claim
14	37	divorce	O-claim
14	38	.	O-claim
15	0	Little	O-claim
15	1	did	O-claim
15	2	I	O-claim
15	3	know	O-claim
15	4	that	O-claim
15	5	there	O-claim
15	6	was	O-claim
15	7	something	O-claim
15	8	wrong	O-claim
15	9	.	O-claim
16	0	A	O-claim
16	1	week	O-claim
16	2	later	O-claim
16	3	,	O-claim
16	4	my	O-claim
16	5	mom	O-claim
16	6	,	O-claim
16	7	sister	O-claim
16	8	,	O-claim
16	9	and	O-claim
16	10	I	O-claim
16	11	left	O-claim
16	12	my	O-claim
16	13	house	O-claim
16	14	to	O-claim
16	15	a	O-claim
16	16	different	O-claim
16	17	one	O-claim
16	18	leaving	O-claim
16	19	my	O-claim
16	20	dad	O-claim
16	21	.	O-claim
17	0	A	O-claim
17	1	few	O-claim
17	2	days	O-claim
17	3	later	O-claim
17	4	my	O-claim
17	5	mom	O-claim
17	6	filed	O-claim
17	7	the	O-claim
17	8	divorce	O-claim
17	9	papers	O-claim
17	10	.	O-claim
18	0	After	O-claim
18	1	the	O-claim
18	2	divorce	O-claim
18	3	happened	O-claim
18	4	,	O-claim
18	5	something	O-claim
18	6	snapped	O-claim
18	7	in	O-claim
18	8	me	O-claim
18	9	.	O-claim
19	0	I	O-claim
19	1	was	O-claim
19	2	heading	O-claim
19	3	straight	O-claim
19	4	to	O-claim
