sentence_id	token_id	token	label
0	0	Competition	O-premise
0	1	or	O-premise
0	2	co	O-premise
0	3	-	O-premise
0	4	operation	O-premise
0	5	-	O-premise
0	6	which	O-premise
0	7	is	O-premise
0	8	better	O-premise
0	9	_NEW_LINE__NEW_LINE_	O-premise
1	0	The	O-premise
1	1	modern	O-premise
1	2	society	O-premise
1	3	is	O-premise
1	4	full	O-premise
1	5	of	O-premise
1	6	cut	O-premise
1	7	-	O-premise
1	8	throat	O-premise
1	9	competition	O-premise
1	10	.	O-premise
2	0	Some	O-premise
2	1	people	O-premise
2	2	think	O-premise
2	3	that	O-premise
2	4	inculcating	O-premise
2	5	co	O-premise
2	6	-	O-premise
2	7	operative	O-premise
2	8	approach	O-premise
2	9	in	O-premise
2	10	a	O-premise
2	11	child	O-premise
2	12	is	O-premise
2	13	essential	O-premise
2	14	while	O-premise
2	15	some	O-premise
2	16	think	O-premise
2	17	that	O-premise
2	18	competing	O-premise
2	19	is	O-premise
2	20	the	O-premise
2	21	best	O-premise
2	22	way	O-premise
2	23	to	O-premise
2	24	succeed	O-premise
2	25	.	O-premise
3	0	However	O-premise
3	1	,	O-premise
3	2	co	O-premise
3	3	-	O-premise
3	4	operative	O-premise
3	5	approach	O-premise
3	6	always	O-premise
3	7	helps	O-premise
3	8	a	O-premise
3	9	child	O-premise
3	10	to	O-premise
3	11	become	O-premise
3	12	a	O-premise
3	13	responsible	O-premise
3	14	adult	O-premise
3	15	with	O-premise
3	16	good	O-premise
3	17	moral	O-premise
3	18	values	O-premise
3	19	and	O-premise
3	20	a	O-premise
3	21	friendly	O-premise
3	22	social	O-premise
3	23	circle	O-premise
3	24	.	O-premise
3	25	_NEW_LINE_	O-premise
4	0	Co	O-premise
4	1	-	O-premise
4	2	operation	O-premise
4	3	is	O-premise
4	4	essential	O-premise
4	5	for	O-premise
4	6	teamwork	O-premise
4	7	.	O-premise
5	0	Educational	B-premise
5	1	systems	I-premise
5	2	emphasize	I-premise
5	3	on	I-premise
5	4	encouraging	I-premise
5	5	co	I-premise
5	6	-	I-premise
5	7	operative	I-premise
5	8	approach	I-premise
5	9	in	I-premise
5	10	children	I-premise
5	11	.	O-premise
6	0	We	B-premise
6	1	live	I-premise
6	2	in	I-premise
6	3	a	I-premise
6	4	social	I-premise
6	5	setup	I-premise
6	6	and	I-premise
6	7	mutual	I-premise
6	8	help	I-premise
6	9	and	I-premise
6	10	sharing	I-premise
6	11	only	I-premise
6	12	leads	I-premise
6	13	to	I-premise
6	14	success	I-premise
6	15	.	O-premise
7	0	A	B-premise
7	1	person	I-premise
7	2	can	I-premise
7	3	not	I-premise
7	4	learn	I-premise
7	5	or	I-premise
7	6	achieve	I-premise
7	7	everything	I-premise
7	8	by	I-premise
7	9	oneself	I-premise
7	10	.	O-premise
8	0	For	O-premise
8	1	instance	O-premise
8	2	,	O-premise
8	3	lions	B-premise
8	4	hunt	I-premise
8	5	in	I-premise
8	6	a	I-premise
8	7	team	I-premise
8	8	.	O-premise
9	0	It	B-premise
9	1	is	I-premise
9	2	only	I-premise
9	3	due	I-premise
9	4	to	I-premise
9	5	their	I-premise
9	6	teamwork	I-premise
9	7	that	I-premise
9	8	they	I-premise
9	9	are	I-premise
9	10	able	I-premise
9	11	to	I-premise
9	12	catch	I-premise
9	13	a	I-premise
9	14	prey	I-premise
9	15	and	I-premise
9	16	make	I-premise
9	17	task	I-premise
9	18	easy	I-premise
9	19	.	O-premise
10	0	In	O-premise
10	1	the	O-premise
10	2	same	O-premise
10	3	way	O-premise
10	4	,	O-premise
10	5	co	B-premise
10	6	-	I-premise
10	7	operative	I-premise
10	8	approach	I-premise
10	9	will	I-premise
10	10	save	I-premise
10	11	time	I-premise
10	12	,	I-premise
10	13	energy	I-premise
10	14	and	I-premise
10	15	will	I-premise
10	16	have	I-premise
10	17	a	I-premise
10	18	higher	I-premise
10	19	success	I-premise
10	20	rate	I-premise
10	21	.	O-premise
10	22	_NEW_LINE_	O-premise
11	0	Nevertheless	O-premise
11	1	,	O-premise
11	2	co	O-premise
11	3	-	O-premise
