sentence_id	token_id	token	label
0	0	It	O-claim
0	1	's	O-claim
0	2	ComplicatedThis	O-claim
0	3	all	O-claim
0	4	started	O-claim
0	5	two	O-claim
0	6	weeks	O-claim
0	7	ago	O-claim
0	8	.	O-claim
1	0	Walking	O-claim
1	1	to	O-claim
1	2	my	O-claim
1	3	locker	O-claim
1	4	,	O-claim
1	5	I	O-claim
1	6	planned	O-claim
1	7	on	O-claim
1	8	getting	O-claim
1	9	things	O-claim
1	10	for	O-claim
1	11	Math	O-claim
1	12	,	O-claim
1	13	my	O-claim
1	14	next	O-claim
1	15	class	O-claim
1	16	,	O-claim
1	17	but	O-claim
1	18	when	O-claim
1	19	I	O-claim
1	20	opened	O-claim
1	21	it	O-claim
1	22	,	O-claim
1	23	a	O-claim
1	24	note	O-claim
1	25	slipped	O-claim
1	26	out	O-claim
1	27	.	O-claim
2	0	Of	O-claim
2	1	course	O-claim
2	2	,	O-claim
2	3	(	O-claim
2	4	me	O-claim
2	5	being	O-claim
2	6	the	O-claim
2	7	curious	O-claim
2	8	person	O-claim
2	9	I	O-claim
2	10	am	O-claim
2	11	)	O-claim
3	0	`	O-claim
3	1	Dear	O-claim
3	2	Brendon	O-claim
3	3	,	O-claim
3	4	I	O-claim
3	5	know	O-claim
3	6	your	O-claim
3	7	secret	O-claim
3	8	.	O-claim
3	9	..	O-claim
4	0	XX	O-claim
4	1	Secret	O-claim
4	2	Keeper	O-claim
4	3	#	O-claim
4	4	2	O-claim
4	5	'	O-claim
4	6	What	O-claim
4	7	does	O-claim
4	8	that	O-claim
4	9	mean	O-claim
4	10	?	O-claim
5	0	Fear	O-claim
5	1	fills	O-claim
5	2	my	O-claim
5	3	bloodstream	O-claim
5	4	,	O-claim
5	5	face	O-claim
5	6	turning	O-claim
5	7	slightly	O-claim
5	8	pale	O-claim
5	9	.	O-claim
6	0	I	O-claim
6	1	look	O-claim
6	2	up	O-claim
6	3	and	O-claim
6	4	see	O-claim
6	5	two	O-claim
6	6	of	O-claim
6	7	my	O-claim
6	8	friends	O-claim
6	9	:	O-claim
6	10	Aria	O-claim
6	11	,	O-claim
6	12	and	O-claim
6	13	Gabby	O-claim
6	14	.	O-claim
7	0	Quickly	O-claim
7	1	,	O-claim
7	2	I	O-claim
7	3	spoke	O-claim
7	4	,	O-claim
7	5	Guys	O-claim
7	6	!	O-claim
8	0	Look	O-claim
8	1	what	O-claim
8	2	I	O-claim
8	3	found	O-claim
8	4	!	O-claim
9	0	They	O-claim
9	1	gave	O-claim
9	2	me	O-claim
9	3	a	O-claim
9	4	curious	O-claim
9	5	look	O-claim
9	6	in	O-claim
9	7	return	O-claim
9	8	.	O-claim
10	0	It	O-claim
10	1	's	O-claim
10	2	a	O-claim
10	3	note	O-claim
10	4	,	O-claim
10	5	and	O-claim
10	6	it	O-claim
10	7	scares	O-claim
10	8	me	O-claim
10	9	,	O-claim
10	10	I	O-claim
10	11	say	O-claim
10	12	,	O-claim
10	13	a	O-claim
10	14	frown	O-claim
10	15	plastered	O-claim
10	16	on	O-claim
10	17	my	O-claim
10	18	face	O-claim
10	19	.	O-claim
11	0	Gabby	O-claim
11	1	held	O-claim
11	2	her	O-claim
11	3	hand	O-claim
11	4	out	O-claim
11	5	.	O-claim
12	0	Hesitantly	O-claim
12	1	,	O-claim
12	2	I	O-claim
12	3	gave	O-claim
12	4	it	O-claim
12	5	to	O-claim
12	6	her	O-claim
12	7	.	O-claim
13	0	She	O-claim
13	1	opened	O-claim
13	2	it	O-claim
13	3	slowly	O-claim
13	4	,	O-claim
13	5	and	O-claim
13	6	her	O-claim
13	7	eyes	O-claim
13	8	widened	O-claim
13	9	as	O-claim
13	10	she	O-claim
13	11	read	O-claim
13	12	the	O-claim
13	13	note	O-claim
13	14	,	O-claim
13	15	along	O-claim
13	16	with	O-claim
13	17	Aria	O-claim
13	18	.	O-claim
14	0	We	O-claim
14	1	have	O-claim
14	2	to	O-claim
14	3	turn	O-claim
14	4	it	O-claim
14	5	in	O-claim
14	6	,	O-claim
14	7	Aria	O-claim
14	8	advised	O-claim
14	9	.	O-claim
15	0	What	O-claim
15	1	if	O-claim
15	2	it	O-claim
15	3	's	O-claim
15	4	just	O-claim
15	5	a	O-claim
15	6	joke	O-claim
15	7	,	O-claim
15	8	then	O-claim
15	9	we	O-claim
15	10	'll	O-claim
15	11	get	O-claim
15	12	blamed	O-claim
15	13	,	O-claim
15	14	I	O-claim
15	15	commented	O-claim
15	16	.	O-claim
16	0	True	O-claim
16	1	.	O-claim
16	2	I	O-claim
16	3	'll	O-claim
16	4	tell	O-claim
16	5	the	O-claim
16	6	others	O-claim
16	7	,	O-claim
16	8	we	O-claim
16	9	'll	O-claim
16	10	figure	O-claim
16	11	this	O-claim
16	12	out	O-claim
16	13	,	O-claim
16	14	Gabby	O-claim
16	15	finalized	O-claim
16	16	.	O-claim
17	0	The	O-claim
17	1	last	O-claim
17	2	bell	O-claim
17	3	had	O-claim
17	4	finally	O-claim
17	5	rung	O-claim
17	6	.	O-claim
18	0	Quickly	O-claim
18	1	,	O-claim
18	2	I	O-claim
18	3	got	O-claim
18	4	up	O-claim
18	5	,	O-claim
18	6	and	O-claim
18	7	jogged	O-claim
18	8	down	O-claim
18	9	to	O-claim
18	10	my	O-claim
18	11	locker	O-claim
18	12	,	O-claim
18	13	our	O-claim
18	14	`	O-claim
18	15	meetup	O-claim
18	16	'	O-claim
18	17	spot	O-claim
18	18	in	O-claim
18	19	the	O-claim
18	20	school	O-claim
18	21	.	O-claim
19	0	When	O-claim
19	1	I	O-claim
19	2	got	O-claim
19	3	there	O-claim
19	4	,	O-claim
19	5	I	O-claim
19	6	had	O-claim
19	7	noticed	O-claim
19	8	a	O-claim
19	9	note	O-claim
19	10	on	O-claim
19	11	it	O-claim
19	12	.	O-claim
20	0	I	O-claim
20	1	immediately	O-claim
20	2	took	O-claim
20	3	it	O-claim
20	4	off	O-claim
20	5	and	O-claim
20	6	read	O-claim
20	7	carefully	O-claim
20	8	.	O-claim
21	0	`	O-claim
21	1	I	O-claim
21	2	see	O-claim
21	3	you	O-claim
21	4	and	O-claim
21	5	your	O-claim
21	6	friends	O-claim
21	7	are	O-claim
21	8	looking	O-claim
21	9	for	O-claim
21	10	me	O-claim
21	11	.	O-claim
21	12	hah	O-claim
21	13	!	O-claim
22	0	Here	O-claim
22	1	's	O-claim
22	2	a	O-claim
22	3	small	O-claim
22	4	clue	O-claim
22	5	,	O-claim
22	6	we	O-claim
22	7	were	O-claim
22	8	once	O-claim
22	9	close	O-claim
22	10	,	O-claim
22	11	I	O-claim
22	12	know	O-claim
22	13	everything	O-claim
22	14	.	O-claim
23	0	As	O-claim
23	1	I	O-claim
23	2	said	O-claim
23	3	before	O-claim
23	4	,	O-claim
23	5	good	O-claim
23	6	luck	O-claim
23	7	.	O-claim
24	0	Gorgan	O-claim
24	1	2	O-claim
24	2	XX	O-claim
24	3	Secret	O-claim
24	4	Keeper	O-claim
24	5	#	O-claim
24	6	2	O-claim
24	7	'	O-claim
25	0	Thinking	O-claim
25	1	,	O-claim
25	2	I	O-claim
25	3	sat	O-claim
25	4	there	O-claim
25	5	,	O-claim
25	6	and	O-claim
25	7	read	O-claim
25	8	it	O-claim
25	9	over	O-claim
25	10	,	O-claim
25	11	who	O-claim
25	12	could	O-claim
25	13	it	O-claim
25	14	be	O-claim
25	15	?	O-claim
26	0	I	O-claim
26	1	have	O-claim
26	2	n't	O-claim
26	3	made	O-claim
26	4	many	O-claim
26	5	friends	O-claim
26	6	since	O-claim
26	7	I	O-claim
26	8	moved	O-claim
26	9	from	O-claim
26	10	London	O-claim
26	11	three	O-claim
26	12	years	O-claim
26	13	ago	O-claim
26	14	.	O-claim
27	0	Minutes	O-claim
27	1	later	O-claim
27	2	,	O-claim
27	3	I	O-claim
27	4	heard	O-claim
27	5	footsteps	O-claim
27	6	approaching	O-claim
27	7	.	O-claim
28	0	I	O-claim
28	1	look	O-claim
28	2	up	O-claim
28	3	to	O-claim
28	4	see	O-claim
28	5	Aria	O-claim
28	6	,	O-claim
28	7	I	O-claim
28	8	feel	O-claim
28	9	a	O-claim
28	10	small	O-claim
28	11	flutter	O-claim
28	12	of	O-claim
28	13	butterflies	O-claim
28	14	in	O-claim
28	15	my	O-claim
28	16	stomach	O-claim
28	17	,	O-claim
28	18	she	O-claim
28	19	smiled	O-claim
28	20	at	O-claim
28	21	me	O-claim
28	22	,	O-claim
28	23	causing	O-claim
28	24	my	O-claim
28	25	cheeks	O-claim
28	26	to	O-claim
28	27	turn	O-claim
28	28	a	O-claim
28	29	slight	O-claim
28	30	pink	O-claim
28	31	.	O-claim
29	0	I	O-claim
29	1	have	O-claim
29	2	to	O-claim
29	3	admit	O-claim
29	4	,	O-claim
29	5	I	O-claim
29	6	have	O-claim
29	7	a	O-claim
29	8	crush	O-claim
29	9	on	O-claim
29	10	her	O-claim
29	11	,	O-claim
29	12	but	O-claim
29	13	no	O-claim
29	14	one	O-claim
29	15	knows	O-claim
29	16	,	O-claim
29	17	no	O-claim
29	18	one	O-claim
29	19	is	O-claim
29	20	going	O-claim
29	21	to	O-claim
29	22	know	O-claim
29	23	.	O-claim
30	0	After	O-claim
30	1	a	O-claim
30	2	while	O-claim
30	3	of	O-claim
30	4	waiting	O-claim
30	5	,	O-claim
30	6	everyone	O-claim
30	7	is	O-claim
30	8	here	O-claim
30	9	and	O-claim
30	10	we	O-claim
30	11	all	O-claim
30	12	had	O-claim
30	13	our	O-claim
30	14	heads	O-claim
30	15	put	O-claim
30	16	together	O-claim
30	17	,	O-claim
30	18	trying	O-claim
30	19	to	O-claim
30	20	figure	O-claim
30	21	out	O-claim
30	22	who	O-claim
30	23	the	O-claim
30	24	culprit	O-claim
30	25	is	O-claim
30	26	.	O-claim
31	0	Shawn	O-claim
31	1	,	O-claim
31	2	Aria	O-claim
31	3	suggested	O-claim
31	4	.	O-claim
31	5	.	O-claim
32	0	Putting	O-claim
32	1	the	O-claim
32	2	pieces	O-claim
32	3	together	O-claim
32	4	,	O-claim
32	5	thinking	O-claim
32	6	of	O-claim
32	7	the	O-claim
32	8	last	O-claim
32	9	time	O-claim
32	10	Shawn	O-claim
32	11	and	O-claim
32	12	I	O-claim
32	13	had	O-claim
32	14	talked	O-claim
32	15	.	O-claim
33	0	Two	O-claim
33	1	years	O-claim
33	2	ago	O-claim
33	3	,	O-claim
33	4	we	O-claim
33	5	had	O-claim
33	6	a	O-claim
33	7	fight	O-claim
33	8	,	O-claim
33	9	he	O-claim
33	10	noticed	O-claim
33	11	me	O-claim
33	12	getting	O-claim
33	13	closer	O-claim
33	14	to	O-claim
33	15	Aria	O-claim
33	16	,	O-claim
33	17	Gabby	O-claim
33	18	,	O-claim
33	19	Logan	O-claim
33	20	,	O-claim
33	21	and	O-claim
33	22	Eben	O-claim
33	23	.	O-claim
34	0	You	O-claim
34	1	're	O-claim
34	2	leaving	O-claim
34	3	me	O-claim
34	4	,	O-claim
34	5	for	O-claim
34	6	them	O-claim
34	7	,	O-claim
34	8	He	O-claim
34	9	screamed	O-claim
34	10	at	O-claim
34	11	me	O-claim
34	12	in	O-claim
34	13	the	O-claim
34	14	park	O-claim
34	15	.	O-claim
35	0	Well	O-claim
35	1	,	O-claim
35	2	want	O-claim
35	3	if	O-claim
35	4	I	O-claim
35	5	want	O-claim
35	6	to	O-claim
35	7	,	O-claim
35	8	I	O-claim
35	9	replied	O-claim
35	10	calmly	O-claim
35	11	.	O-claim
36	0	Just	O-claim
