sentence_id	token_id	token	label
0	0	I	O-claim
0	1	always	O-claim
0	2	wanted	O-claim
0	3	something	O-claim
0	4	that	O-claim
0	5	nearly	O-claim
0	6	everyone	O-claim
0	7	had	O-claim
0	8	,	O-claim
0	9	but	O-claim
0	10	never	O-claim
0	11	got	O-claim
0	12	it	O-claim
0	13	.	O-claim
1	0	As	O-claim
1	1	got	O-claim
1	2	older	O-claim
1	3	started	O-claim
1	4	to	O-claim
1	5	feel	O-claim
1	6	like	O-claim
1	7	I	O-claim
1	8	was	O-claim
1	9	missing	O-claim
1	10	something	O-claim
1	11	important	O-claim
1	12	in	O-claim
1	13	my	O-claim
1	14	life	O-claim
1	15	.	O-claim
2	0	I	O-claim
2	1	never	O-claim
2	2	thought	O-claim
2	3	of	O-claim
2	4	how	O-claim
2	5	much	O-claim
2	6	this	O-claim
2	7	would	O-claim
2	8	impact	O-claim
2	9	my	O-claim
2	10	life	O-claim
2	11	until	O-claim
2	12	it	O-claim
2	13	did	O-claim
2	14	.	O-claim
3	0	On	O-claim
3	1	July	O-claim
3	2	15	O-claim
3	3	2004	O-claim
3	4	my	O-claim
3	5	dad	O-claim
3	6	passed	O-claim
3	7	away	O-claim
3	8	.	O-claim
4	0	I	O-claim
4	1	was	O-claim
4	2	born	O-claim
4	3	a	O-claim
4	4	few	O-claim
4	5	mouth	O-claim
4	6	after	O-claim
4	7	on	O-claim
4	8	December	O-claim
4	9	27	O-claim
4	10	2004	O-claim
4	11	.	O-claim
5	0	I	O-claim
5	1	lost	O-claim
5	2	my	O-claim
5	3	dad	O-claim
5	4	before	O-claim
5	5	I	O-claim
5	6	even	O-claim
5	7	met	O-claim
5	8	him	O-claim
5	9	.	O-claim
6	0	I	O-claim
6	1	never	O-claim
6	2	realize	O-claim
6	3	what	O-claim
6	4	it	O-claim
6	5	was	O-claim
6	6	like	O-claim
6	7	to	O-claim
6	8	live	O-claim
6	9	without	O-claim
6	10	a	O-claim
6	11	Dad	O-claim
6	12	but	O-claim
6	13	when	O-claim
6	14	did	O-claim
6	15	learned	O-claim
6	16	how	O-claim
6	17	to	O-claim
6	18	overcome	O-claim
6	19	it	O-claim
6	20	.	O-claim
7	0	Growing	O-claim
7	1	up	O-claim
7	2	never	O-claim
7	3	thought	O-claim
7	4	of	O-claim
7	5	my	O-claim
7	6	Dad	O-claim
7	7	often	O-claim
7	8	,	O-claim
7	9	it	O-claim
7	10	was	O-claim
7	11	like	O-claim
7	12	I	O-claim
7	13	hid	O-claim
7	14	it	O-claim
7	15	in	O-claim
7	16	the	O-claim
7	17	back	O-claim
7	18	of	O-claim
7	19	my	O-claim
7	20	mind	O-claim
7	21	trying	O-claim
7	22	to	O-claim
7	23	imagine	O-claim
7	24	all	O-claim
7	25	the	O-claim
7	26	positive	O-claim
7	27	things	O-claim
7	28	.	O-claim
8	0	As	O-claim
8	1	a	O-claim
8	2	young	O-claim
8	3	child	O-claim
8	4	was	O-claim
8	5	always	O-claim
8	6	with	O-claim
8	7	family	O-claim
8	8	so	O-claim
8	9	my	O-claim
8	10	Dad	O-claim
8	11	never	O-claim
8	12	came	O-claim
8	13	to	O-claim
8	14	mind	O-claim
8	15	.	O-claim
9	0	I	O-claim
9	1	will	O-claim
9	2	amite	O-claim
9	3	maybe	O-claim
9	4	it	O-claim
9	5	was	O-claim
9	6	because	O-claim
9	7	I	O-claim
9	8	was	O-claim
9	9	spoiled	O-claim
9	10	by	O-claim
9	11	my	O-claim
9	12	Grandparents	O-claim
