sentence_id	token_id	token	label
0	0	The	O-claim
0	1	Relationship	O-claim
0	2	Between	O-claim
0	3	My	O-claim
0	4	Mother	O-claim
0	5	and	O-claim
0	6	I	O-claim
1	0	Once	O-claim
1	1	expectations	O-claim
1	2	become	O-claim
1	3	an	O-claim
1	4	unreachable	O-claim
1	5	objective	O-claim
1	6	it	O-claim
1	7	turns	O-claim
1	8	into	O-claim
1	9	a	O-claim
1	10	never	O-claim
1	11	ending	O-claim
1	12	line	O-claim
1	13	of	O-claim
1	14	disappointments	O-claim
1	15	.	O-claim
2	0	Every	O-claim
2	1	strict	O-claim
2	2	parent	O-claim
2	3	has	O-claim
2	4	a	O-claim
2	5	reason	O-claim
2	6	for	O-claim
2	7	being	O-claim
2	8	stern	O-claim
2	9	towards	O-claim
2	10	their	O-claim
2	11	child	O-claim
2	12	.	O-claim
3	0	The	B-claim
3	1	reason	I-claim
3	2	most	I-claim
3	3	likely	I-claim
3	4	to	I-claim
3	5	push	I-claim
3	6	them	I-claim
3	7	towards	I-claim
3	8	a	I-claim
3	9	goal	I-claim
3	10	that	I-claim
3	11	would	I-claim
3	12	lead	I-claim
3	13	them	I-claim
3	14	to	I-claim
3	15	success	I-claim
3	16	.	O-claim
4	0	Although	O-claim
4	1	there	O-claim
4	2	are	O-claim
4	3	times	O-claim
4	4	when	O-claim
4	5	a	O-claim
4	6	parent	O-claim
4	7	steps	O-claim
4	8	over	O-claim
4	9	the	O-claim
4	10	boundaries	O-claim
4	11	,	O-claim
4	12	from	O-claim
4	13	being	O-claim
4	14	strict	O-claim
4	15	towards	O-claim
4	16	them	O-claim
4	17	as	O-claim
4	18	a	O-claim
4	19	guide	O-claim
4	20	to	O-claim
4	21	forcing	O-claim
4	22	them	O-claim
4	23	to	O-claim
4	24	become	O-claim
4	25	a	O-claim
4	26	person	O-claim
4	27	they	O-claim
4	28	are	O-claim
4	29	n't	O-claim
4	30	capable	O-claim
4	31	of	O-claim
4	32	being	O-claim
4	33	ignoring	O-claim
4	34	the	O-claim
4	35	limits	O-claim
4	36	they	O-claim
4	37	have	O-claim
4	38	.	O-claim
5	0	As	O-claim
5	1	a	O-claim
5	2	child	O-claim
5	3	,	O-claim
5	4	usually	O-claim
5	5	before	O-claim
5	6	the	O-claim
5	7	double	O-claim
5	8	digits	O-claim
5	9	,	O-claim
5	10	your	O-claim
5	11	mother	O-claim
5	12	becomes	O-claim
5	13	the	O-claim
5	14	center	O-claim
5	15	of	O-claim
5	16	your	O-claim
5	17	world	O-claim
5	18	.	O-claim
6	0	When	O-claim
6	1	I	O-claim
6	2	was	O-claim
6	3	starting	O-claim
6	4	elementary	O-claim
