sentence_id	token_id	token	label
0	0	For	O-claim
0	1	some	O-claim
0	2	,	O-claim
0	3	this	O-claim
0	4	just	O-claim
0	5	a	O-claim
0	6	shallow	O-claim
0	7	word	O-claim
0	8	to	O-claim
0	9	describe	O-claim
0	10	blood	O-claim
0	11	relation	O-claim
0	12	.	O-claim
1	0	To	O-claim
1	1	others	O-claim
1	2	,	O-claim
1	3	it	O-claim
1	4	has	O-claim
1	5	a	O-claim
1	6	much	O-claim
1	7	deeper	O-claim
1	8	meaning	O-claim
1	9	.	O-claim
2	0	Family	O-claim
2	1	is	O-claim
2	2	a	O-claim
2	3	word	O-claim
2	4	to	O-claim
2	5	describe	O-claim
2	6	the	O-claim
2	7	people	O-claim
2	8	you	O-claim
2	9	are	O-claim
2	10	closest	O-claim
2	11	to	O-claim
2	12	and	O-claim
2	13	can	O-claim
2	14	trust	O-claim
2	15	with	O-claim
2	16	your	O-claim
2	17	life	O-claim
2	18	.	O-claim
3	0	Family	O-claim
3	1	helps	O-claim
3	2	you	O-claim
3	3	up	O-claim
3	4	when	O-claim
3	5	you	O-claim
3	6	fall	O-claim
3	7	or	O-claim
3	8	save	O-claim
3	9	you	O-claim
3	10	when	O-claim
3	11	you	O-claim
3	12	're	O-claim
3	13	drowning	O-claim
3	14	in	O-claim
3	15	whatever	O-claim
3	16	the	O-claim
3	17	world	O-claim
3	18	decides	O-claim
3	19	to	O-claim
3	20	flood	O-claim
3	21	you	O-claim
3	22	with	O-claim
3	23	.	O-claim
4	0	Family	O-claim
4	1	is	O-claim
4	2	,	O-claim
4	3	no	O-claim
4	4	matter	O-claim
4	5	what	O-claim
4	6	,	O-claim
4	7	are	O-claim
4	8	always	O-claim
4	9	there	O-claim
4	10	for	O-claim
4	11	you	O-claim
4	12	.	O-claim
5	0	When	O-claim
5	1	I	O-claim
5	2	was	O-claim
5	3	younger	O-claim
5	4	,	O-claim
5	5	there	O-claim
5	6	was	O-claim
5	7	no	O-claim
5	8	one	O-claim
5	9	who	O-claim
5	10	I	O-claim
5	11	was	O-claim
5	12	ever	O-claim
5	13	more	O-claim
5	14	excited	O-claim
5	15	to	O-claim
5	16	visit	O-claim
5	17	than	O-claim
5	18	my	O-claim
5	19	Grandma	O-claim
5	20	Smith	O-claim
5	21	.	O-claim
6	0	She	O-claim
6	1	meant	O-claim
6	2	everything	O-claim
6	3	to	O-claim
6	4	me	O-claim
6	5	.	O-claim
7	0	She	O-claim
7	1	was	O-claim
7	2	the	O-claim
7	3	one	O-claim
7	4	who	O-claim
7	5	was	O-claim
7	6	always	O-claim
7	7	around	O-claim
7	8	.	O-claim
8	0	That	O-claim
8	1	is	O-claim
8	2	,	O-claim
8	3	until	O-claim
8	4	she	O-claim
8	5	was	O-claim
8	6	n't	O-claim
8	7	.	O-claim
9	0	When	O-claim
9	1	we	O-claim
9	2	lost	O-claim
9	3	her	O-claim
9	4	,	O-claim
9	5	nothing	O-claim
9	6	seemed	O-claim
9	7	to	O-claim
9	8	make	O-claim
9	9	sense	O-claim
9	10	anymore	O-claim
9	11	.	O-claim
10	0	I	O-claim
10	1	can	O-claim
10	2	still	O-claim
10	3	remember	O-claim
10	4	the	O-claim
10	5	week	O-claim
10	6	she	O-claim
10	7	died	O-claim
10	8	like	O-claim
10	9	it	O-claim
10	10	happened	O-claim
10	11	yesterday	O-claim
10	12	,	O-claim
10	13	down	O-claim
10	14	to	O-claim
10	15	almost	O-claim
10	16	every	O-claim
10	17	last	O-claim
10	18	bitter	O-claim
10	19	detail	O-claim
10	20	.	O-claim
11	0	Inside	O-claim
11	1	my	O-claim
11	2	forgetful	O-claim
11	3	mind	O-claim
11	4	,	O-claim
11	5	this	O-claim
11	6	is	O-claim
11	7	one	O-claim
11	8	of	O-claim
11	9	the	O-claim
11	10	only	O-claim
11	11	memories	O-claim
11	12	that	O-claim
