sentence_id	token_id	token	label
0	0	Everyone	O-claim
0	1	says	O-claim
0	2	football	B-claim
0	3	comes	I-claim
0	4	down	I-claim
0	5	to	I-claim
0	6	inches	I-claim
0	7	,	O-claim
0	8	but	O-claim
0	9	it	O-claim
0	10	is	O-claim
0	11	rare	O-claim
0	12	to	O-claim
0	13	witness	O-claim
0	14	a	O-claim
0	15	game	O-claim
0	16	where	O-claim
0	17	inches	O-claim
0	18	matter	O-claim
0	19	.	O-claim
1	0	Notably	O-claim
1	1	,	O-claim
1	2	fans	B-claim
1	3	might	I-claim
1	4	see	I-claim
1	5	a	I-claim
1	6	fourth	I-claim
1	7	down	I-claim
1	8	and	I-claim
1	9	inches	I-claim
1	10	,	O-claim
1	11	but	O-claim
1	12	nothing	O-claim
1	13	like	O-claim
1	14	a	O-claim
1	15	game	O-claim
1	16	-	O-claim
1	17	winning	O-claim
1	18	touchdown	O-claim
1	19	that	O-claim
1	20	comes	O-claim
1	21	down	O-claim
1	22	to	O-claim
1	23	inches	O-claim
1	24	.	O-claim
2	0	However	O-claim
2	1	,	O-claim
2	2	I	O-claim
2	3	was	O-claim
2	4	fortunate	O-claim
2	5	to	O-claim
2	6	attend	O-claim
2	7	an	O-claim
2	8	enormous	O-claim
2	9	game	O-claim
2	10	that	O-claim
2	11	did	O-claim
2	12	emphasize	O-claim
2	13	the	O-claim
2	14	importance	O-claim
2	15	of	O-claim
2	16	inches	O-claim
2	17	.	O-claim
3	0	Finally	O-claim
3	1	,	O-claim
3	2	it	O-claim
3	3	was	O-claim
3	4	Christmas	O-claim
3	5	Day	O-claim
3	6	in	O-claim
3	7	Pittsburgh	O-claim
3	8	,	O-claim
3	9	there	O-claim
3	10	was	O-claim
3	11	a	O-claim
3	12	buzz	O-claim
3	13	in	O-claim
3	14	the	O-claim
3	15	air	O-claim
3	16	and	O-claim
3	17	high	O-claim
3	18	hopes	O-claim
3	19	for	O-claim
3	20	4	O-claim
3	21	o'clock	O-claim
3	22	when	O-claim
3	23	rivals	O-claim
3	24	would	O-claim
3	25	take	O-claim
3	26	center	O-claim
3	27	stage	O-claim
3	28	.	O-claim
4	0	Therefore	O-claim
4	1	,	O-claim
4	2	this	O-claim
4	3	game	O-claim
4	4	would	O-claim
4	5	decide	O-claim
4	6	the	O-claim
4	7	champion	O-claim
4	8	of	O-claim
4	9	the	O-claim
4	10	division	O-claim
4	11	and	O-claim
4	12	what	O-claim
4	13	team	O-claim
4	14	would	O-claim
4	15	advance	O-claim
4	16	to	O-claim
4	17	the	O-claim
4	18	playoffs	O-claim
4	19	.	O-claim
5	0	Surprisingly	O-claim
5	1	,	O-claim
5	2	we	O-claim
5	3	arrived	O-claim
5	4	at	O-claim
5	5	the	O-claim
5	6	stadium	O-claim
5	7	around	O-claim
5	8	11	O-claim
5	9	o'clock	O-claim
5	10	.	O-claim
6	0	There	O-claim
6	1	was	O-claim
6	2	a	O-claim
6	3	negligible	O-claim
6	4	overcast	O-claim
6	5	,	O-claim
6	6	with	O-claim
6	7	temperatures	O-claim
6	8	near	O-claim
6	9	35	O-claim
6	10	degrees	O-claim
6	11	.	O-claim
7	0	Finally	O-claim
7	1	,	O-claim
7	2	we	O-claim
7	3	entered	O-claim
7	4	the	O-claim
7	5	stadium	O-claim
7	6	;	O-claim
7	7	it	O-claim
7	8	was	O-claim
7	9	prodigious	O-claim
7	10	with	O-claim
7	11	the	O-claim
7	12	humongous	O-claim
7	13	screen	O-claim
7	14	on	O-claim
7	15	the	O-claim
7	16	open	O-claim
7	17	end	O-claim
7	18	of	O-claim
7	19	the	O-claim
7	20	stadium	O-claim
7	21	,	O-claim
7	22	the	O-claim
7	23	Ohio	O-claim
7	24	River	O-claim
7	25	in	O-claim
7	26	the	O-claim
7	27	distance	O-claim
7	28	,	O-claim
7	29	the	O-claim
7	30	shadow	O-claim
7	31	enclosed	O-claim
7	32	the	O-claim
7	33	field	O-claim
7	34	,	O-claim
7	35	like	O-claim
7	36	a	O-claim
7	37	giant	O-claim
7	38	blocking	O-claim
7	39	the	O-claim
7	40	sun	O-claim
7	41	.	O-claim
8	0	The	O-claim
8	1	shadow	O-claim
8	2	of	O-claim
8	3	the	O-claim
8	4	stadium	O-claim
8	5	practically	O-claim
8	6	covered	O-claim
8	7	every	O-claim
8	8	yellow	O-claim
8	9	seat	O-claim
8	10	.	O-claim
9	0	As	O-claim
9	1	soon	O-claim
9	2	as	O-claim
9	3	we	O-claim
9	4	walked	O-claim
9	5	through	O-claim
9	6	the	O-claim
9	7	corridors	O-claim
9	8	,	O-claim
9	9	we	O-claim
9	10	could	O-claim
9	11	smell	O-claim
9	12	the	O-claim
9	13	fried	O-claim
9	14	food	O-claim
9	15	already	O-claim
9	16	.	O-claim
10	0	With	O-claim
10	1	that	O-claim
10	2	in	O-claim
10	3	mind	O-claim
10	4	,	O-claim
10	5	the	O-claim
10	6	food	O-claim
10	7	smelt	O-claim
10	8	like	O-claim
10	9	a	O-claim
10	10	backyard	O-claim
10	11	barbeque	O-claim
10	12	.	O-claim
11	0	Once	O-claim
11	1	we	O-claim
11	2	reached	O-claim
11	3	our	O-claim
11	4	seats	O-claim
11	5	,	O-claim
11	6	which	O-claim
11	7	were	O-claim
11	8	approximately	O-claim
11	9	20	O-claim
11	10	rows	O-claim
11	11	up	O-claim
11	12	,	O-claim
11	13	we	O-claim
11	14	walked	O-claim
11	15	down	O-claim
11	16	to	O-claim
11	17	the	O-claim
11	18	front	O-claim
11	19	row	O-claim
11	20	for	O-claim
11	21	an	O-claim
11	22	exceptional	O-claim
11	23	view	O-claim
11	24	.	O-claim
12	0	Obviously	O-claim
12	1	,	O-claim
12	2	the	O-claim
12	3	stadium	O-claim
12	4	was	O-claim
12	5	roaring	O-claim
12	6	,	O-claim
12	7	as	O-claim
12	8	loud	O-claim
12	9	as	O-claim
12	10	a	O-claim
12	11	thunderstorm	O-claim
12	12	,	O-claim
12	13	after	O-claim
12	14	the	O-claim
12	15	opening	O-claim
12	16	kickoff	O-claim
12	17	and	O-claim
12	18	the	O-claim
12	19	seats	O-claim
12	20	in	O-claim
12	21	front	O-claim
12	22	of	O-claim
12	23	us	O-claim
12	24	were	O-claim
12	25	empty	O-claim
12	26	.	O-claim
13	0	Suddenly	O-claim
13	1	,	O-claim
13	2	we	O-claim
13	3	distinguished	O-claim
13	4	a	O-claim
13	5	Ravens	O-claim
13	6	fan	O-claim
13	7	start	O-claim
13	8	walking	O-claim
13	9	down	O-claim
