sentence_id	token_id	token	label
0	0	Overcoming	O-claim
0	1	my	O-claim
0	2	Low	O-claim
0	3	Grade	O-claim
0	4	Point	O-claim
0	5	Average	O-claim
1	0	Little	O-claim
1	1	did	O-claim
1	2	I	O-claim
1	3	know	O-claim
1	4	that	O-claim
1	5	the	O-claim
1	6	rest	O-claim
1	7	of	O-claim
1	8	the	O-claim
1	9	semester	O-claim
1	10	would	O-claim
1	11	be	O-claim
1	12	the	O-claim
1	13	most	O-claim
1	14	challenging	O-claim
1	15	semester	O-claim
1	16	ever	O-claim
1	17	.	O-claim
2	0	Middle	B-claim
2	1	school	I-claim
2	2	Is	I-claim
2	3	hard	I-claim
2	4	In	I-claim
2	5	so	I-claim
2	6	many	I-claim
2	7	ways	I-claim
2	8	.	O-claim
3	0	Some	O-claim
3	1	people	O-claim
3	2	will	O-claim
3	3	point	O-claim
3	4	out	O-claim
3	5	It	O-claim
3	6	is	O-claim
3	7	homework	O-claim
3	8	.	O-claim
4	0	Others	O-claim
4	1	will	O-claim
4	2	address	O-claim
4	3	It	O-claim
4	4	is	O-claim
4	5	tests	O-claim
4	6	.	O-claim
5	0	I	O-claim
5	1	feel	O-claim
5	2	It	O-claim
5	3	is	O-claim
5	4	all	O-claim
5	5	of	O-claim
5	6	It	O-claim
5	7	.	O-claim
6	0	Life	O-claim
6	1	Is	O-claim
6	2	all	O-claim
6	3	about	O-claim
6	4	success	O-claim
6	5	.	O-claim
7	0	If	O-claim
7	1	you	B-claim
7	2	do	I-claim
7	3	not	I-claim
7	4	succeed	I-claim
7	5	In	I-claim
7	6	school	I-claim
7	7	,	O-claim
7	8	then	O-claim
7	9	It	B-claim
7	10	is	I-claim
7	11	hard	I-claim
7	12	to	I-claim
7	13	succeed	I-claim
7	14	In	I-claim
7	15	life	I-claim
7	16	.	O-claim
8	0	I	O-claim
8	1	live	O-claim
8	2	to	O-claim
8	3	that	O-claim
8	4	saying	O-claim
8	5	because	O-claim
8	6	when	O-claim
8	7	I	O-claim
8	8	hear	O-claim
8	9	that	O-claim
8	10	It	O-claim
8	11	is	O-claim
8	12	like	O-claim
8	13	a	O-claim
8	14	short	O-claim
8	15	motivational	O-claim
8	16	speech	O-claim
8	17	.	O-claim
9	0	When	O-claim
9	1	I	O-claim
9	2	walked	O-claim
9	3	through	O-claim
9	4	the	O-claim
9	5	door	O-claim
9	6	at	O-claim
9	7	the	O-claim
9	8	beginning	O-claim
9	9	of	O-claim
9	10	the	O-claim
9	11	6th	O-claim
9	12	grade	O-claim
9	13	I	O-claim
9	14	felt	O-claim
9	15	an	O-claim
9	16	overwhelming	O-claim
9	17	feeling	O-claim
9	18	of	O-claim
9	19	possibility	O-claim
9	20	.	O-claim
10	0	After	O-claim
10	1	a	O-claim
10	2	week	O-claim
10	3	or	O-claim
10	4	two	O-claim
10	5	I	O-claim
10	6	was	O-claim
10	7	getting	O-claim
10	8	used	O-claim
10	9	to	O-claim
10	10	the	O-claim
10	11	whole	O-claim
10	12	middle	O-claim
10	13	school	O-claim
10	14	thing	O-claim
10	15	.	O-claim
11	0	I	O-claim
11	1	was	O-claim
11	2	getting	O-claim
11	3	my	O-claim
11	4	homework	O-claim
11	5	done	O-claim
11	6	and	O-claim
11	7	on	O-claim
11	8	time	O-claim
11	9	.	O-claim
12	0	I	O-claim
12	1	was	O-claim
12	2	also	O-claim
12	3	pleasantly	O-claim
12	4	surprised	O-claim
12	5	by	O-claim
12	6	my	O-claim
12	7	grades	O-claim
12	8	.	O-claim
13	0	I	O-claim
13	1	was	O-claim
13	2	doing	O-claim
13	3	good	O-claim
13	4	and	O-claim
13	5	school	O-claim
13	6	was	O-claim
13	7	a	O-claim
13	8	lot	O-claim
13	9	easier	O-claim
13	10	than	O-claim
13	11	I	O-claim
13	12	thought	O-claim
13	13	.	O-claim
14	0	I	O-claim
14	1	was	O-claim
14	2	amazed	O-claim
14	3	by	O-claim
14	4	how	O-claim
14	5	much	O-claim
14	6	different	O-claim
14	7	It	O-claim
14	8	was	O-claim
14	9	than	O-claim
14	10	elementary	O-claim
14	11	school	O-claim
14	12	.	O-claim
15	0	There	O-claim
15	1	was	O-claim
15	2	more	O-claim
15	3	homework	O-claim
15	4	,	O-claim
15	5	but	O-claim
15	6	It	O-claim
15	7	was	O-claim
15	8	just	O-claim
15	9	stuff	O-claim
15	10	we	O-claim
15	11	had	O-claim
15	12	not	O-claim
15	13	finished	O-claim
15	14	Is	O-claim
15	15	class	O-claim
15	16	.	O-claim
16	0	In	O-claim
16	1	the	O-claim
16	2	second	O-claim
16	3	semester	O-claim
16	4	my	O-claim
16	5	grades	O-claim
16	6	dropped	O-claim
16	7	,	O-claim
16	8	but	O-claim
16	9	other	O-claim
16	10	than	O-claim
16	11	that	O-claim
16	12	they	O-claim
16	13	were	O-claim
16	14	consistent	O-claim
16	15	.	O-claim
17	0	By	O-claim
17	1	the	O-claim
17	2	end	O-claim
17	3	of	O-claim
17	4	the	O-claim
17	5	year	O-claim
17	6	I	O-claim
17	7	felt	O-claim
17	8	pretty	O-claim
17	9	good	O-claim
17	10	about	O-claim
17	11	middle	O-claim
17	12	school	O-claim
17	13	and	O-claim
17	14	was	O-claim
17	15	excited	O-claim
17	16	for	O-claim
17	17	my	O-claim
17	18	7th	O-claim
17	19	grade	O-claim
17	20	year	O-claim
17	21	.	O-claim
18	0	But	O-claim
18	1	I	O-claim
18	2	had	O-claim
18	3	no	O-claim
18	4	Idea	O-claim
18	5	what	O-claim
18	6	was	O-claim
18	7	In	O-claim
18	8	store	O-claim
18	9	for	O-claim
18	10	me	O-claim
18	11	.	O-claim
19	0	After	O-claim
19	1	the	O-claim
19	2	6th	O-claim
19	3	grade	O-claim
19	4	everything	O-claim
19	5	changed	O-claim
19	6	the	O-claim
19	7	thing	O-claim
19	8	got	O-claim
19	9	harder	O-claim
19	10	and	O-claim
19	11	more	O-claim
19	12	complicated	O-claim
19	13	,	O-claim
19	14	I	O-claim
19	15	started	O-claim
19	16	to	O-claim
19	17	fall	O-claim
19	18	behind	O-claim
19	19	.	O-claim
20	0	I	O-claim
20	1	got	O-claim
20	2	lazy	O-claim
20	3	and	O-claim
20	4	started	O-claim
20	5	to	O-claim
20	6	slack	O-claim
20	7	In	O-claim
20	8	school	O-claim
20	9	.	O-claim
21	0	After	O-claim
21	1	a	O-claim
21	2	week	O-claim
21	3	of	O-claim
21	4	this	O-claim
21	5	laziness	O-claim
21	6	I	O-claim
21	7	found	O-claim
21	8	that	O-claim
21	9	my	O-claim
21	10	grades	O-claim
21	11	dropped	O-claim
21	12	dramatically	O-claim
21	13	.	O-claim
22	0	My	O-claim
22	1	grade	O-claim
22	2	point	O-claim
22	3	average	O-claim
22	4	dropped	O-claim
22	5	from	O-claim
22	6	a	O-claim
22	7	3.7	O-claim
22	8	to	O-claim
22	9	a	O-claim
22	10	2.9	O-claim
22	11	In	O-claim
22	12	a	O-claim
22	13	matter	O-claim
22	14	of	O-claim
22	15	days	O-claim
22	16	.	O-claim
23	0	My	O-claim
23	1	life	O-claim
23	2	was	O-claim
23	3	horrible	O-claim
23	4	at	O-claim
23	5	home	O-claim
23	6	when	O-claim
23	7	my	O-claim
23	8	parents	O-claim
23	9	saw	O-claim
23	10	what	O-claim
23	11	happened	O-claim
23	12	.	O-claim
24	0	My	O-claim
24	1	dad	O-claim
24	2	started	O-claim
24	3	to	O-claim
24	4	take	O-claim
24	5	away	O-claim
24	6	my	O-claim
24	7	privileges	O-claim
24	8	at	O-claim
24	9	a	O-claim
24	10	snap	O-claim
24	11	of	O-claim
24	12	a	O-claim
24	13	finger	O-claim
24	14	.	O-claim
25	0	The	O-claim
25	1	worst	O-claim
25	2	thing	O-claim
25	3	was	O-claim
25	4	he	O-claim
25	5	told	O-claim
25	6	me	O-claim
25	7	I	O-claim
25	8	could	O-claim
25	9	not	O-claim
25	10	fly	O-claim
25	11	this	O-claim
25	12	summer	O-claim
25	13	until	O-claim
25	14	.	O-claim
26	0	That	O-claim
26	1	was	O-claim
26	2	my	O-claim
26	3	Incentive	O-claim
26	4	to	O-claim
26	5	try	O-claim
26	6	harder	O-claim
26	7	than	O-claim
26	8	I	O-claim
26	9	ever	O-claim
26	10	had	O-claim
26	11	.	O-claim
27	0	I	O-claim
27	1	spent	O-claim
27	2	hours	O-claim
27	3	on	O-claim
27	4	homework	O-claim
27	5	after	O-claim
27	6	school	O-claim
27	7	to	O-claim
27	8	get	O-claim
27	9	It	O-claim
27	10	done	O-claim
27	11	and	O-claim
27	12	done	O-claim
27	13	right	O-claim
27	14	.	O-claim
28	0	Finally	O-claim
28	1	It	O-claim
28	2	was	O-claim
28	3	the	O-claim
28	4	end	O-claim
28	5	of	O-claim
28	6	the	O-claim
28	7	semester	O-claim
28	8	and	O-claim
28	9	I	O-claim
28	10	was	O-claim
28	11	one	O-claim
28	12	point	O-claim
28	13	away	O-claim
28	14	from	O-claim
28	15	a	O-claim
28	16	3.7	O-claim
28	17	grade	O-claim
28	18	point	O-claim
28	19	average	O-claim
28	20	.	O-claim
29	0	My	O-claim
29	1	dad	O-claim
29	2	said	O-claim
29	3	he	O-claim
29	4	was	O-claim
29	5	proud	O-claim
29	6	of	O-claim
29	7	me	O-claim
29	8	and	O-claim
29	9	did	O-claim
29	10	not	O-claim
29	11	count	O-claim
29	12	my	O-claim
29	13	worst	O-claim
29	14	grade	O-claim
29	15	.	O-claim
30	0	I	O-claim
30	1	added	O-claim
30	2	up	O-claim
30	3	my	O-claim
30	4	grade	O-claim
30	5	point	O-claim
30	6	average	O-claim
30	7	without	O-claim
30	8	that	O-claim
30	9	grade	O-claim
30	10	and	O-claim
30	11	I	O-claim
30	12	made	O-claim
30	13	It	O-claim
30	14	!	O-claim
31	0	I	O-claim
31	1	had	O-claim
31	2	a	O-claim
31	3	grade	O-claim
31	4	point	O-claim
31	5	average	O-claim
31	6	of	O-claim
31	7	3.7	O-claim
31	8	.	O-claim
32	0	A	O-claim
32	1	week	O-claim
32	2	later	O-claim
32	3	after	O-claim
32	4	school	O-claim
32	5	was	O-claim
32	6	over	O-claim
32	7	my	O-claim
32	8	final	O-claim
32	9	grades	O-claim
32	10	went	O-claim
32	11	In	O-claim
32	12	and	O-claim
32	13	I	O-claim
32	14	had	O-claim
32	15	a	O-claim
32	16	3.7	O-claim
32	17	without	O-claim
32	18	the	O-claim
32	19	deleted	O-claim
32	20	grade	O-claim
32	21	.	O-claim
33	0	I	O-claim
33	1	was	O-claim
33	2	overjoyed	O-claim
33	3	when	O-claim
33	4	I	O-claim
33	5	saw	O-claim
33	6	that	O-claim
33	7	my	O-claim
33	8	grades	O-claim
33	9	had	O-claim
33	10	Improved	O-claim
33	11	so	O-claim
33	12	much	O-claim
33	13	.	O-claim
34	0	It	O-claim
34	1	made	O-claim
34	2	me	O-claim
34	3	feel	O-claim
34	4	so	O-claim
34	5	accomplished	O-claim
34	6	and	O-claim
34	7	motivated	O-claim
34	8	to	O-claim
34	9	do	O-claim
34	10	well	O-claim
34	11	next	O-claim
34	12	year	O-claim
34	13	.	O-claim
35	0	Turns	O-claim
35	1	out	O-claim
35	2	all	O-claim
35	3	I	O-claim
35	4	needed	O-claim
35	5	was	O-claim
35	6	a	O-claim
35	7	good	O-claim
35	8	Incentive	O-claim
35	9	and	O-claim
35	10	the	O-claim
35	11	right	O-claim
35	12	mindset	O-claim
35	13	to	O-claim
35	14	succeed	O-claim
35	15	.	O-claim
36	0	Overcoming	O-claim
36	1	my	O-claim
36	2	low	O-claim
36	3	grades	O-claim
36	4	was	O-claim
36	5	hard	O-claim
36	6	,	O-claim
36	7	but	O-claim
36	8	perseverance	O-claim
36	9	and	O-claim
36	10	good	O-claim
36	11	coaching	O-claim
36	12	from	O-claim
36	13	parents	O-claim
36	14	and	O-claim
36	15	teachers	O-claim
36	16	Is	O-claim
36	17	what	O-claim
36	18	I	O-claim
36	19	needed	O-claim
36	20	.	O-claim
