sentence_id	token_id	token	label
0	0	(	O-claim
0	1	Pressed	O-claim
0	2	)	O-claim
0	3	Mack	O-claim
0	4	Roy	O-claim
1	0	On	O-claim
1	1	a	O-claim
1	2	sunny	O-claim
1	3	winter	O-claim
1	4	morning	O-claim
1	5	,	O-claim
1	6	a	O-claim
1	7	Saturday	O-claim
1	8	,	O-claim
1	9	6	O-claim
1	10	months	O-claim
1	11	after	O-claim
1	12	moving	O-claim
1	13	in	O-claim
1	14	.	O-claim
2	0	The	O-claim
2	1	animals	O-claim
2	2	had	O-claim
2	3	all	O-claim
2	4	gone	O-claim
2	5	into	O-claim
2	6	hibernation	O-claim
2	7	and	O-claim
2	8	so	O-claim
2	9	had	O-claim
2	10	all	O-claim
2	11	the	O-claim
2	12	people	O-claim
2	13	except	O-claim
2	14	he	O-claim
2	15	Youngers	O-claim
2	16	.	O-claim
3	0	They	O-claim
3	1	have	O-claim
3	2	finally	O-claim
3	3	fully	O-claim
3	4	settled	O-claim
3	5	into	O-claim
3	6	their	O-claim
3	7	new	O-claim
3	8	house	O-claim
3	9	.	O-claim
4	0	Ruth	O-claim
4	1	is	O-claim
4	2	weeks	O-claim
4	3	away	O-claim
4	4	from	O-claim
4	5	having	O-claim
4	6	the	O-claim
4	7	baby	O-claim
4	8	and	O-claim
4	9	having	O-claim
4	10	trouble	O-claim
4	11	helping	O-claim
4	12	around	O-claim
4	13	the	O-claim
4	14	house	O-claim
4	15	but	O-claim
4	16	does	O-claim
4	17	her	O-claim
4	18	best	O-claim
4	19	.	O-claim
5	0	Though	O-claim
5	1	the	O-claim
5	2	neighbors	O-claim
5	3	stayed	O-claim
5	4	in	O-claim
5	5	during	O-claim
5	6	winter	O-claim
5	7	and	O-claim
5	8	did	O-claim
5	9	not	O-claim
5	10	come	O-claim
5	11	back	O-claim
5	12	out	O-claim
5	13	til	O-claim
5	14	spring	O-claim
5	15	,	O-claim
5	16	the	O-claim
5	17	house	O-claim
5	18	was	O-claim
5	19	so	O-claim
5	20	beautiful	O-claim
5	21	that	O-claim
5	22	they	O-claim
5	23	did	O-claim
5	24	n't	O-claim
5	25	care	O-claim
5	26	.	O-claim
6	0	At	O-claim
6	1	night	O-claim
6	2	they	O-claim
6	3	could	O-claim
6	4	see	O-claim
6	5	the	O-claim
6	6	twinkling	O-claim
6	7	stars	O-claim
6	8	and	O-claim
6	9	every	O-claim
6	10	time	O-claim
6	11	they	O-claim
6	12	saw	O-claim
6	13	them	O-claim
6	14	MAMA	O-claim
6	15	would	O-claim
6	16	tell	O-claim
6	17	TRAVIS	O-claim
6	18	that	O-claim
6	19	it	O-claim
6	20	was	O-claim
6	21	Big	O-claim
6	22	Walter	O-claim
6	23	watching	O-claim
6	24	over	O-claim
6	25	them	O-claim
6	26	.	O-claim
7	0	The	O-claim
7	1	inside	O-claim
7	2	of	O-claim
7	3	the	O-claim
7	4	house	O-claim
7	5	was	O-claim
7	6	three	O-claim
7	7	bedrooms	O-claim
7	8	with	O-claim
7	9	enough	O-claim
7	10	room	O-claim
7	11	for	O-claim
7	12	everything	O-claim
7	13	they	O-claim
7	14	need	O-claim
7	15	.	O-claim
8	0	In	O-claim
8	1	the	O-claim
8	2	middle	O-claim
8	3	of	O-claim
8	4	the	O-claim
