sentence_id	token_id	token	label
0	0	When	O-claim
0	1	I	O-claim
0	2	was	O-claim
0	3	2	O-claim
0	4	and	O-claim
0	5	a	O-claim
0	6	half	O-claim
0	7	years	O-claim
0	8	old	O-claim
0	9	my	O-claim
0	10	mom	O-claim
0	11	was	O-claim
0	12	concerned	O-claim
0	13	because	O-claim
0	14	I	O-claim
0	15	did	O-claim
0	16	n't	O-claim
0	17	talk	O-claim
0	18	much	O-claim
0	19	and	O-claim
0	20	was	O-claim
0	21	hard	O-claim
0	22	to	O-claim
0	23	understand	O-claim
0	24	.	O-claim
1	0	She	O-claim
1	1	had	O-claim
1	2	a	O-claim
1	3	lady	O-claim
1	4	from	O-claim
1	5	school	O-claim
1	6	test	O-claim
1	7	me	O-claim
1	8	and	O-claim
1	9	then	O-claim
1	10	she	O-claim
1	11	sent	O-claim
1	12	me	O-claim
1	13	to	O-claim
1	14	the	O-claim
1	15	ISD	O-claim
1	16	for	O-claim
1	17	more	O-claim
1	18	testing	O-claim
1	19	.	O-claim
2	0	They	O-claim
2	1	said	O-claim
2	2	I	O-claim
2	3	was	O-claim
2	4	a	O-claim
2	5	perfect	O-claim
2	6	candidate	O-claim
2	7	for	O-claim
2	8	speech	O-claim
2	9	therapy	O-claim
2	10	and	O-claim
2	11	early	O-claim
2	12	childhood	O-claim
2	13	development	O-claim
2	14	.	O-claim
3	0	I	O-claim
3	1	was	O-claim
3	2	in	O-claim
3	3	ECP	O-claim
3	4	for	O-claim
3	5	3	O-claim
3	6	years	O-claim
3	7	.	O-claim
4	0	I	O-claim
4	1	graduated	O-claim
4	2	from	O-claim
4	3	speech	O-claim
4	4	therapy	O-claim
4	5	in	O-claim
4	6	kindergarten	O-claim
4	7	.	O-claim
5	0	I	O-claim
5	1	struggled	O-claim
5	2	learning	O-claim
5	3	to	O-claim
5	4	read	O-claim
5	5	.	O-claim
6	0	In	O-claim
6	1	second	O-claim
6	2	grade	O-claim
6	3	my	O-claim
6	4	teacher	O-claim
6	5	told	O-claim
6	6	my	O-claim
6	7	she	O-claim
6	8	was	O-claim
6	9	worried	O-claim
6	10	and	O-claim
6	11	suggested	O-claim
6	12	that	O-claim
6	13	we	O-claim
6	14	get	O-claim
6	15	a	O-claim
6	16	tutor	O-claim
6	17	for	O-claim
6	18	the	O-claim
6	19	summer	O-claim
6	20	.	O-claim
7	0	We	O-claim
7	1	found	O-claim
7	2	a	O-claim
7	3	lady	O-claim
7	4	named	O-claim
7	5	Melissa	O-claim
7	6	.	O-claim
8	0	After	O-claim
8	1	my	O-claim
8	2	first	O-claim
8	3	meeting	O-claim
8	4	with	O-claim
8	5	Melissa	O-claim
8	6	she	O-claim
8	7	gave	O-claim
8	8	my	O-claim
8	9	mom	O-claim
8	10	a	O-claim
8	11	website	O-claim
8	12	and	O-claim
8	13	suggested	O-claim
8	14	she	O-claim
8	15	watch	O-claim
8	16	it	O-claim
8	17	.	O-claim
9	0	My	O-claim
9	1	mom	O-claim
9	2	says	O-claim
9	3	I	B-claim
9	4	insisted	I-claim
9	5	on	I-claim
9	6	watching	I-claim
9	7	it	I-claim
9	8	with	I-claim
9	9	her	I-claim
9	10	even	O-claim
9	11	though	O-claim
9	12	she	O-claim
9	13	was	O-claim
9	14	concerned	O-claim
9	15	about	O-claim
9	16	how	O-claim
9	17	it	O-claim
9	18	would	O-claim
9	19	make	O-claim
9	20	me	O-claim
9	21	feel	O-claim
9	22	.	O-claim
10	0	She	O-claim
10	1	says	O-claim
10	2	I	O-claim
10	3	was	O-claim
10	4	relieved	O-claim
10	5	and	O-claim
10	6	felt	O-claim
10	7	hope	O-claim
10	8	after	O-claim
10	9	seeing	O-claim
10	10	it	O-claim
10	11	because	O-claim
10	12	it	O-claim
10	13	was	O-claim
10	14	ME	O-claim
10	15	.	O-claim
11	0	It	O-claim
11	1	was	O-claim
11	2	a	O-claim
11	3	video	O-claim
11	4	about	O-claim
11	5	dyslexia	O-claim
11	6	.	O-claim
12	0	The	O-claim
12	1	next	O-claim
12	2	time	O-claim
12	3	I	O-claim
12	4	met	O-claim
12	5	with	O-claim
12	6	Melissa	O-claim
12	7	,	O-claim
12	8	she	O-claim
12	9	tested	O-claim
12	10	me	O-claim
12	11	for	O-claim
12	12	dyslexia	O-claim
12	13	,	O-claim
12	14	and	O-claim
12	15	told	O-claim
12	16	my	O-claim
12	17	mom	O-claim
12	18	that	O-claim
12	19	I	O-claim
12	20	was	O-claim
12	21	severely	O-claim
12	22	dyslexic	O-claim
12	23	.	O-claim
13	0	When	O-claim
13	1	I	O-claim
13	2	watched	O-claim
13	3	the	O-claim
13	4	video	O-claim
13	5	I	O-claim
13	6	was	O-claim
13	7	relieved	O-claim
13	8	at	O-claim
13	9	first	O-claim
13	10	but	O-claim
13	11	then	O-claim
13	12	I	O-claim
13	13	realized	O-claim
13	14	I	O-claim
13	15	was	O-claim
13	16	different	O-claim
13	17	and	O-claim
13	18	at	O-claim
13	19	the	O-claim
13	20	time	O-claim
13	21	I	O-claim
13	22	did	O-claim
13	23	not	O-claim
13	24	like	O-claim
13	25	being	O-claim
13	26	different	O-claim
13	27	.	O-claim
14	0	It	O-claim
14	1	made	O-claim
14	2	me	O-claim
14	3	feel	O-claim
14	4	like	O-claim
14	5	I	O-claim
14	6	was	O-claim
14	7	a	O-claim
14	8	mistake	O-claim
14	9	,	O-claim
14	10	I	O-claim
14	11	had	O-claim
14	12	no	O-claim
14	13	purpose	O-claim
14	14	and	O-claim
14	15	I	O-claim
14	16	wished	O-claim
14	17	I	O-claim
14	18	could	O-claim
14	19	be	O-claim
14	20	normal	O-claim
14	21	.	O-claim
15	0	I	O-claim
15	1	saw	O-claim
15	2	Melissa	O-claim
15	3	2	O-claim
15	4	days	O-claim
15	5	a	O-claim
15	6	week	O-claim
15	7	,	O-claim
15	8	year	O-claim
15	9	round	O-claim
15	10	for	O-claim
15	11	three	O-claim
15	12	and	O-claim
15	13	a	O-claim
15	14	half	O-claim
15	15	years	O-claim
15	16	.	O-claim
16	0	She	O-claim
16	1	helped	O-claim
16	2	me	O-claim
16	3	understand	O-claim
16	4	how	O-claim
16	5	to	O-claim
16	6	put	O-claim
16	7	words	O-claim
16	8	together	O-claim
16	9	and	O-claim
16	10	ways	O-claim
16	11	to	O-claim
16	12	help	O-claim
16	13	with	O-claim
16	14	spelling	O-claim
16	15	.	O-claim
17	0	She	O-claim
17	1	taught	O-claim
17	2	me	O-claim
17	3	strategies	O-claim
17	4	and	O-claim
17	5	introduced	O-claim
17	6	me	O-claim
17	7	to	O-claim
17	8	an	O-claim
17	9	app	O-claim
17	10	called	O-claim
17	11	Learning	O-claim
17	12	Ally	O-claim
17	13	.	O-claim
18	0	I	O-claim
18	1	use	O-claim
18	2	Learning	O-claim
18	3	Ally	O-claim
18	4	to	O-claim
18	5	this	O-claim
18	6	day	O-claim
18	7	and	O-claim
18	8	it	O-claim
18	9	has	O-claim
18	10	helped	O-claim
18	11	me	O-claim
18	12	to	O-claim
18	13	love	O-claim
18	14	books	O-claim
18	15	.	O-claim
19	0	This	O-claim
19	1	app	O-claim
19	2	made	O-claim
19	3	me	O-claim
19	4	really	O-claim
19	5	happy	O-claim
19	6	because	O-claim
19	7	i	O-claim
19	8	love	O-claim
19	9	stories	O-claim
19	10	and	O-claim
19	11	this	O-claim
19	12	lets	O-claim
19	13	me	O-claim
19	14	listen	O-claim
19	15	to	O-claim
19	16	stories	O-claim
19	17	by	O-claim
19	18	myself	O-claim
19	19	.	O-claim
20	0	Stories	O-claim
20	1	let	O-claim
20	2	me	O-claim
20	3	go	O-claim
20	4	places	O-claim
20	5	in	O-claim
20	6	my	O-claim
20	7	mind	O-claim
20	8	,	O-claim
20	9	sometimes	O-claim
20	10	sad	O-claim
20	11	places	O-claim
20	12	and	O-claim
20	13	sometimes	O-claim
20	14	happy	O-claim
20	15	places	O-claim
20	16	.	O-claim
21	0	In	O-claim
21	1	fourth	O-claim
21	2	grade	O-claim
21	3	the	O-claim
21	4	school	O-claim
21	5	agreed	O-claim
21	6	to	O-claim
21	7	have	O-claim
21	8	the	O-claim
21	9	ISD	O-claim
21	10	test	O-claim
21	11	me	O-claim
21	12	again	O-claim
21	13	for	O-claim
21	14	a	O-claim
21	15	learning	O-claim
21	16	disability	O-claim
21	17	.	O-claim
22	0	This	O-claim
22	1	was	O-claim
22	2	done	O-claim
22	3	during	O-claim
22	4	school	O-claim
22	5	.	O-claim
23	0	I	O-claim
23	1	did	O-claim
23	2	n't	O-claim
23	3	like	O-claim
23	4	it	O-claim
23	5	,	O-claim
23	6	it	O-claim
23	7	made	O-claim
23	8	me	O-claim
23	9	feel	O-claim
23	10	like	O-claim
23	11	other	O-claim
23	12	kids	O-claim
23	13	would	O-claim
23	14	think	O-claim
23	15	I	O-claim
23	16	was	O-claim
23	17	stupid	O-claim
23	18	and	O-claim
23	19	that	O-claim
23	20	maybe	O-claim
23	21	I	O-claim
23	22	was	O-claim
23	23	stupid	O-claim
23	24	.	O-claim
24	0	I	O-claim
24	1	wished	O-claim
24	2	that	O-claim
24	3	the	O-claim
24	4	school	O-claim
24	5	would	O-claim
24	6	just	O-claim
24	7	believe	O-claim
24	8	me	O-claim
24	9	so	O-claim
24	10	I	O-claim
24	11	would	O-claim
24	12	n't	O-claim
24	13	have	O-claim
24	14	to	O-claim
24	15	be	O-claim
24	16	tested	O-claim
24	17	again	O-claim
24	18	.	O-claim
25	0	The	O-claim
25	1	school	O-claim
25	2	does	O-claim
25	3	n't	O-claim
25	4	use	O-claim
25	5	the	O-claim
25	6	word	O-claim
25	7	dyslexia	O-claim
25	8	but	O-claim
25	9	the	O-claim
25	10	test	O-claim
25	11	showed	O-claim
25	12	that	O-claim
25	13	there	O-claim
25	14	was	O-claim
25	15	a	O-claim
25	16	big	O-claim
25	17	difference	O-claim
25	18	between	O-claim
25	19	how	O-claim
25	20	smart	O-claim
25	21	I	O-claim
25	22	am	O-claim
25	23	and	O-claim
25	24	my	O-claim
25	25	ability	O-claim
25	26	to	O-claim
25	27	read	O-claim
25	28	and	O-claim
25	29	write	O-claim
25	30	.	O-claim
26	0	The	O-claim
26	1	school	O-claim
26	2	was	O-claim
26	3	then	O-claim
26	4	able	O-claim
26	5	to	O-claim
26	6	make	O-claim
26	7	special	O-claim
26	8	plans	O-claim
26	9	for	O-claim
26	10	me	O-claim
26	11	to	O-claim
26	12	try	O-claim
26	13	and	O-claim
26	14	help	O-claim
26	15	me	O-claim
26	16	stay	O-claim
26	17	at	O-claim
26	18	the	O-claim
26	19	same	O-claim
26	20	level	O-claim
26	21	as	O-claim
26	22	other	O-claim
26	23	kids	O-claim
26	24	because	O-claim
26	25	I	O-claim
26	26	understand	O-claim
26	27	everything	O-claim
26	28	that	O-claim
26	29	they	O-claim
26	30	are	O-claim
26	31	learning	O-claim
26	32	and	O-claim
26	33	my	O-claim
26	34	brain	O-claim
26	35	needs	O-claim
26	36	to	O-claim
26	37	be	O-claim
26	38	challenged	O-claim
26	39	just	O-claim
26	40	like	O-claim
26	41	theirs	O-claim
26	42	but	O-claim
26	43	it	O-claim
26	44	's	O-claim
26	45	still	O-claim
26	46	hard	O-claim
26	47	to	O-claim
26	48	read	O-claim
26	49	and	O-claim
26	50	write	O-claim
26	51	.	O-claim
27	0	I	O-claim
27	1	was	O-claim
27	2	given	O-claim
27	3	apps	O-claim
27	4	for	O-claim
27	5	reading	O-claim
27	6	that	O-claim
27	7	sounded	O-claim
27	8	like	O-claim
27	9	a	O-claim
27	10	robot	O-claim
27	11	and	O-claim
27	12	writings	O-claim
27	13	that	O-claim
27	14	gave	O-claim
27	15	me	O-claim
27	16	words	O-claim
27	17	that	O-claim
27	18	it	O-claim
27	19	thought	O-claim
27	20	I	O-claim
27	21	was	O-claim
27	22	spelling	O-claim
27	23	and	O-claim
27	24	often	O-claim
27	25	it	O-claim
27	26	was	O-claim
27	27	wrong	O-claim
27	28	.	O-claim
28	0	I	O-claim
28	1	know	O-claim
28	2	some	O-claim
28	3	big	O-claim
28	4	words	O-claim
28	5	and	O-claim
28	6	wanted	O-claim
28	7	to	O-claim
28	8	try	O-claim
28	9	and	O-claim
28	10	use	O-claim
28	11	them	O-claim
28	12	but	O-claim
28	13	struggled	O-claim
28	14	because	O-claim
28	15	I	O-claim
28	16	could	O-claim
28	17	n't	O-claim
28	18	read	O-claim
28	19	the	O-claim
28	20	words	O-claim
28	21	the	O-claim
28	22	computer	O-claim
28	23	offered	O-claim
28	24	or	O-claim
28	25	I	O-claim
28	26	may	O-claim
28	27	have	O-claim
28	28	chosen	O-claim
28	29	the	O-claim
28	30	wrong	O-claim
28	31	word	O-claim
28	32	.	O-claim
29	0	It	O-claim
29	1	made	O-claim
29	2	feel	O-claim
29	3	stupid	O-claim
29	4	and	O-claim
29	5	less	O-claim
29	6	willing	O-claim
29	7	to	O-claim
29	8	try	O-claim
29	9	big	O-claim
29	10	words	O-claim
29	11	.	O-claim
30	0	When	O-claim
30	1	new	O-claim
30	2	apps	O-claim
30	3	were	O-claim
30	4	offered	O-claim
30	5	to	O-claim
30	6	me	O-claim
30	7	I	O-claim
30	8	felt	O-claim
30	9	unwilling	O-claim
30	10	to	O-claim
30	11	try	O-claim
30	12	because	O-claim
30	13	I	O-claim
30	14	felt	O-claim
30	15	like	O-claim
30	16	it	O-claim
30	17	would	O-claim
30	18	just	O-claim
30	19	be	O-claim
30	20	another	O-claim
30	21	disappointment	O-claim
30	22	.	O-claim
31	0	Technology	O-claim
31	1	is	O-claim
31	2	getting	O-claim
31	3	better	O-claim
31	4	but	O-claim
31	5	it	O-claim
31	6	does	O-claim
31	7	n't	O-claim
31	8	feel	O-claim
31	9	fast	O-claim
31	10	enough	O-claim
31	11	for	O-claim
31	12	me	O-claim
31	13	.	O-claim
32	0	I	O-claim
32	1	have	O-claim
32	2	n't	O-claim
32	3	found	O-claim
32	4	a	O-claim
32	5	writing	O-claim
32	6	app	O-claim
32	7	that	O-claim
32	8	I	O-claim
32	9	feel	O-claim
32	10	really	O-claim
32	11	works	O-claim
32	12	for	O-claim
32	13	me	O-claim
32	14	.	O-claim
33	0	I	O-claim
33	1	wish	O-claim
33	2	I	O-claim
33	3	had	O-claim
33	4	a	O-claim
33	5	helmet	O-claim
33	6	that	O-claim
33	7	reads	O-claim
33	8	my	O-claim
33	9	brain	O-claim
33	10	and	O-claim
33	11	writes	O-claim
33	12	it	O-claim
33	13	down	O-claim
33	14	for	O-claim
33	15	me	O-claim
33	16	.	O-claim
34	0	What	O-claim
34	1	I	O-claim
34	2	have	O-claim
34	3	learned	O-claim
34	4	is	O-claim
34	5	that	O-claim
34	6	I	O-claim
34	7	see	O-claim
34	8	whole	O-claim
34	9	pictures	O-claim
34	10	and	O-claim
34	11	struggle	O-claim
34	12	to	O-claim
34	13	communicate	O-claim
34	14	my	O-claim
34	15	idea	O-claim
34	16	.	O-claim
35	0	An	O-claim
35	1	example	O-claim
35	2	is	O-claim
35	3	when	O-claim
35	4	I	O-claim
35	5	'	O-claim
35	6	m	O-claim
35	7	working	O-claim
35	8	with	O-claim
35	9	my	O-claim
35	10	dad	O-claim
35	11	to	O-claim
35	12	build	O-claim
35	13	something	O-claim
35	14	,	O-claim
35	15	because	O-claim
35	16	I	O-claim
35	17	love	O-claim
35	18	building	O-claim
35	19	and	O-claim
35	20	designing	O-claim
35	21	things	O-claim
35	22	,	O-claim
35	23	but	O-claim
35	24	in	O-claim
35	25	order	O-claim
35	26	for	O-claim
35	27	my	O-claim
35	28	dad	O-claim
35	29	to	O-claim
35	30	help	O-claim
35	31	me	O-claim
35	32	he	B-claim
35	33	needs	I-claim
35	34	to	I-claim
35	35	see	I-claim
35	36	my	I-claim
35	37	idea	I-claim
35	38	on	I-claim
35	39	paper	I-claim
35	40	or	I-claim
35	41	have	I-claim
35	42	it	I-claim
35	43	explained	I-claim
35	44	in	I-claim
35	45	detail	I-claim
35	46	.	O-claim
36	0	My	O-claim
36	1	idea	O-claim
36	2	is	O-claim
36	3	clear	O-claim
36	4	in	O-claim
36	5	my	O-claim
36	6	head	O-claim
36	7	but	O-claim
36	8	getting	O-claim
36	9	that	O-claim
36	10	on	O-claim
36	11	paper	O-claim
36	12	or	O-claim
36	13	sometimes	O-claim
36	14	even	O-claim
36	15	verbally	O-claim
36	16	breaking	O-claim
36	17	it	O-claim
36	18	into	O-claim
36	19	pieces	O-claim
36	20	is	O-claim
36	21	difficult	O-claim
36	22	.	O-claim
37	0	I	O-claim
37	1	understand	O-claim
37	2	that	O-claim
37	3	dyslexia	O-claim
37	4	is	O-claim
37	5	the	O-claim
37	6	way	O-claim
37	7	my	O-claim
37	8	brain	O-claim
37	9	is	O-claim
37	10	wired	O-claim
37	11	,	O-claim
37	12	giving	O-claim
37	13	me	O-claim
37	14	gifts	O-claim
37	15	that	O-claim
37	16	others	O-claim
37	17	do	O-claim
37	18	n't	O-claim
37	19	have	O-claim
37	20	as	O-claim
37	21	well	O-claim
37	22	as	O-claim
37	23	making	O-claim
37	24	some	O-claim
37	25	things	O-claim
37	26	,	O-claim
37	27	like	O-claim
37	28	writing	O-claim
37	29	and	O-claim
37	30	reading	O-claim
37	31	really	O-claim
37	32	hard	O-claim
37	33	for	O-claim
37	34	me	O-claim
37	35	.	O-claim
38	0	I	O-claim
38	1	wo	O-claim
38	2	n't	O-claim
38	3	overcome	O-claim
38	4	dyslexia	O-claim
38	5	by	O-claim
38	6	not	O-claim
38	7	be	O-claim
38	8	dyslexic	O-claim
38	9	anymore	O-claim
38	10	.	O-claim
39	0	What	B-claim
39	1	I	I-claim
39	2	can	I-claim
39	3	overcome	I-claim
39	4	is	I-claim
39	5	how	I-claim
39	6	I	I-claim
39	7	feel	I-claim
39	8	about	I-claim
39	9	it	I-claim
39	10	and	I-claim
39	11	how	I-claim
39	12	I	I-claim
39	13	feel	I-claim
39	14	about	I-claim
39	15	myself	I-claim
39	16	.	O-claim
40	0	I	O-claim
40	1	know	O-claim
40	2	I	O-claim
