sentence_id	token_id	token	label
0	0	The	O-claim
0	1	day	O-claim
0	2	I	O-claim
0	3	heard	O-claim
0	4	I	O-claim
0	5	was	O-claim
0	6	moving	O-claim
0	7	was	O-claim
0	8	one	O-claim
0	9	of	O-claim
0	10	the	O-claim
0	11	best	O-claim
0	12	days	O-claim
0	13	ever	O-claim
0	14	;	O-claim
0	15	I	O-claim
0	16	could	O-claim
0	17	not	O-claim
0	18	wait	O-claim
0	19	to	O-claim
0	20	get	O-claim
0	21	out	O-claim
0	22	of	O-claim
0	23	Indiana	O-claim
0	24	.	O-claim
1	0	The	O-claim
1	1	whole	O-claim
1	2	moving	O-claim
1	3	experience	O-claim
1	4	was	O-claim
1	5	at	O-claim
1	6	a	O-claim
1	7	horrible	O-claim
1	8	time	O-claim
1	9	because	O-claim
1	10	I	O-claim
1	11	had	O-claim
1	12	just	O-claim
1	13	settled	O-claim
1	14	into	O-claim
1	15	my	O-claim
1	16	middle	O-claim
1	17	school	O-claim
1	18	.	O-claim
2	0	Before	O-claim
2	1	we	O-claim
2	2	moved	O-claim
2	3	,	O-claim
2	4	our	O-claim
2	5	family	O-claim
2	6	had	O-claim
2	7	been	O-claim
2	8	going	O-claim
2	9	to	O-claim
2	10	Michigan	O-claim
2	11	over	O-claim
2	12	the	O-claim
2	13	summer	O-claim
2	14	and	O-claim
2	15	we	O-claim
2	16	finally	O-claim
2	17	decided	O-claim
2	18	to	O-claim
2	19	move	O-claim
2	20	there	O-claim
2	21	.	O-claim
3	0	While	O-claim
3	1	we	O-claim
3	2	were	O-claim
3	3	moving	O-claim
3	4	,	O-claim
3	5	there	O-claim
3	6	were	O-claim
3	7	multiple	O-claim
3	8	times	O-claim
3	9	when	O-claim
3	10	my	O-claim
3	11	mom	O-claim
3	12	and	O-claim
3	13	dad	O-claim
3	14	did	O-claim
3	15	not	O-claim
3	16	agree	O-claim
3	17	with	O-claim
3	18	each	O-claim
3	19	other	O-claim
3	20	,	O-claim
3	21	then	O-claim
3	22	they	O-claim
3	23	would	O-claim
3	24	get	O-claim
3	25	into	O-claim
3	26	fights	O-claim
3	27	.	O-claim
4	0	After	O-claim
4	1	the	O-claim
4	2	move	O-claim
4	3	my	O-claim
4	4	mom	O-claim
4	5	and	O-claim
4	6	dad	O-claim
4	7	would	O-claim
4	8	never	O-claim
4	9	treat	O-claim
4	10	each	O-claim
4	11	other	O-claim
4	12	the	O-claim
4	13	same	O-claim
4	14	.	O-claim
5	0	The	O-claim
5	1	challenges	O-claim
5	2	that	O-claim
5	3	I	O-claim
5	4	was	O-claim
5	5	going	O-claim
5	6	to	O-claim
5	7	face	O-claim
5	8	would	O-claim
